Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.6e-05,16.218419,[48 34] ; [121  25],[60.78070175 21.21929825] ; [108.21929825  37.78070175],1
d3,1,0.425931,0.633892,[61 22] ; [100  46],[58.35371179 24.64628821] ; [102.64628821  43.35371179],0
r3,1,0.444099,0.585668,[77  6] ; [139   7],[78.28820961  4.71179039] ; [137.71179039   8.28820961],0
u1,1,0.481551,0.49535,[20 64] ; [ 29 117],[17.89565217 66.10434783] ; [ 31.10434783 114.89565217],0
s1,1,0.514868,0.424162,[ 5 78] ; [  6 140],[ 3.98689956 79.01310044] ; [  7.01310044 138.98689956],0
p4,1,0.529596,0.395167,[50 34] ; [93 53],[52.22608696 31.77391304] ; [90.77391304 55.22608696],0
v2,1,0.548404,0.360184,[44 39] ; [80 60],[46.15246637 36.84753363] ; [77.84753363 62.15246637],0
d4,1,0.586527,0.295801,[67 16] ; [122  24],[68.50218341 14.49781659] ; [120.49781659  25.50218341],0
d2,1,0.678373,0.171963,[45 38] ; [75 71],[43.49344978 39.50655022] ; [76.50655022 69.49344978],0
n4,1,0.713511,0.134795,[68 16] ; [121  25],[69.02608696 14.97391304] ; [119.97391304  26.02608696],0
r1,1,0.713511,0.134795,[68 16] ; [121  25],[69.02608696 14.97391304] ; [119.97391304  26.02608696],0
d1,1,0.772772,0.083377,[49 35] ; [88 58],[50.03478261 33.96521739] ; [86.96521739 59.03478261],0
b4,1,0.779525,0.078365,[45 39] ; [81 65],[46.0173913 37.9826087] ; [79.9826087 66.0173913],0
n2,1,0.788362,0.072059,[15  6] ; [19  9],[14.57142857  6.42857143] ; [19.42857143  8.57142857],0
p2,1,0.808115,0.05898,[70 14] ; [119  26],[69.32751092 14.67248908] ; [119.67248908  25.32751092],0
n1,1,0.826666,0.047952,[10 11] ; [12 15],[ 9.625 11.375] ; [12.375 14.625],0
a8,1,0.851554,0.03502,[14 63] ; [ 23 111],[13.50236967 63.49763033] ; [ 23.49763033 110.50236967],0
a5,1,0.861234,0.030556,[63 21] ; [111  35],[63.54782609 20.45217391] ; [110.45217391  35.54782609],0
n3,1,0.864154,0.029271,[13  8] ; [18 10],[13.28571429  7.71428571] ; [17.71428571 10.28571429],0
a1,1,0.881123,0.022364,[ 5 79] ; [  8 138],[ 4.74782609 79.25217391] ; [  8.25217391 137.74782609],0
d5,1,0.910528,0.012628,[66 17] ; [117  29],[66.32751092 16.67248908] ; [116.67248908  29.32751092],0
