Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000296,13.095238,[ 2 26] ; [9 7],[ 7. 21.] ; [ 4. 12.],1
p2,1,0.324343,0.971352,[11 16] ; [9 7],[12.55813953 14.44186047] ; [7.44186047 8.55813953],0
b5,1,0.324583,0.970391,[15 13] ; [11  5],[16.54545455 11.45454545] ; [9.45454545 6.54545455],0
v2,1,0.337276,0.920759,[ 9 19] ; [ 3 13],[ 7.63636364 20.36363636] ; [ 4.36363636 11.63636364],0
p6,1,0.375399,0.785714,[ 4 24] ; [ 4 12],[ 5.09090909 22.90909091] ; [ 2.90909091 13.09090909],0
p11,1,0.441341,0.592793,[ 9 19] ; [7 9],[10.18181818 17.81818182] ; [ 5.81818182 10.18181818],0
p5,1,0.4847,0.48827,[ 3 24] ; [ 3 13],[ 3.76744186 23.23255814] ; [ 2.23255814 13.76744186],0
r1,1,0.530801,0.392857,[13 15] ; [9 7],[14. 14.] ; [8. 8.],0
p7,1,0.531639,0.391257,[10 16] ; [ 4 10],[ 9.1 16.9] ; [4.9 9.1],0
u1,1,0.552098,0.353571,[ 2 26] ; [ 2 14],[ 2.54545455 25.45454545] ; [ 1.45454545 14.54545455],0
s1,1,0.552098,0.353571,[ 2 26] ; [ 2 14],[ 2.54545455 25.45454545] ; [ 1.45454545 14.54545455],0
p10,1,0.565172,0.330827,[15 13] ; [10  6],[15.90909091 12.09090909] ; [9.09090909 6.90909091],0
d5,1,0.572044,0.319274,[23  5] ; [12  4],[22.27272727  5.72727273] ; [12.72727273  3.27272727],0
v1,1,0.594014,0.28412,[11 17] ; [ 5 11],[10.18181818 17.81818182] ; [ 5.81818182 10.18181818],0
s6,1,0.598469,0.277311,[10 18] ; [7 9],[10.81818182 17.18181818] ; [6.18181818 9.81818182],0
p4,1,0.655469,0.199074,[12 15] ; [ 6 10],[11.30232558 15.69767442] ; [6.69767442 9.30232558],0
u2,1,0.678845,0.171429,[3 5] ; [2 2],[3.33333333 4.66666667] ; [1.66666667 2.33333333],0
u3,1,0.678845,0.171429,[5 3] ; [2 2],[4.66666667 3.33333333] ; [2.33333333 1.66666667],0
p12,1,0.681567,0.168367,[ 1 27] ; [ 1 15],[ 1.27272727 26.72727273] ; [ 0.72727273 15.27272727],0
a2,1,0.696933,0.151682,[ 4 24] ; [ 3 13],[ 4.45454545 23.54545455] ; [ 2.54545455 13.45454545],0
a4,1,0.724058,0.124638,[12 15] ; [8 8],[12.55813953 14.44186047] ; [7.44186047 8.55813953],0
s4,1,0.785671,0.07395,[ 6 22] ; [ 4 12],[ 6.36363636 21.63636364] ; [ 3.63636364 12.36363636],0
a3,1,0.798041,0.065476,[20  8] ; [12  4],[20.36363636  7.63636364] ; [11.63636364  4.36363636],0
p3,1,0.84669,0.037382,[11 16] ; [7 9],[11.30232558 15.69767442] ; [6.69767442 9.30232558],0
d3,1,0.851399,0.035094,[20  8] ; [11  5],[19.72727273  8.27272727] ; [11.27272727  4.72727273],0
b3,1,0.856315,0.032785,[ 5 13] ; [4 9],[ 5.22580645 12.77419355] ; [3.77419355 9.22580645],0
b2,1,0.856315,0.032785,[ 5 13] ; [4 9],[ 5.22580645 12.77419355] ; [3.77419355 9.22580645],0
p8,1,0.90571,0.014031,[10 18] ; [ 6 10],[10.18181818 17.81818182] ; [ 5.81818182 10.18181818],0
b4,1,0.906842,0.013694,[17 11] ; [10  6],[17.18181818 10.81818182] ; [9.81818182 6.18181818],0
d1,1,0.906842,0.013694,[17 11] ; [10  6],[17.18181818 10.81818182] ; [9.81818182 6.18181818],0
v4,1,0.951226,0.003741,[19  9] ; [11  5],[19.09090909  8.90909091] ; [10.90909091  5.09090909],0
