Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.2e-05,19.103864,[14 20] ; [47  8],[23.30337079 10.69662921] ; [37.69662921 17.30337079],1
p8,1,0.749,0.102373,[ 9 25] ; [16 38],[ 9.65909091 24.34090909] ; [15.34090909 38.65909091],0
b1,1,0.802458,0.062584,[17 17] ; [29 26],[17.57303371 16.42696629] ; [28.42696629 26.57303371],0
n3,1,0.821963,0.050634,[9 8] ; [13 10],[9.35 7.65] ; [12.65 10.35],0
r3,1,0.834499,0.043654,[18 15] ; [29 22],[18.46428571 14.53571429] ; [28.53571429 22.46428571],0
p12,1,0.835524,0.043107,[ 1 33] ; [ 2 51],[ 1.17241379 32.82758621] ; [ 1.82758621 51.17241379],0
b2,1,0.871034,0.026356,[ 8 15] ; [14 24],[ 8.29508197 14.70491803] ; [13.70491803 24.29508197],0
b3,1,0.871034,0.026356,[ 8 15] ; [14 24],[ 8.29508197 14.70491803] ; [13.70491803 24.29508197],0
p1,1,0.893354,0.017972,[ 4 30] ; [ 7 48],[ 4.20224719 29.79775281] ; [ 6.79775281 48.20224719],0
r1,1,0.93843,0.005966,[10 24] ; [16 37],[10.16091954 23.83908046] ; [15.83908046 37.16091954],0
s6,1,0.94174,0.005341,[14 20] ; [21 31],[13.8372093 20.1627907] ; [21.1627907 30.8372093],0
