Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00033,12.894737,[29 20] ; [28 70],[19. 30.] ; [38. 60.],1
p12,1,0.45372,0.561342,[ 2 47] ; [ 2 99],[ 1.30666667 47.69333333] ; [ 2.69333333 98.30666667],0
d5,1,0.457717,0.551471,[36 14] ; [66 34],[34. 16.] ; [68. 32.],0
b4,1,0.514023,0.425868,[31 19] ; [57 44],[29.13907285 20.86092715] ; [58.86092715 42.13907285],0
n1,1,0.514583,0.424736,[7 9] ; [17 32],[ 5.90769231 10.09230769] ; [18.09230769 30.90769231],0
b1,1,0.521276,0.411368,[21 29] ; [48 53],[22.84768212 27.15231788] ; [46.15231788 54.84768212],0
a1,1,0.533686,0.387368,[ 3 47] ; [ 9 92],[ 3.97350993 46.02649007] ; [ 8.02649007 92.97350993],0
p9,1,0.563887,0.333019,[18 31] ; [31 66],[16.44520548 32.55479452] ; [32.55479452 64.44520548],0
p7,1,0.589712,0.290794,[18 30] ; [33 67],[16.54054054 31.45945946] ; [34.45945946 65.54054054],0
p6,1,0.672141,0.179107,[10 40] ; [17 82],[ 9.06040268 40.93959732] ; [17.93959732 81.06040268],0
d1,1,0.689156,0.16,[24 26] ; [45 56],[22.84768212 27.15231788] ; [46.15231788 54.84768212],0
n5,1,0.700349,0.14811,[27 22] ; [59 42],[28.09333333 20.90666667] ; [57.90666667 43.09333333],0
u3,1,0.750223,0.101344,[6 9] ; [21 26],[6.53225806 8.46774194] ; [20.46774194 26.53225806],0
p1,1,0.808167,0.058948,[ 3 47] ; [ 5 94],[ 2.68456376 47.31543624] ; [ 5.31543624 93.68456376],0
b2,1,0.90356,0.014681,[11 23] ; [19 42],[10.73684211 23.26315789] ; [19.26315789 41.73684211],0
b3,1,0.90356,0.014681,[11 23] ; [19 42],[10.73684211 23.26315789] ; [19.26315789 41.73684211],0
u2,1,0.945411,0.004688,[7 8] ; [21 25],[6.8852459 8.1147541] ; [21.1147541 24.8852459],0
a4,1,0.990615,0.000138,[22 27] ; [45 55],[22.03355705 26.96644295] ; [44.96644295 55.03355705],0
