Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000424,12.424908,[31 47] ; [22  6],[39. 39.] ; [14. 14.],1
p8,1,0.451841,0.566029,[23 57] ; [ 6 22],[21.48148148 58.51851852] ; [ 7.51851852 20.48148148],0
a6,1,0.458392,0.549818,[54 26] ; [21  7],[55.55555556 24.44444444] ; [19.44444444  8.55555556],0
n3,1,0.508332,0.4375,[15  5] ; [5 3],[14.28571429  5.71428571] ; [5.71428571 2.28571429],0
a3,1,0.528066,0.398112,[58 22] ; [22  6],[59.25925926 20.74074074] ; [20.74074074  7.25925926],0
v2,1,0.541567,0.372644,[55 23] ; [18 10],[53.71698113 24.28301887] ; [19.28301887  8.71698113],0
b2,1,0.548707,0.359639,[17 27] ; [8 9],[18.03278689 25.96721311] ; [ 6.96721311 10.03278689],0
b3,1,0.548707,0.359639,[17 27] ; [8 9],[18.03278689 25.96721311] ; [ 6.96721311 10.03278689],0
a8,1,0.563154,0.334273,[ 6 67] ; [ 1 21],[ 5.37894737 67.62105263] ; [ 1.62105263 20.37894737],0
r2,1,0.594343,0.283613,[75  5] ; [27  1],[75.55555556  4.44444444] ; [26.44444444  1.55555556],0
u3,1,0.594853,0.282828,[12 10] ; [4 2],[12.57142857  9.42857143] ; [3.42857143 2.57142857],0
p6,1,0.614771,0.253285,[12 68] ; [ 3 24],[11.21495327 68.78504673] ; [ 3.78504673 23.21495327],0
n5,1,0.640209,0.218469,[58 22] ; [19  9],[57.03703704 22.96296296] ; [19.96296296  8.03703704],0
n2,1,0.664617,0.187963,[14  7] ; [6 2],[14.48275862  6.51724138] ; [5.51724138 2.48275862],0
d1,1,0.680954,0.169054,[45 35] ; [17 11],[45.92592593 34.07407407] ; [16.07407407 11.92592593],0
p9,1,0.722792,0.125833,[58 21] ; [20  6],[58.68571429 20.31428571] ; [19.31428571  6.68571429],0
p3,1,0.735068,0.114509,[23 57] ; [ 9 19],[23.7037037 56.2962963] ; [ 8.2962963 19.7037037],0
n1,1,0.823218,0.049911,[ 8 13] ; [3 4],[ 8.25 12.75] ; [2.75 4.25],0
s4,1,0.869433,0.02702,[ 8 72] ; [ 3 24],[ 8.22429907 71.77570093] ; [ 2.77570093 24.22429907],0
r3,1,0.869433,0.02702,[72  8] ; [24  3],[71.77570093  8.22429907] ; [24.22429907  2.77570093],0
b4,1,0.8867,0.020301,[56 24] ; [20  8],[56.2962963 23.7037037] ; [19.7037037  8.2962963],0
n4,1,0.906568,0.013776,[62 18] ; [22  6],[62.22222222 17.77777778] ; [21.77777778  6.22222222],0
p2,1,0.960085,0.002505,[49 31] ; [17 11],[48.88888889 31.11111111] ; [17.11111111 10.88888889],0
