Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5.4e-05,16.300325,[25  6] ; [19 35],[16.04705882 14.95294118] ; [27.95294118 26.04705882],1
n2,1,0.416793,0.659341,[6 1] ; [9 4],[5.25 1.75] ; [9.75 3.25],0
n1,1,0.423139,0.641581,[3 4] ; [8 5],[3.85 3.15] ; [7.15 5.85],0
p4,1,0.442628,0.589461,[19 12] ; [29 26],[17.30232558 13.69767442] ; [30.69767442 24.30232558],0
p2,1,0.476867,0.50602,[24  7] ; [46  9],[25.23255814  5.76744186] ; [44.76744186 10.23255814],0
p5,1,0.486488,0.484284,[ 5 26] ; [ 6 49],[ 3.96511628 27.03488372] ; [ 7.03488372 47.96511628],0
a6,1,0.496032,0.463416,[18 13] ; [36 19],[19.46511628 11.53488372] ; [34.53488372 20.46511628],0
r4,1,0.516345,0.421188,[28  3] ; [47  8],[27.03488372  3.96511628] ; [47.96511628  7.03488372],0
s8,1,0.537158,0.380833,[12 17] ; [19 36],[10.70238095 18.29761905] ; [20.29761905 34.70238095],0
s6,1,0.566704,0.328229,[18 11] ; [30 24],[16.77108434 12.22891566] ; [31.22891566 22.77108434],0
d2,1,0.583,0.301409,[16 15] ; [25 30],[14.77906977 16.22093023] ; [26.22093023 28.77906977],0
b1,1,0.60037,0.274438,[ 9 22] ; [19 36],[10.09302326 20.90697674] ; [17.90697674 37.09302326],0
d5,1,0.624952,0.238969,[21 10] ; [40 15],[21.98837209  9.01162791] ; [39.01162791 15.98837209],0
a7,1,0.632064,0.229272,[24  7] ; [40 15],[23.06976744  7.93023256] ; [40.93023256 14.06976744],0
a8,1,0.662803,0.190136,[ 4 24] ; [ 5 41],[ 3.40540541 24.59459459] ; [ 5.59459459 40.40540541],0
r2,1,0.667362,0.184703,[29  2] ; [50  5],[28.47674419  2.52325581] ; [50.52325581  4.47674419],0
r3,1,0.695377,0.153326,[28  3] ; [51  4],[28.47674419  2.52325581] ; [50.52325581  4.47674419],0
p6,1,0.70056,0.14789,[ 6 24] ; [13 42],[ 6.70588235 23.29411765] ; [12.29411765 42.70588235],0
d3,1,0.701306,0.147116,[21 10] ; [35 20],[20.18604651 10.81395349] ; [35.81395349 19.18604651],0
n5,1,0.718921,0.129529,[22  9] ; [41 14],[22.70930233  8.29069767] ; [40.29069767 14.70930233],0
s5,1,0.737493,0.112342,[ 6 23] ; [ 9 42],[ 5.4375 23.5625] ; [ 9.5625 41.4375],0
p11,1,0.7588,0.094284,[21 10] ; [39 16],[21.62790698  9.37209302] ; [38.37209302 16.62790698],0
p3,1,0.782564,0.076165,[13 18] ; [21 33],[12.4 18.6] ; [21.6 32.4],0
s1,1,0.84953,0.035993,[ 2 29] ; [ 3 52],[ 1.80232558 29.19767442] ; [ 3.19767442 51.80232558],0
s7,1,0.859868,0.031167,[12 17] ; [23 30],[12.37804878 16.62195122] ; [22.62195122 30.37804878],0
a2,1,0.893231,0.018014,[ 6 25] ; [10 45],[ 5.76744186 25.23255814] ; [10.23255814 44.76744186],0
u4,1,0.920639,0.009926,[ 1 30] ; [ 2 53],[ 1.08139535 29.91860465] ; [ 1.91860465 53.08139535],0
u3,1,0.9293,0.007872,[5 4] ; [14 12],[4.88571429 4.11428571] ; [14.11428571 11.88571429],0
p9,1,0.936593,0.006329,[26  4] ; [48  7],[26.11764706  3.88235294] ; [47.88235294  7.11764706],0
d4,1,0.942496,0.005203,[25  6] ; [44 11],[24.87209302  6.12790698] ; [44.12790698 10.87209302],0
a4,1,0.98698,0.000266,[12 19] ; [21 33],[12.03529412 18.96470588] ; [20.96470588 33.03529412],0
