Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.5e-05,17.121889,[30 72] ; [18  6],[38.85714286 63.14285714] ; [ 9.14285714 14.85714286],1
d2,1,0.419113,0.652802,[36 66] ; [11 14],[37.7480315 64.2519685] ; [ 9.2519685 15.7480315],0
a3,1,0.461869,0.541362,[57 45] ; [16  9],[58.62992126 43.37007874] ; [14.37007874 10.62992126],0
d1,1,0.475563,0.50902,[49 53] ; [14 11],[50.5984252 51.4015748] ; [12.4015748 12.5984252],0
a2,1,0.510016,0.434035,[13 89] ; [ 2 23],[12.04724409 89.95275591] ; [ 2.95275591 22.04724409],0
p4,1,0.528451,0.397369,[31 71] ; [ 6 19],[29.71653543 72.28346457] ; [ 7.28346457 17.71653543],0
v2,1,0.530502,0.393429,[49 47] ; [11 14],[47.60330579 48.39669421] ; [12.39669421 12.60330579],0
a1,1,0.547389,0.362016,[  2 100] ; [ 1 24],[ 2.40944882 99.59055118] ; [ 0.59055118 24.40944882],0
r3,1,0.626538,0.236785,[93  9] ; [22  3],[92.36220472  9.63779528] ; [22.63779528  2.36220472],0
s8,1,0.640959,0.217491,[24 78] ; [ 7 18],[24.8976378 77.1023622] ; [ 6.1023622 18.8976378],0
p9,1,0.682274,0.167578,[60 39] ; [15  8],[60.86065574 38.13934426] ; [14.13934426  8.86065574],0
n3,1,0.688251,0.160985,[22 13] ; [5 4],[21.47727273 13.52272727] ; [5.52272727 3.47727273],0
b1,1,0.688827,0.160358,[37 65] ; [ 8 17],[36.14173228 65.85826772] ; [ 8.85826772 16.14173228],0
v3,1,0.692778,0.156094,[26 67] ; [ 6 19],[25.22033898 67.77966102] ; [ 6.77966102 18.22033898],0
d4,1,0.693079,0.155772,[85 17] ; [20  5],[84.33070866 17.66929134] ; [20.66929134  4.33070866],0
v4,1,0.694712,0.154032,[86 16] ; [21  3],[86.61904762 15.38095238] ; [20.38095238  3.61904762],0
d5,1,0.708662,0.139617,[81 21] ; [19  6],[80.31496063 21.68503937] ; [19.68503937  5.31496063],0
a5,1,0.709618,0.138659,[57 45] ; [15 10],[57.82677165 44.17322835] ; [14.17322835 10.82677165],0
b2,1,0.7197,0.12878,[21 33] ; [4 8],[20.45454545 33.54545455] ; [4.54545455 7.45454545],0
b3,1,0.7197,0.12878,[21 33] ; [4 8],[20.45454545 33.54545455] ; [4.54545455 7.45454545],0
a7,1,0.724894,0.123852,[73 29] ; [17  8],[72.28346457 29.71653543] ; [17.71653543  7.28346457],0
p3,1,0.765313,0.089109,[23 78] ; [ 5 20],[22.44444444 78.55555556] ; [ 5.55555556 19.44444444],0
b4,1,0.767226,0.087619,[62 40] ; [16  9],[62.64566929 39.35433071] ; [15.35433071  9.64566929],0
n6,1,0.783456,0.075525,[54 48] ; [14 11],[54.61417323 47.38582677] ; [13.38582677 11.61417323],0
a6,1,0.844616,0.038413,[59 43] ; [15 10],[59.43307087 42.56692913] ; [14.56692913 10.43307087],0
p1,1,0.852548,0.034547,[ 7 94] ; [ 2 23],[ 7.21428571 93.78571429] ; [ 1.78571429 23.21428571],0
r1,1,0.867064,0.028019,[71 30] ; [18  7],[71.34126984 29.65873016] ; [17.65873016  7.34126984],0
n4,1,0.870958,0.026387,[39 63] ; [10 15],[39.35433071 62.64566929] ; [ 9.64566929 15.35433071],0
a4,1,0.907286,0.013564,[38 64] ; [ 9 16],[37.7480315 64.2519685] ; [ 9.2519685 15.7480315],0
