Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,95.410555,[170   3] ; [40 43],[141.9140625  31.0859375] ; [68.0859375 14.9140625],1
v4,1,0.438088,0.601286,[167   5] ; [79  4],[165.92941176   6.07058824] ; [80.07058824  2.92941176],0
b4,1,0.505144,0.444113,[110  64] ; [56 27],[112.38910506  61.61089494] ; [53.61089494 29.38910506],0
s1,1,0.515828,0.422226,[  4 167] ; [ 3 76],[  4.788 166.212] ; [ 2.212 76.788],0
n3,1,0.552821,0.352288,[22 11] ; [12  4],[22.89795918 10.10204082] ; [11.10204082  4.89795918],0
p6,1,0.620189,0.245603,[ 66 103] ; [29 52],[ 64.22 104.78] ; [30.78 50.22],0
p7,1,0.674036,0.176917,[111  56] ; [51 29],[109.53036437  57.46963563] ; [52.46963563 27.53036437],0
r2,1,0.749112,0.102278,[169   5] ; [80  3],[168.58365759   5.41634241] ; [80.41634241  2.58365759],0
b3,1,0.780739,0.077482,[45 73] ; [15 27],[44.25 73.75] ; [15.75 26.25],0
b2,1,0.780739,0.077482,[45 73] ; [15 27],[44.25 73.75] ; [15.75 26.25],0
s4,1,0.881749,0.022127,[ 20 151] ; [10 71],[ 20.35714286 150.64285714] ; [ 9.64285714 71.35714286],0
r4,1,0.92223,0.009531,[162  12] ; [77  6],[161.81322957  12.18677043] ; [77.18677043  5.81322957],0
n2,1,0.953884,0.003344,[25  8] ; [12  4],[24.91836735  8.08163265] ; [12.08163265  3.91836735],0
