Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,186.066754,[ 70 281] ; [250 101],[160. 191.] ; [160. 191.],1
r3,1,0.247216,1.338969,[335  17] ; [341  11],[338.  14.] ; [338.  14.],0
d5,1,0.248617,1.331058,[303  49] ; [314  39],[308.06241135  43.93758865] ; [308.93758865  44.06241135],0
a1,1,0.252567,1.309049,[ 16 336] ; [ 23 330],[ 19.47234043 332.52765957] ; [ 19.52765957 333.47234043],0
b5,1,0.259283,1.27258,[222 130] ; [208 145],[214.69503546 137.30496454] ; [215.30496454 137.69503546],0
d3,1,0.271595,1.208676,[266  86] ; [279  74],[272.11347518  79.88652482] ; [272.88652482  80.11347518],0
n2,1,0.272529,1.203972,[62 26] ; [57 16],[65.04347826 22.95652174] ; [53.95652174 19.04347826],0
r4,1,0.275162,1.190832,[318  34] ; [327  26],[322.04255319  29.95744681] ; [322.95744681  30.04255319],0
n3,1,0.327773,0.957678,[63 25] ; [47 26],[60.1242236 27.8757764] ; [49.8757764 23.1242236],0
b1,1,0.455443,0.557072,[129 223] ; [139 214],[133.80992908 218.19007092] ; [134.19007092 218.80992908],0
p11,1,0.565779,0.329797,[275  77] ; [282  71],[278.10496454  73.89503546] ; [278.89503546  74.10496454],0
