Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6e-06,20.502769,[36 29] ; [46  3],[46.75438596 18.24561404] ; [35.24561404 13.75438596],1
b3,1,0.466245,0.530862,[16 23] ; [14 14],[17.46268657 21.53731343] ; [12.53731343 15.46268657],0
s7,1,0.491691,0.472824,[10 52] ; [10 37],[11.37614679 50.62385321] ; [ 8.62385321 38.37614679],0
d1,1,0.519415,0.415055,[24 42] ; [15 34],[22.3826087 43.6173913] ; [16.6173913 32.3826087],0
n4,1,0.537976,0.379303,[38 28] ; [31 18],[39.6 26.4] ; [29.4 19.6],0
u1,1,0.557804,0.34352,[ 6 60] ; [ 3 46],[ 5.16521739 60.83478261] ; [ 3.83478261 45.16521739],0
n1,1,0.562786,0.334903,[ 9 19] ; [5 7],[ 9.8 18.2] ; [4.2 7.8],0
s5,1,0.564645,0.331725,[ 5 60] ; [ 5 41],[ 5.85585586 59.14414414] ; [ 4.14414414 41.85585586],0
d4,1,0.619776,0.246182,[36 30] ; [29 20],[37.30434783 28.69565217] ; [27.69565217 21.30434783],0
a2,1,0.659614,0.193993,[ 7 59] ; [ 4 45],[ 6.31304348 59.68695652] ; [ 4.68695652 44.31304348],0
n5,1,0.66537,0.187065,[43 23] ; [30 19],[41.89565217 24.10434783] ; [31.10434783 17.89565217],0
u2,1,0.691555,0.157407,[11 22] ; [ 7 11],[11.64705882 21.35294118] ; [ 6.35294118 11.64705882],0
p8,1,0.719592,0.128884,[18 46] ; [15 33],[18.85714286 45.14285714] ; [14.14285714 33.85714286],0
p1,1,0.802291,0.062692,[ 9 56] ; [ 6 43],[ 8.55263158 56.44736842] ; [ 6.44736842 42.55263158],0
d3,1,0.814139,0.055267,[27 38] ; [21 27],[27.61061947 37.38938053] ; [20.38938053 27.61061947],0
s4,1,0.826571,0.048006,[ 9 57] ; [ 6 43],[ 8.60869565 57.39130435] ; [ 6.39130435 42.60869565],0
a4,1,0.830379,0.045888,[20 45] ; [16 33],[20.52631579 44.47368421] ; [15.47368421 33.52631579],0
b4,1,0.831038,0.045527,[35 31] ; [25 24],[34.43478261 31.56521739] ; [25.56521739 23.43478261],0
a5,1,0.95271,0.003517,[30 36] ; [22 27],[29.84347826 36.15652174] ; [22.15652174 26.84347826],0
