Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.515888,[35 48] ; [206  84],[53.62734584 29.37265416] ; [187.37265416 102.62734584],1
a5,1,0.091893,2.840896,[47 36] ; [194  97],[53.48395722 29.51604278] ; [187.51604278 103.48395722],0
u3,1,0.093587,2.81157,[18  9] ; [48 51],[14.14285714 12.85714286] ; [51.85714286 47.14285714],0
v2,1,0.100114,2.703734,[33 44] ; [147 128],[39.375 37.625] ; [140.625 134.375],0
p8,1,0.147638,2.09649,[22 59] ; [102 183],[27.44262295 53.55737705] ; [ 96.55737705 188.44262295],0
d1,1,0.153865,2.03351,[34 49] ; [145 146],[39.72459893 43.27540107] ; [139.27540107 151.72459893],0
s8,1,0.161097,1.963895,[23 60] ; [104 185],[28.33602151 54.66397849] ; [ 98.66397849 190.33602151],0
a4,1,0.21714,1.52317,[27 56] ; [116 174],[31.82037534 51.17962466] ; [111.17962466 178.82037534],0
s3,1,0.262005,1.258134,[46 37] ; [139 148],[41.5 41.5] ; [143.5 143.5],0
p12,1,0.309718,1.031876,[ 2 78] ; [ 15 274],[ 3.68563686 76.31436314] ; [ 13.31436314 275.68563686],0
n2,1,0.357436,0.846881,[22 10] ; [67 20],[23.93277311  8.06722689] ; [65.06722689 21.93277311],0
s7,1,0.358616,0.842736,[25 52] ; [108 175],[28.44722222 48.55277778] ; [104.55277778 178.44722222],0
d2,1,0.390076,0.738705,[30 52] ; [121 168],[33.37466307 48.62533693] ; [117.62533693 171.37466307],0
s1,1,0.437742,0.602195,[ 4 77] ; [  9 278],[ 2.86141304 78.13858696] ; [ 10.13858696 276.86141304],0
d5,1,0.455736,0.556345,[58 24] ; [217  73],[60.61827957 21.38172043] ; [214.38172043  75.61827957],0
n1,1,0.480265,0.498263,[ 9 22] ; [31 55],[10.5982906 20.4017094] ; [29.4017094 56.5982906],0
p5,1,0.485903,0.485587,[ 2 79] ; [ 12 278],[ 3.05660377 77.94339623] ; [ 10.94339623 279.05660377],0
p6,1,0.520076,0.413743,[12 66] ; [ 53 233],[13.92857143 64.07142857] ; [ 51.07142857 234.92857143],0
p3,1,0.544446,0.367362,[21 61] ; [ 65 225],[18.95698925 63.04301075] ; [ 67.04301075 222.95698925],0
s2,1,0.631527,0.229995,[33 50] ; [123 165],[34.90026954 48.09973046] ; [121.09973046 166.90026954],0
r1,1,0.670692,0.180793,[61 22] ; [219  70],[62.47311828 20.52688172] ; [217.52688172  71.47311828],0
a7,1,0.678787,0.171495,[58 25] ; [195  94],[56.44892473 26.55107527] ; [196.55107527  92.44892473],0
d3,1,0.710498,0.13778,[51 30] ; [176 114],[49.5606469 31.4393531] ; [177.4393531 112.5606469],0
a8,1,0.723797,0.124883,[ 9 71] ; [ 34 233],[ 9.91354467 70.08645533] ; [ 33.08645533 233.91354467],0
p1,1,0.742953,0.107548,[ 5 77] ; [ 15 275],[ 4.40860215 77.59139785] ; [ 15.59139785 274.40860215],0
b5,1,0.803591,0.061853,[54 29] ; [185 106],[53.04010695 29.95989305] ; [185.95989305 105.04010695],0
a1,1,0.83478,0.043504,[ 3 80] ; [ 12 279],[ 3.32887701 79.67112299] ; [ 11.67112299 279.32887701],0
b4,1,0.85739,0.032291,[47 36] ; [168 123],[47.71390374 35.28609626] ; [167.28609626 123.71390374],0
a6,1,0.882067,0.022008,[53 29] ; [190 100],[53.56451613 28.43548387] ; [189.43548387 100.56451613],0
a3,1,0.891067,0.018756,[56 27] ; [192  96],[55.48247978 27.51752022] ; [192.51752022  95.48247978],0
d4,1,0.937449,0.006159,[63 19] ; [224  66],[63.26344086 18.73655914] ; [223.73655914  66.26344086],0
v1,1,0.96647,0.001767,[35 45] ; [125 159],[35.16483516 44.83516484] ; [124.83516484 159.16483516],0
s4,1,0.975029,0.00098,[14 69] ; [ 49 239],[14.09433962 68.90566038] ; [ 48.90566038 239.09433962],0
n3,1,0.99054,0.000141,[21  9] ; [61 26],[21.02564103  8.97435897] ; [60.97435897 26.02564103],0
