Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000803,11.235434,[10 13] ; [13 86],[ 4.33606557 18.66393443] ; [18.66393443 80.33606557],1
u1,1,0.328255,0.95577,[ 2 21] ; [17 84],[ 3.52419355 19.47580645] ; [15.47580645 85.52419355],0
v4,1,0.339512,0.912273,[21  2] ; [97  4],[21.88709677  1.11290323] ; [96.11290323  4.88709677],0
p4,1,0.358701,0.842436,[16  6] ; [63 38],[14.1300813  7.8699187] ; [64.8699187 36.1300813],0
s7,1,0.380799,0.76812,[14  7] ; [54 42],[12.20512821  8.79487179] ; [55.79487179 40.20512821],0
v1,1,0.384609,0.755919,[13 10] ; [46 53],[11.12295082 11.87704918] ; [47.87704918 51.12295082],0
a8,1,0.403862,0.696797,[ 4 18] ; [11 84],[ 2.82051282 19.17948718] ; [12.17948718 82.82051282],0
d2,1,0.436022,0.606729,[10 13] ; [53 48],[11.68548387 11.31451613] ; [51.31451613 49.68548387],0
p12,1,0.444712,0.584094,[ 3 20] ; [ 8 92],[ 2.05691057 20.94308943] ; [ 8.94308943 91.05691057],0
p9,1,0.459336,0.547511,[20  2] ; [84 15],[18.90909091  3.09090909] ; [85.09090909 13.90909091],0
a4,1,0.488235,0.480413,[13 10] ; [49 52],[11.5 11.5] ; [50.5 50.5],0
u2,1,0.498234,0.458697,[4 2] ; [16 15],[3.24324324 2.75675676] ; [16.75675676 14.24324324],0
a2,1,0.509557,0.434977,[ 4 19] ; [24 77],[ 5.19354839 17.80645161] ; [22.80645161 78.19354839],0
d1,1,0.525854,0.402397,[12 11] ; [60 41],[13.35483871  9.64516129] ; [58.64516129 42.35483871],0
r3,1,0.555675,0.347247,[20  3] ; [91  9],[20.75609756  2.24390244] ; [90.24390244  9.75609756],0
p2,1,0.569492,0.323533,[19  4] ; [88 13],[19.84677419  3.15322581] ; [87.15322581 13.84677419],0
d5,1,0.595112,0.282432,[17  6] ; [79 21],[17.95121951  5.04878049] ; [78.04878049 21.95121951],0
s1,1,0.654911,0.199765,[ 2 21] ; [ 6 92],[ 1.52066116 21.47933884] ; [ 6.47933884 91.52066116],0
b4,1,0.66834,0.18355,[15  8] ; [61 40],[14.09677419  8.90322581] ; [61.90322581 39.09677419],0
n1,1,0.680243,0.169853,[3 2] ; [14 14],[2.57575758 2.42424242] ; [14.42424242 13.57575758],0
u3,1,0.694443,0.154317,[4 2] ; [18 13],[3.56756757 2.43243243] ; [18.43243243 12.56756757],0
p10,1,0.709428,0.138849,[18  4] ; [85 15],[18.57377049  3.42622951] ; [84.42622951 15.57377049],0
a3,1,0.709971,0.138306,[17  6] ; [70 30],[16.26829268  6.73170732] ; [70.73170732 29.26829268],0
a7,1,0.732496,0.116833,[15  8] ; [62 39],[14.28225806  8.71774194] ; [62.71774194 38.28225806],0
p7,1,0.752703,0.099273,[15  7] ; [64 35],[14.36363636  7.63636364] ; [64.63636364 34.36363636],0
b3,1,0.77009,0.085415,[5 8] ; [27 36],[5.47368421 7.52631579] ; [26.52631579 36.47368421],0
b2,1,0.77009,0.085415,[5 8] ; [27 36],[5.47368421 7.52631579] ; [26.52631579 36.47368421],0
s3,1,0.793015,0.068852,[15  7] ; [71 29],[15.50819672  6.49180328] ; [70.49180328 29.50819672],0
r1,1,0.851754,0.034925,[18  5] ; [80 20],[18.32520325  4.67479675] ; [79.67479675 20.32520325],0
a6,1,0.868048,0.027602,[13 10] ; [59 42],[13.35483871  9.64516129] ; [58.64516129 42.35483871],0
n2,1,0.944658,0.004819,[5 1] ; [23  5],[4.94117647 1.05882353] ; [23.05882353  4.94117647],0
s8,1,0.966432,0.001771,[11 11] ; [50 51],[10.91056911 11.08943089] ; [50.08943089 50.91056911],0
r4,1,0.973861,0.001074,[21  2] ; [92  9],[20.95967742  2.04032258] ; [92.04032258  8.95967742],0
d3,1,0.980654,0.000588,[16  7] ; [70 31],[15.9516129  7.0483871] ; [70.0483871 30.9516129],0
n3,1,1.0,0.0,[4 2] ; [18  9],[4. 2.] ; [18.  9.],0
