Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.62125,[16 89] ; [108 154],[35.47683924 69.52316076] ; [ 88.52316076 173.47683924],1
d3,1,0.216759,1.525699,[59 45] ; [170  97],[64.19407008 39.80592992] ; [164.80592992 102.19407008],0
s6,1,0.275961,1.186873,[53 50] ; [153 112],[57.6576087 45.3423913] ; [148.3423913 116.6576087],0
a7,1,0.349015,0.877034,[68 37] ; [187  81],[71.78284182 33.21715818] ; [183.21715818  84.78284182],0
a8,1,0.355809,0.852633,[12 91] ; [ 38 208],[14.75644699 88.24355301] ; [ 35.24355301 210.75644699],0
a1,1,0.396291,0.719552,[  5 100] ; [  8 261],[  3.64973262 101.35026738] ; [  9.35026738 259.64973262],0
a4,1,0.398252,0.713596,[44 61] ; [100 169],[40.42780749 64.57219251] ; [103.57219251 165.42780749],0
n3,1,0.404728,0.694235,[25 13] ; [55 20],[26.90265487 11.09734513] ; [53.09734513 21.90265487],0
p6,1,0.444881,0.58366,[16 88] ; [ 49 212],[18.52054795 85.47945205] ; [ 46.47945205 214.52054795],0
n4,1,0.44958,0.571709,[67 38] ; [182  86],[70.09383378 34.90616622] ; [178.90616622  89.09383378],0
u3,1,0.454777,0.558719,[21 16] ; [43 44],[19.09677419 17.90322581] ; [44.90322581 42.09677419],0
p5,1,0.463359,0.537768,[  2 102] ; [  9 259],[  3.07526882 100.92473118] ; [  7.92473118 260.07526882],0
a5,1,0.478814,0.501564,[65 40] ; [177  92],[67.94117647 37.05882353] ; [174.05882353  94.94117647],0
a2,1,0.488569,0.479675,[22 83] ; [ 48 221],[19.65240642 85.34759358] ; [ 50.34759358 218.65240642],0
p12,1,0.509609,0.43487,[ 6 98] ; [ 11 253],[ 4.80434783 99.19565217] ; [ 12.19565217 251.80434783],0
n5,1,0.510124,0.433813,[63 42] ; [170  97],[65.76612903 39.23387097] ; [167.23387097  99.76612903],0
b2,1,0.514258,0.425393,[20 41] ; [53 88],[22.04455446 38.95544554] ; [50.95544554 90.04455446],0
b3,1,0.514258,0.425393,[20 41] ; [53 88],[22.04455446 38.95544554] ; [50.95544554 90.04455446],0
a3,1,0.529189,0.395949,[68 37] ; [182  85],[70.56451613 34.43548387] ; [179.43548387  87.56451613],0
n2,1,0.563053,0.334445,[29 12] ; [56 18],[30.30434783 10.69565217] ; [54.69565217 19.30434783],0
s5,1,0.589938,0.290441,[23 75] ; [ 68 191],[24.98039216 73.01960784] ; [ 66.01960784 192.98039216],0
d4,1,0.615522,0.252211,[81 23] ; [215  53],[82.75268817 21.24731183] ; [213.24731183  54.75268817],0
s8,1,0.632854,0.228211,[34 70] ; [ 95 174],[35.96782842 68.03217158] ; [ 93.03217158 175.96782842],0
u1,1,0.671557,0.179786,[15 90] ; [ 34 235],[13.75668449 91.24331551] ; [ 35.24331551 233.75668449],0
p3,1,0.694482,0.154276,[22 82] ; [ 62 207],[23.42091153 80.57908847] ; [ 60.57908847 208.42091153],0
b4,1,0.728867,0.120155,[60 45] ; [159 110],[61.48395722 43.51604278] ; [157.51604278 111.48395722],0
b5,1,0.777405,0.079921,[68 37] ; [170  99],[66.81818182 38.18181818] ; [171.18181818  97.81818182],0
s7,1,0.799154,0.064741,[39 61] ; [ 98 163],[37.9501385 62.0498615] ; [ 99.0498615 161.9501385],0
u2,1,0.815952,0.054175,[20 17] ; [44 41],[19.40983607 17.59016393] ; [44.59016393 40.40983607],0
d1,1,0.885967,0.020566,[52 53] ; [131 138],[51.37700535 53.62299465] ; [131.62299465 137.37700535],0
v2,1,0.886229,0.020471,[52 45] ; [134 120],[51.4017094 45.5982906] ; [134.5982906 119.4017094],0
v3,1,0.92043,0.009978,[33 64] ; [ 88 175],[32.60277778 64.39722222] ; [ 88.39722222 174.60277778],0
s2,1,0.945747,0.004631,[44 60] ; [114 153],[44.29110512 59.70889488] ; [113.70889488 153.29110512],0
