Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,27.125202,[97 13] ; [21 22],[84.83660131 25.16339869] ; [33.16339869  9.83660131],1
s5,1,0.413495,0.668731,[21 86] ; [ 6 37],[19.26 87.74] ; [ 7.74 35.26],0
a7,1,0.46652,0.530207,[64 47] ; [22 21],[61.98701299 49.01298701] ; [24.01298701 18.98701299],0
d3,1,0.485342,0.486837,[56 55] ; [19 24],[54.05844156 56.94155844] ; [20.94155844 22.05844156],0
b2,1,0.516402,0.421073,[21 40] ; [ 8 21],[19.65555556 41.34444444] ; [ 9.34444444 19.65555556],0
b3,1,0.516402,0.421073,[21 40] ; [ 8 21],[19.65555556 41.34444444] ; [ 9.34444444 19.65555556],0
a5,1,0.52267,0.408622,[58 53] ; [20 23],[56.22077922 54.77922078] ; [21.77922078 21.22077922],0
s4,1,0.532397,0.389815,[23 88] ; [ 7 36],[21.62337662 89.37662338] ; [ 8.37662338 34.62337662],0
u2,1,0.557756,0.343604,[21 30] ; [ 6 12],[19.95652174 31.04347826] ; [ 7.04347826 10.95652174],0
p7,1,0.557925,0.343309,[45 65] ; [15 27],[43.42105263 66.57894737] ; [16.57894737 25.42105263],0
a3,1,0.614832,0.253198,[59 51] ; [25 18],[60.39215686 49.60784314] ; [23.60784314 19.39215686],0
a6,1,0.691064,0.157936,[58 53] ; [24 19],[59.1038961 51.8961039] ; [22.8961039 20.1038961],0
s8,1,0.703173,0.145192,[21 90] ; [ 7 36],[20.18181818 90.81818182] ; [ 7.81818182 35.18181818],0
v1,1,0.793755,0.06835,[39 68] ; [14 27],[38.31756757 68.68243243] ; [14.68243243 26.31756757],0
p12,1,0.83876,0.041404,[  2 108] ; [ 1 42],[  2.15686275 107.84313725] ; [ 0.84313725 42.15686275],0
n3,1,0.869092,0.027163,[24 13] ; [10  6],[23.73584906 13.26415094] ; [10.26415094  5.73584906],0
a4,1,0.889203,0.019408,[32 78] ; [13 30],[32.35294118 77.64705882] ; [12.64705882 30.35294118],0
a8,1,0.899752,0.01587,[ 9 95] ; [ 4 39],[ 9.19727891 94.80272109] ; [ 3.80272109 39.19727891],0
s3,1,0.907641,0.013459,[46 64] ; [18 24],[46.31578947 63.68421053] ; [17.68421053 24.31578947],0
s7,1,0.952495,0.003549,[27 78] ; [11 31],[27.14285714 77.85714286] ; [10.85714286 31.14285714],0
