Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2e-06,22.93243,[18 12] ; [20 97],[ 7.75510204 22.24489796] ; [30.24489796 86.75510204],1
n1,1,0.207578,1.588235,[5 4] ; [15 30],[3.33333333 5.66666667] ; [16.66666667 28.33333333],0
p8,1,0.218414,1.514759,[12 19] ; [34 90],[ 9.2 21.8] ; [36.8 87.2],0
r1,1,0.243574,1.35979,[25  6] ; [87 37],[22.4  8.6] ; [89.6 34.4],0
p4,1,0.254544,1.29819,[14 17] ; [42 81],[11.27272727 19.72727273] ; [44.72727273 78.27272727],0
v1,1,0.295785,1.093103,[13 18] ; [40 85],[10.53205128 20.46794872] ; [42.46794872 82.53205128],0
p7,1,0.329648,0.950282,[16 14] ; [53 69],[13.61842105 16.38157895] ; [55.38157895 66.61842105],0
d1,1,0.355222,0.854714,[16 15] ; [53 72],[13.71153846 17.28846154] ; [55.28846154 69.71153846],0
p6,1,0.372929,0.793882,[ 7 23] ; [ 20 102],[ 5.32894737 24.67105263] ; [ 21.67105263 100.32894737],0
a1,1,0.406724,0.688358,[ 3 28] ; [  7 118],[ 1.98717949 29.01282051] ; [  8.01282051 116.98717949],0
a4,1,0.430913,0.620362,[ 9 22] ; [45 78],[10.87012987 20.12987013] ; [43.12987013 79.87012987],0
u1,1,0.452566,0.564216,[ 5 26] ; [ 14 111],[ 3.77564103 27.22435897] ; [ 15.22435897 109.77564103],0
a2,1,0.529928,0.394529,[ 4 27] ; [ 22 103],[ 5.16666667 25.83333333] ; [ 20.83333333 104.16666667],0
b5,1,0.54811,0.360715,[15 16] ; [68 57],[16.49358974 14.50641026] ; [66.50641026 58.49358974],0
a8,1,0.573871,0.316249,[ 2 27] ; [ 12 104],[ 2.8 26.2] ; [ 11.2 104.8],0
d2,1,0.599365,0.275955,[16 15] ; [57 66],[14.69480519 16.30519481] ; [58.30519481 64.69480519],0
s1,1,0.624077,0.240179,[ 3 27] ; [  9 114],[ 2.35294118 27.64705882] ; [  9.64705882 113.35294118],0
d4,1,0.702973,0.145397,[23  8] ; [87 36],[22.14285714  8.85714286] ; [87.85714286 35.14285714],0
a5,1,0.7091,0.139178,[19 12] ; [72 53],[18.08333333 12.91666667] ; [72.91666667 52.08333333],0
b3,1,0.736449,0.113272,[ 7 16] ; [26 50],[ 7.66666667 15.33333333] ; [25.33333333 50.66666667],0
b2,1,0.736449,0.113272,[ 7 16] ; [26 50],[ 7.66666667 15.33333333] ; [25.33333333 50.66666667],0
a6,1,0.764403,0.089823,[20 11] ; [77 48],[19.27564103 11.72435897] ; [77.72435897 47.27564103],0
p3,1,0.805578,0.060582,[ 9 22] ; [33 90],[ 8.45454545 22.54545455] ; [33.54545455 89.45454545],0
d3,1,0.835618,0.043057,[18 13] ; [70 55],[17.48717949 13.51282051] ; [70.51282051 54.48717949],0
n3,1,0.854267,0.033737,[6 4] ; [25 19],[5.74074074 4.25925926] ; [25.25925926 18.74074074],0
a7,1,0.892879,0.018134,[19 12] ; [77 46],[19.32467532 11.67532468] ; [76.67532468 46.32467532],0
