Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,7.5e-05,15.681958,[ 2 28] ; [28 29],[10.34482759 19.65517241] ; [19.65517241 37.34482759],1
p1,1,0.503829,0.446861,[ 2 28] ; [ 2 55],[ 1.37931034 28.62068966] ; [ 2.62068966 54.37931034],0
a4,1,0.522911,0.408148,[ 8 22] ; [19 38],[ 9.31034483 20.68965517] ; [17.68965517 39.31034483],0
v1,1,0.555225,0.34804,[13 17] ; [28 28],[14.30232558 15.69767442] ; [26.69767442 29.30232558],0
a2,1,0.611449,0.25807,[ 4 26] ; [10 47],[ 4.82758621 25.17241379] ; [ 9.17241379 47.82758621],0
n6,1,0.617586,0.249275,[21  9] ; [42 14],[21.97674419  8.02325581] ; [41.02325581 14.97674419],0
p10,1,0.617586,0.249275,[21  9] ; [42 14],[21.97674419  8.02325581] ; [41.02325581 14.97674419],0
u1,1,0.626887,0.236306,[ 3 27] ; [ 4 53],[ 2.4137931 27.5862069] ; [ 4.5862069 52.4137931],0
u4,1,0.640435,0.218173,[ 1 29] ; [ 1 56],[ 0.68965517 29.31034483] ; [ 1.31034483 55.68965517],0
p12,1,0.640435,0.218173,[ 1 29] ; [ 1 56],[ 0.68965517 29.31034483] ; [ 1.31034483 55.68965517],0
s1,1,0.649936,0.205981,[ 1 29] ; [ 1 55],[ 0.69767442 29.30232558] ; [ 1.30232558 54.69767442],0
b3,1,0.668999,0.182775,[4 9] ; [12 20],[4.62222222 8.37777778] ; [11.37777778 20.62222222],0
b2,1,0.668999,0.182775,[4 9] ; [12 20],[4.62222222 8.37777778] ; [11.37777778 20.62222222],0
s6,1,0.683476,0.166239,[16 14] ; [33 24],[16.89655172 13.10344828] ; [32.10344828 24.89655172],0
s8,1,0.74532,0.105506,[10 20] ; [21 36],[10.68965517 19.31034483] ; [20.31034483 36.68965517],0
d2,1,0.751757,0.100061,[ 9 21] ; [19 38],[ 9.65517241 20.34482759] ; [18.34482759 38.65517241],0
s7,1,0.769981,0.085498,[10 19] ; [20 33],[10.6097561 18.3902439] ; [19.3902439 33.6097561],0
s3,1,0.815391,0.054511,[15 15] ; [27 30],[14.48275862 15.51724138] ; [27.51724138 29.48275862],0
n2,1,0.841219,0.040134,[10  3] ; [17  6],[9.75 3.25] ; [17.25  5.75],0
p8,1,0.888315,0.019722,[13 16] ; [26 30],[13.30588235 15.69411765] ; [25.69411765 30.30588235],0
s4,1,0.889277,0.019382,[ 8 22] ; [16 41],[ 8.27586207 21.72413793] ; [15.72413793 41.27586207],0
s5,1,0.93699,0.00625,[ 6 23] ; [12 44],[ 6.14117647 22.85882353] ; [11.85882353 44.14117647],0
p11,1,0.971861,0.001244,[22  8] ; [42 15],[22.06896552  7.93103448] ; [41.93103448 15.06896552],0
v3,1,0.974891,0.000991,[ 7 23] ; [13 42],[ 7.05882353 22.94117647] ; [12.94117647 42.05882353],0
