Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.010134,6.611111,[21 21] ; [ 47 115],[14. 28.] ; [ 54. 108.],0
p12,1,0.284843,1.143837,[ 1 45] ; [ 10 152],[ 2.43269231 43.56730769] ; [  8.56730769 153.43269231],0
v1,1,0.301517,1.067472,[19 26] ; [81 78],[22.05882353 22.94117647] ; [77.94117647 81.05882353],0
p1,1,0.359487,0.839685,[ 5 41] ; [ 11 151],[ 3.53846154 42.46153846] ; [ 12.46153846 149.53846154],0
p10,1,0.361882,0.831353,[31 14] ; [121  39],[33.36585366 11.63414634] ; [118.63414634  41.36585366],0
p7,1,0.379988,0.770742,[27 16] ; [111  48],[29.37623762 13.62376238] ; [108.62376238  50.37623762],0
p6,1,0.390441,0.737568,[11 34] ; [ 50 111],[13.32524272 31.67475728] ; [ 47.67475728 113.32524272],0
d4,1,0.401251,0.704574,[25 21] ; [101  64],[27.46919431 18.53080569] ; [98.53080569 66.46919431],0
d3,1,0.401251,0.704574,[21 25] ; [ 64 101],[18.53080569 27.46919431] ; [66.46919431 98.53080569],0
n3,1,0.401577,0.7036,[9 4] ; [29  7],[10.08163265  2.91836735] ; [27.91836735  8.08163265],0
r4,1,0.485865,0.485671,[38  8] ; [143  22],[39.45971564  6.54028436] ; [141.54028436  23.45971564],0
p2,1,0.556161,0.346395,[36 10] ; [133  29],[37.375  8.625] ; [131.625  30.375],0
b4,1,0.566393,0.328756,[27 19] ; [89 76],[25.28909953 20.71090047] ; [90.71090047 74.28909953],0
p11,1,0.578404,0.308821,[33 13] ; [125  40],[34.44549763 11.55450237] ; [123.55450237  41.44549763],0
d2,1,0.583542,0.300544,[ 6 40] ; [ 27 138],[ 7.1943128 38.8056872] ; [ 25.8056872 139.1943128],0
r1,1,0.585565,0.297324,[32 14] ; [120  43],[33.45454545 12.54545455] ; [118.54545455  44.45454545],0
a1,1,0.624307,0.23986,[ 1 45] ; [  6 159],[ 1.52606635 44.47393365] ; [  5.47393365 159.52606635],0
d5,1,0.648167,0.208219,[26 20] ; [87 78],[24.63507109 21.36492891] ; [88.36492891 76.63507109],0
a2,1,0.657365,0.19674,[ 2 44] ; [ 10 155],[ 2.61611374 43.38388626] ; [  9.38388626 155.61611374],0
u1,1,0.659053,0.194676,[ 2 44] ; [  5 160],[ 1.52606635 44.47393365] ; [  5.47393365 159.52606635],0
u2,1,0.686561,0.162833,[12 12] ; [28 34],[11.1627907 12.8372093] ; [28.8372093 33.1627907],0
a7,1,0.686938,0.16242,[29 17] ; [98 66],[27.81904762 18.18095238] ; [99.18095238 64.81904762],0
b5,1,0.722326,0.126274,[27 19] ; [92 73],[25.94312796 20.05687204] ; [93.05687204 71.94312796],0
n2,1,0.74714,0.10395,[12  1] ; [33  4],[11.7  1.3] ; [33.3  3.7],0
s1,1,0.768792,0.08641,[ 2 43] ; [  9 153],[ 2.39130435 42.60869565] ; [  8.60869565 153.39130435],0
n5,1,0.787558,0.072621,[32 14] ; [116  46],[32.73076923 13.26923077] ; [115.26923077  46.73076923],0
n6,1,0.805715,0.060495,[34 11] ; [126  37],[34.61538462 10.38461538] ; [125.38461538  37.61538462],0
b1,1,0.81493,0.054789,[19 27] ; [ 65 100],[18.31279621 27.68720379] ; [65.68720379 99.31279621],0
p3,1,0.864678,0.029044,[20 26] ; [69 95],[19.4952381 26.5047619] ; [69.5047619 94.4952381],0
r2,1,0.88345,0.021491,[42  4] ; [149  13],[42.24038462  3.75961538] ; [148.75961538  13.24038462],0
p9,1,0.883572,0.021445,[35  9] ; [128  35],[34.647343  9.352657] ; [128.352657  34.647343],0
r3,1,0.888643,0.019606,[42  3] ; [154  10],[42.20095694  2.79904306] ; [153.79904306  10.20095694],0
a6,1,0.956737,0.002943,[26 20] ; [94 71],[26.16113744 19.83886256] ; [93.83886256 71.16113744],0
p8,1,0.976574,0.000862,[21 24] ; [76 86],[21.08695652 23.91304348] ; [75.91304348 86.08695652],0
