Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,39.428571,[36  6] ; [10 40],[21. 21.] ; [25. 25.],1
b2,1,0.168551,1.895784,[ 2 15] ; [ 8 19],[ 3.86363636 13.13636364] ; [ 6.13636364 20.86363636],0
b3,1,0.168551,1.895784,[ 2 15] ; [ 8 19],[ 3.86363636 13.13636364] ; [ 6.13636364 20.86363636],0
p2,1,0.197134,1.663479,[27 15] ; [26 25],[23.93548387 18.06451613] ; [29.06451613 21.93548387],0
a3,1,0.21713,1.523237,[28 14] ; [27 23],[25.10869565 16.89130435] ; [29.89130435 20.10869565],0
p8,1,0.219041,1.510642,[15 27] ; [12 38],[12.32608696 29.67391304] ; [14.67391304 35.32608696],0
d4,1,0.21913,1.510057,[37  5] ; [40 11],[34.77419355  7.22580645] ; [42.22580645  8.77419355],0
p7,1,0.228872,1.447855,[20 22] ; [18 33],[17.16129032 24.83870968] ; [20.83870968 30.16129032],0
a6,1,0.26988,1.217356,[27 15] ; [27 24],[24.38709677 17.61290323] ; [29.61290323 21.38709677],0
r2,1,0.295105,1.096186,[37  5] ; [40 10],[35.15217391  6.84782609] ; [41.84782609  8.15217391],0
u1,1,0.318233,0.996193,[ 6 36] ; [ 4 47],[ 4.51612903 37.48387097] ; [ 5.48387097 45.51612903],0
a1,1,0.446745,0.578898,[ 2 40] ; [ 1 50],[ 1.35483871 40.64516129] ; [ 1.64516129 49.35483871],0
a4,1,0.456166,0.555285,[18 24] ; [18 33],[16.25806452 25.74193548] ; [19.74193548 31.25806452],0
n3,1,0.473289,0.514286,[11  4] ; [13  8],[10.  5.] ; [14.  7.],0
a2,1,0.475829,0.508407,[ 9 33] ; [ 8 43],[ 7.67741935 34.32258065] ; [ 9.32258065 41.67741935],0
u3,1,0.4795,0.5,[7 5] ; [11 13],[6. 6.] ; [12. 12.],0
v2,1,0.527288,0.399615,[19 20] ; [21 29],[17.52808989 21.47191011] ; [22.47191011 27.52808989],0
p4,1,0.538332,0.378639,[15 27] ; [21 29],[16.43478261 25.56521739] ; [19.56521739 30.43478261],0
b5,1,0.590452,0.28964,[27 15] ; [30 21],[25.74193548 16.25806452] ; [31.25806452 19.74193548],0
b1,1,0.609443,0.260986,[20 22] ; [27 24],[21.22580645 20.77419355] ; [25.77419355 25.22580645],0
s3,1,0.62697,0.236192,[21 21] ; [22 27],[19.84615385 22.15384615] ; [23.15384615 25.84615385],0
s1,1,0.648777,0.207446,[ 3 39] ; [ 5 46],[ 3.61290323 38.38709677] ; [ 4.38709677 46.61290323],0
n6,1,0.691509,0.157457,[21 20] ; [24 27],[20.05434783 20.94565217] ; [24.94565217 26.05434783],0
n2,1,0.742298,0.108117,[9 6] ; [12 10],[8.51351351 6.48648649] ; [12.48648649  9.51351351],0
n4,1,0.769481,0.085881,[12 30] ; [16 35],[12.64516129 29.35483871] ; [15.35483871 35.64516129],0
r3,1,0.850905,0.035331,[36  6] ; [43  8],[35.67741935  6.32258065] ; [43.32258065  7.67741935],0
n1,1,0.889735,0.019221,[ 3 12] ; [ 4 18],[ 2.83783784 12.16216216] ; [ 4.16216216 17.83783784],0
v1,1,0.891909,0.018466,[14 28] ; [16 34],[13.69565217 28.30434783] ; [16.30434783 33.69565217],0
b4,1,0.901636,0.015276,[25 17] ; [31 20],[25.29032258 16.70967742] ; [30.70967742 20.29032258],0
a5,1,0.901636,0.015276,[25 17] ; [31 20],[25.29032258 16.70967742] ; [30.70967742 20.29032258],0
p1,1,0.924639,0.008948,[ 3 38] ; [ 4 47],[ 3.11956522 37.88043478] ; [ 3.88043478 47.11956522],0
d2,1,0.957054,0.0029,[20 22] ; [24 27],[19.87096774 22.12903226] ; [24.12903226 26.87096774],0
v3,1,0.969129,0.001498,[12 29] ; [13 32],[11.91860465 29.08139535] ; [13.08139535 31.91860465],0
