Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.914677,[235 104] ; [118 118],[208.11652174 130.88347826] ; [144.88347826  91.11652174],1
n2,1,0.092482,2.830638,[46 11] ; [43 21],[41.92561983 15.07438017] ; [47.07438017 16.92561983],0
p2,1,0.103963,2.64367,[310  39] ; [209  39],[303.40201005  45.59798995] ; [215.59798995  32.40201005],0
u1,1,0.105675,2.617742,[ 83 268] ; [ 45 203],[ 75.00500835 275.99499165] ; [ 52.99499165 195.00500835],0
s1,1,0.139267,2.186045,[  8 338] ; [ 11 234],[ 11.12351946 334.87648054] ; [  7.87648054 237.12351946],0
d5,1,0.151993,2.052135,[298  51] ; [200  47],[291.61409396  57.38590604] ; [206.38590604  40.61409396],0
a4,1,0.176797,1.824344,[180 169] ; [114 134],[171.86934673 177.13065327] ; [122.13065327 125.86934673],0
u3,1,0.196471,1.668418,[50 26] ; [37 30],[46.23776224 29.76223776] ; [40.76223776 26.23776224],0
a2,1,0.199279,1.647653,[103 248] ; [ 61 187],[ 96.10016694 254.89983306] ; [ 67.89983306 180.10016694],0
r3,1,0.205843,1.600428,[343   8] ; [235  10],[340.39932886  10.60067114] ; [237.60067114   7.39932886],0
d1,1,0.216768,1.525639,[231 120] ; [151  97],[223.84307179 127.15692821] ; [158.15692821  89.84307179],0
s2,1,0.220174,1.503238,[194 153] ; [125 121],[186.66610455 160.33389545] ; [132.33389545 113.66610455],0
r2,1,0.221963,1.491635,[341   7] ; [237   9],[338.62626263   9.37373737] ; [239.37373737   6.62626263],0
s6,1,0.238412,1.38996,[257  91] ; [168  74],[250.6779661  97.3220339] ; [174.3220339  67.6779661],0
s7,1,0.254422,1.298855,[191 147] ; [122 114],[184.31010453 153.68989547] ; [128.68989547 107.31010453],0
r4,1,0.298428,1.081206,[341  10] ; [237  11],[338.69449082  12.30550918] ; [239.30550918   8.69449082],0
s3,1,0.311113,1.025945,[196 149] ; [150  96],[201.97969543 143.02030457] ; [144.02030457 101.97969543],0
v4,1,0.336682,0.923025,[343   7] ; [238   8],[341.19127517   8.80872483] ; [239.80872483   6.19127517],0
d4,1,0.369566,0.805124,[303  46] ; [208  39],[299.22651007  49.77348993] ; [211.77348993  35.22651007],0
d2,1,0.41083,0.676397,[182 168] ; [120 127],[177.0519263 172.9480737] ; [124.9480737 122.0519263],0
b4,1,0.416738,0.659496,[207 144] ; [138 110],[202.16193656 148.83806344] ; [142.83806344 105.16193656],0
d3,1,0.630556,0.231307,[256  94] ; [185  62],[258.54271357  91.45728643] ; [182.45728643  64.54271357],0
a7,1,0.647416,0.209173,[261  89] ; [189  59],[263.37792642  86.62207358] ; [186.62207358  61.37792642],0
n3,1,0.699351,0.149148,[42 14] ; [46 18],[41.06666667 14.93333333] ; [46.93333333 17.06666667],0
u2,1,0.814313,0.055162,[44 31] ; [38 29],[43.30985915 31.69014085] ; [38.69014085 28.30985915],0
b1,1,0.983755,0.000415,[122 229] ; [ 86 162],[121.88313856 229.11686144] ; [ 86.11686144 161.88313856],0
a6,1,0.99432,5.1e-05,[250  99] ; [177  70],[250.0385906  98.9614094] ; [176.9614094  70.0385906],0
