Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.735144,[17 69] ; [18  8],[26.875 59.125] ; [ 8.125 17.875],1
v3,1,0.138466,2.194929,[22 62] ; [ 3 22],[19.26605505 64.73394495] ; [ 5.73394495 19.26605505],0
a5,1,0.138647,2.192915,[42 44] ; [17  9],[45.30357143 40.69642857] ; [13.69642857 12.30357143],0
u3,1,0.162513,1.950688,[14 25] ; [5 3],[15.76595745 23.23404255] ; [3.23404255 4.76595745],0
s6,1,0.177988,1.814346,[30 55] ; [13 13],[32.92792793 52.07207207] ; [10.07207207 15.92792793],0
s3,1,0.178654,1.808789,[27 58] ; [12 14],[29.86486486 55.13513514] ; [ 9.13513514 16.86486486],0
a3,1,0.186824,1.74249,[47 39] ; [18  8],[49.91071429 36.08928571] ; [15.08928571 10.91071429],0
d2,1,0.228346,1.451137,[36 49] ; [14 11],[38.63636364 46.36363636] ; [11.36363636 13.63636364],0
n6,1,0.271893,1.207174,[60 26] ; [21  5],[62.19642857 23.80357143] ; [18.80357143  7.19642857],0
n2,1,0.276712,1.183166,[22 12] ; [6 1],[23.2195122 10.7804878] ; [4.7804878 2.2195122],0
d4,1,0.304866,1.052789,[57 29] ; [20  6],[59.125 26.875] ; [17.875  8.125],0
p11,1,0.310242,1.029646,[50 36] ; [18  8],[52.21428571 33.78571429] ; [15.78571429 10.21428571],0
s4,1,0.337043,0.921646,[17 69] ; [ 3 23],[15.35714286 70.64285714] ; [ 4.64285714 21.35714286],0
s7,1,0.349686,0.874596,[21 63] ; [ 8 15],[22.76635514 61.23364486] ; [ 6.23364486 16.76635514],0
d3,1,0.370666,0.801431,[41 45] ; [15 11],[43. 43.] ; [13. 13.],0
u2,1,0.395665,0.721461,[16 23] ; [2 6],[14.93617021 24.06382979] ; [3.06382979 4.93617021],0
n3,1,0.447086,0.57803,[19 15] ; [5 2],[19.90243902 14.09756098] ; [4.09756098 2.90243902],0
n5,1,0.515455,0.422978,[57 29] ; [19  7],[58.35714286 27.64285714] ; [17.64285714  8.35714286],0
v2,1,0.523473,0.407045,[24 58] ; [ 9 16],[25.28971963 56.71028037] ; [ 7.71028037 17.28971963],0
a7,1,0.535038,0.384814,[47 39] ; [16 10],[48.375 37.625] ; [14.625 11.375],0
n1,1,0.631342,0.230246,[11 22] ; [3 4],[11.55 21.45] ; [2.45 4.55],0
a2,1,0.67719,0.173307,[ 9 77] ; [ 2 24],[ 8.44642857 77.55357143] ; [ 2.55357143 23.44642857],0
s1,1,0.681166,0.168816,[ 2 83] ; [ 1 25],[ 2.2972973 82.7027027] ; [ 0.7027027 25.2972973],0
b1,1,0.698279,0.150268,[36 50] ; [12 14],[36.85714286 49.14285714] ; [11.14285714 14.85714286],0
a8,1,0.708908,0.139371,[ 9 73] ; [ 2 22],[ 8.50943396 73.49056604] ; [ 2.49056604 21.50943396],0
b2,1,0.794533,0.067823,[22 25] ; [6 8],[21.57377049 25.42622951] ; [6.42622951 7.57377049],0
b3,1,0.794533,0.067823,[22 25] ; [6 8],[21.57377049 25.42622951] ; [6.42622951 7.57377049],0
n4,1,0.809872,0.057884,[54 32] ; [17  9],[54.51785714 31.48214286] ; [16.48214286  9.51785714],0
b5,1,0.822758,0.050175,[55 31] ; [16 10],[54.51785714 31.48214286] ; [16.48214286  9.51785714],0
a6,1,0.917227,0.010801,[44 42] ; [13 13],[43.76785714 42.23214286] ; [13.23214286 12.76785714],0
u1,1,0.941402,0.005403,[ 7 79] ; [ 2 24],[ 6.91071429 79.08928571] ; [ 2.08928571 23.91071429],0
a1,1,0.941402,0.005403,[ 7 79] ; [ 2 24],[ 6.91071429 79.08928571] ; [ 2.08928571 23.91071429],0
p8,1,0.962995,0.002153,[16 69] ; [ 5 21],[16.08108108 68.91891892] ; [ 4.91891892 21.08108108],0
b4,1,0.993443,6.8e-05,[53 33] ; [16 10],[52.98214286 33.01785714] ; [16.01785714  9.98214286],0
