Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.9e-05,16.899953,[86  3] ; [49 17],[77.51612903 11.48387097] ; [57.48387097  8.51612903],1
b3,1,0.251878,1.312857,[15 43] ; [14 24],[17.52083333 40.47916667] ; [11.47916667 26.52083333],0
b4,1,0.265519,1.239751,[59 32] ; [37 29],[55.6433121 35.3566879] ; [40.3566879 25.6433121],0
s6,1,0.272502,1.204108,[44 46] ; [26 39],[40.64516129 49.35483871] ; [29.35483871 35.64516129],0
p3,1,0.273426,1.199479,[32 58] ; [18 48],[28.84615385 61.15384615] ; [21.15384615 44.84615385],0
u1,1,0.294981,1.096749,[15 76] ; [ 7 59],[12.75159236 78.24840764] ; [ 9.24840764 56.75159236],0
a2,1,0.313934,1.014051,[18 73] ; [ 9 57],[15.64968153 75.35031847] ; [11.35031847 54.64968153],0
d1,1,0.314054,1.013548,[46 45] ; [28 38],[42.89171975 48.10828025] ; [31.10828025 34.89171975],0
n6,1,0.341069,0.906411,[64 27] ; [41 24],[61.25 29.75] ; [43.75 21.25],0
u3,1,0.374063,0.790123,[22 14] ; [14 14],[20.25 15.75] ; [15.75 12.25],0
p1,1,0.512502,0.428956,[ 8 82] ; [ 4 62],[ 6.92307692 83.07692308] ; [ 5.07692308 60.92307692],0
b1,1,0.548483,0.360042,[48 43] ; [38 28],[49.84713376 41.15286624] ; [36.15286624 29.84713376],0
a5,1,0.554327,0.349623,[58 33] ; [39 27],[56.22292994 34.77707006] ; [40.77707006 25.22292994],0
n5,1,0.582407,0.30236,[55 36] ; [37 29],[53.32484076 37.67515924] ; [38.67515924 27.32484076],0
u2,1,0.585329,0.297698,[18 17] ; [12 15],[16.93548387 18.06451613] ; [13.06451613 13.93548387],0
p5,1,0.687051,0.162296,[ 3 88] ; [ 3 63],[ 3.47770701 87.52229299] ; [ 2.52229299 63.47770701],0
a3,1,0.718505,0.12993,[55 36] ; [38 28],[53.9044586 37.0955414] ; [39.0955414 26.9044586],0
a4,1,0.819751,0.051922,[33 57] ; [25 40],[33.67741935 56.32258065] ; [24.32258065 40.67741935],0
n1,1,0.825465,0.04863,[10 16] ; [12 17],[10.4 15.6] ; [11.6 17.4],0
s5,1,0.944874,0.004781,[18 70] ; [13 52],[17.83006536 70.16993464] ; [13.16993464 51.83006536],0
d4,1,0.966145,0.001801,[65 24] ; [48 18],[64.88387097 24.11612903] ; [48.11612903 17.88387097],0
d2,1,0.966487,0.001765,[46 44] ; [33 32],[45.87096774 44.12903226] ; [33.12903226 31.87096774],0
v3,1,0.976315,0.000881,[29 60] ; [21 43],[29.08496732 59.91503268] ; [20.91503268 43.08496732],0
