Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,123.414634,[208  22] ; [38 77],[164.  66.] ; [82. 33.],1
b1,1,0.052369,3.76394,[ 86 145] ; [58 63],[ 94.5 136.5] ; [49.5 71.5],0
b2,1,0.054941,3.683869,[54 69] ; [23 53],[47.59296482 75.40703518] ; [29.40703518 46.59296482],0
b3,1,0.054941,3.683869,[54 69] ; [23 53],[47.59296482 75.40703518] ; [29.40703518 46.59296482],0
d1,1,0.058116,3.590359,[120 111] ; [50 71],[111.5625 119.4375] ; [58.4375 62.5625],0
d4,1,0.061308,3.501634,[185  46] ; [84 34],[178.0487106  52.9512894] ; [90.9512894 27.0487106],0
n4,1,0.075335,3.162779,[167  64] ; [75 44],[159.72  71.28] ; [82.28 36.72],0
v1,1,0.083537,2.99471,[103 120] ; [43 75],[ 95.47800587 127.52199413] ; [50.52199413 67.47800587],0
p5,1,0.103349,2.653094,[ 12 217] ; [  2 119],[  9.16 219.84] ; [  4.84 116.16],0
a3,1,0.109288,2.56448,[160  70] ; [72 46],[153.33333333  76.66666667] ; [78.66666667 39.33333333],0
a6,1,0.144722,2.127021,[156  74] ; [72 48],[149.82857143  80.17142857] ; [78.17142857 41.82857143],0
n3,1,0.16697,1.909938,[44 18] ; [28 20],[40.58181818 21.41818182] ; [31.41818182 16.58181818],0
u3,1,0.197377,1.661678,[36 35] ; [19 30],[32.54166667 38.45833333] ; [22.45833333 26.54166667],0
p3,1,0.199358,1.647068,[ 56 174] ; [22 98],[ 51.25714286 178.74285714] ; [26.74285714 93.25714286],0
p12,1,0.23057,1.437345,[ 12 217] ; [  3 117],[  9.84240688 219.15759312] ; [  5.15759312 114.84240688],0
b5,1,0.368613,0.808336,[145  86] ; [70 51],[141.09375  89.90625] ; [73.90625 47.09375],0
d2,1,0.38209,0.763966,[ 94 136] ; [54 64],[ 97.81609195 132.18390805] ; [50.18390805 67.81609195],0
u1,1,0.398765,0.712047,[ 30 201] ; [ 12 109],[ 27.5625 203.4375] ; [ 14.4375 106.5625],0
s1,1,0.475441,0.509303,[  8 221] ; [  6 112],[  9.23919308 219.76080692] ; [  4.76080692 113.23919308],0
u4,1,0.508149,0.437876,[  2 229] ; [  2 119],[  2.625 228.375] ; [  1.375 119.625],0
n1,1,0.543734,0.368663,[25 37] ; [17 32],[23.45945946 38.54054054] ; [18.54054054 30.45945946],0
p1,1,0.604511,0.268245,[ 17 214] ; [  7 112],[ 15.84 215.16] ; [  8.16 110.84],0
p6,1,0.611656,0.257771,[ 40 188] ; [18 99],[ 38.33043478 189.66956522] ; [19.66956522 97.33043478],0
a8,1,0.7169,0.131482,[ 33 187] ; [15 96],[ 31.90332326 188.09667674] ; [16.09667674 94.90332326],0
b4,1,0.719475,0.128996,[142  89] ; [72 49],[140.4375  90.5625] ; [73.5625 47.4375],0
a4,1,0.831777,0.045124,[ 92 139] ; [46 73],[ 91.08 139.92] ; [46.92 72.08],0
a2,1,0.858993,0.031562,[ 44 187] ; [24 97],[ 44.625 186.375] ; [23.375 97.625],0
u2,1,0.910166,0.012731,[35 35] ; [23 24],[34.7008547 35.2991453] ; [23.2991453 23.7008547],0
