Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,32.363543,[ 98 150] ; [89 37],[124. 124.] ; [63. 63.],1
u2,1,0.376709,0.781413,[44 42] ; [21 14],[46.19834711 39.80165289] ; [18.80165289 16.19834711],0
u4,1,0.482357,0.49353,[  2 254] ; [  2 127],[  2.65974026 253.34025974] ; [  1.34025974 127.65974026],0
b1,1,0.519589,0.414708,[114 142] ; [53 76],[111.04415584 144.95584416] ; [55.95584416 73.04415584],0
p4,1,0.52773,0.39876,[101 154] ; [55 73],[103.86422977 151.13577023] ; [52.13577023 75.86422977],0
a4,1,0.550793,0.355898,[110 144] ; [60 69],[112.74151436 141.25848564] ; [57.25848564 71.74151436],0
b4,1,0.566082,0.329283,[153 103] ; [81 48],[155.59480519 100.40519481] ; [78.40519481 50.59480519],0
p1,1,0.653284,0.201785,[ 13 242] ; [  8 121],[ 13.9453125 241.0546875] ; [  7.0546875 121.9453125],0
p7,1,0.666121,0.186173,[103 149] ; [54 71],[104.94429708 147.05570292] ; [52.05570292 72.94429708],0
b2,1,0.697396,0.151195,[63 97] ; [34 47],[64.39834025 95.60165975] ; [32.60165975 48.39834025],0
b3,1,0.697396,0.151195,[63 97] ; [34 47],[64.39834025 95.60165975] ; [32.60165975 48.39834025],0
n3,1,0.706869,0.141424,[63 28] ; [24  9],[63.84677419 27.15322581] ; [23.15322581  9.84677419],0
p5,1,0.752109,0.099768,[ 12 242] ; [  7 121],[ 12.63350785 241.36649215] ; [  6.36649215 121.63350785],0
s3,1,0.773275,0.082998,[121 133] ; [62 64],[122.32105263 131.67894737] ; [60.67894737 65.32105263],0
s1,1,0.830228,0.045971,[  9 244] ; [  5 120],[  9.37037037 243.62962963] ; [  4.62962963 120.37037037],0
n1,1,0.861495,0.03044,[34 58] ; [12 19],[34.40650407 57.59349593] ; [11.59349593 19.40650407],0
s5,1,0.877678,0.023689,[ 58 191] ; [28 96],[ 57.41018767 191.58981233] ; [28.58981233 95.41018767],0
p2,1,0.918287,0.010525,[180  75] ; [91 37],[180.4308094  74.5691906] ; [90.5691906 37.4308094],0
n2,1,0.939366,0.005786,[62 30] ; [22 11],[61.824 30.176] ; [22.176 10.824],0
a8,1,0.960538,0.002448,[ 34 207] ; [16 99],[ 33.84831461 207.15168539] ; [16.15168539 98.84831461],0
p6,1,0.960685,0.00243,[ 55 197] ; [28 99],[ 55.18733509 196.81266491] ; [27.81266491 99.18733509],0
