Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.9e-05,18.29808,[18 89] ; [14 10],[26.13740458 80.86259542] ; [ 5.86259542 18.13740458],1
p5,1,0.191761,1.704033,[  3 111] ; [ 2 23],[  4.10071942 109.89928058] ; [ 0.89928058 24.10071942],0
p11,1,0.19325,1.692667,[48 67] ; [14 11],[50.92857143 64.07142857] ; [11.07142857 13.92857143],0
r1,1,0.20237,1.625185,[67 48] ; [18  7],[69.82142857 45.17857143] ; [15.17857143  9.82142857],0
v3,1,0.219527,1.507458,[19 91] ; [ 7 18],[21.18518519 88.81481481] ; [ 4.81481481 20.18518519],0
u4,1,0.231909,1.429112,[  1 114] ; [ 1 24],[  1.64285714 113.35714286] ; [ 0.35714286 24.64285714],0
d2,1,0.232587,1.424968,[48 64] ; [14 11],[50.68613139 61.31386861] ; [11.31386861 13.68613139],0
a5,1,0.269873,1.217391,[55 60] ; [15 10],[57.5 57.5] ; [12.5 12.5],0
b5,1,0.270777,1.212806,[69 46] ; [12 13],[66.53571429 48.46428571] ; [14.46428571 10.53571429],0
s4,1,0.325281,0.967593,[18 96] ; [ 6 19],[19.68345324 94.31654676] ; [ 4.31654676 20.68345324],0
u1,1,0.345787,0.888858,[ 11 104] ; [ 4 21],[ 12.32142857 102.67857143] ; [ 2.67857143 22.32142857],0
a1,1,0.367649,0.811594,[ 11 104] ; [ 1 24],[  9.85714286 105.14285714] ; [ 2.14285714 22.85714286],0
n1,1,0.378569,0.775344,[18 35] ; [4 4],[19.1147541 33.8852459] ; [2.8852459 5.1147541],0
p1,1,0.411104,0.675607,[  8 105] ; [ 3 22],[  9.00724638 103.99275362] ; [ 1.99275362 23.00724638],0
s1,1,0.448989,0.573202,[ 10 104] ; [ 1 23],[  9.08695652 104.91304348] ; [ 1.91304348 22.08695652],0
b4,1,0.461757,0.541632,[69 46] ; [13 12],[67.35714286 47.64285714] ; [14.64285714 10.35714286],0
a6,1,0.503242,0.448092,[60 54] ; [15 10],[61.51079137 52.48920863] ; [13.48920863 11.51079137],0
a3,1,0.503242,0.448092,[60 54] ; [15 10],[61.51079137 52.48920863] ; [13.48920863 11.51079137],0
n4,1,0.543211,0.36962,[66 49] ; [16  9],[67.35714286 47.64285714] ; [14.64285714 10.35714286],0
n3,1,0.682727,0.167073,[30 22] ; [4 4],[29.46666667 22.53333333] ; [4.53333333 3.46666667],0
a2,1,0.695652,0.153034,[ 15 100] ; [ 4 21],[15.60714286 99.39285714] ; [ 3.39285714 21.60714286],0
s5,1,0.723795,0.124885,[19 95] ; [ 3 19],[18.44117647 95.55882353] ; [ 3.55882353 18.44117647],0
v2,1,0.733173,0.116218,[32 80] ; [ 8 17],[32.70072993 79.29927007] ; [ 7.29927007 17.70072993],0
p7,1,0.736909,0.112862,[46 68] ; [11 14],[46.74820144 67.25179856] ; [10.25179856 14.74820144],0
b1,1,0.825349,0.048696,[57 58] ; [13 12],[57.5 57.5] ; [12.5 12.5],0
n2,1,0.953239,0.003439,[30 23] ; [5 4],[29.91935484 23.08064516] ; [5.08064516 3.91935484],0
a8,1,0.980061,0.000625,[ 9 97] ; [ 2 22],[ 8.96923077 97.03076923] ; [ 2.03076923 21.96923077],0
