Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,5e-06,21.001597,[ 8 20] ; [51 14],[17.76344086 10.23655914] ; [41.23655914 23.76344086],1
n4,1,0.439161,0.598475,[18 10] ; [47 18],[19.56989247  8.43010753] ; [45.43010753 19.56989247],0
r3,1,0.457412,0.552221,[25  3] ; [60  4],[25.86956522  2.13043478] ; [59.13043478  4.86956522],0
s2,1,0.464103,0.535982,[20  8] ; [51 14],[21.37634409  6.62365591] ; [49.62365591 15.37634409],0
p12,1,0.480467,0.497803,[ 1 26] ; [ 5 60],[ 1.76086957 25.23913043] ; [ 4.23913043 60.76086957],0
n5,1,0.515831,0.42222,[17 11] ; [44 21],[18.3655914  9.6344086] ; [42.6344086 22.3655914],0
r2,1,0.524506,0.405024,[26  1] ; [63  1],[26.40659341  0.59340659] ; [62.59340659  1.40659341],0
a5,1,0.551302,0.35499,[25  3] ; [55 10],[24.08602151  3.91397849] ; [55.91397849  9.08602151],0
p4,1,0.554957,0.348511,[19  9] ; [48 17],[20.17204301  7.82795699] ; [46.82795699 18.17204301],0
u3,1,0.582493,0.302222,[4 1] ; [8 4],[3.52941176 1.47058824] ; [8.47058824 3.52941176],0
r4,1,0.587397,0.294427,[26  2] ; [58  7],[25.29032258  2.70967742] ; [58.70967742  6.29032258],0
p8,1,0.643429,0.214286,[16 11] ; [34 29],[15. 12.] ; [35. 28.],0
p7,1,0.660022,0.193497,[19  8] ; [42 22],[18.0989011  8.9010989] ; [42.9010989 21.0989011],0
n2,1,0.721501,0.127059,[8 4] ; [9 6],[7.55555556 4.44444444] ; [9.44444444 5.55555556],0
r1,1,0.739719,0.110374,[22  6] ; [53 12],[22.58064516  5.41935484] ; [52.41935484 12.58064516],0
s6,1,0.799943,0.064222,[24  3] ; [58  6],[24.32967033  2.67032967] ; [57.67032967  6.32967033],0
p5,1,0.827216,0.047643,[ 3 25] ; [ 8 57],[ 3.31182796 24.68817204] ; [ 7.68817204 57.31182796],0
s8,1,0.829192,0.046543,[17 11] ; [41 24],[17.46236559 10.53763441] ; [40.53763441 24.46236559],0
p6,1,0.880853,0.022466,[15 12] ; [35 30],[14.67391304 12.32608696] ; [35.32608696 29.67391304],0
b2,1,0.942841,0.005141,[ 6 12] ; [11 23],[ 5.88461538 12.11538462] ; [11.11538462 22.88461538],0
b3,1,0.942841,0.005141,[ 6 12] ; [11 23],[ 5.88461538 12.11538462] ; [11.11538462 22.88461538],0
a3,1,0.944848,0.004786,[23  5] ; [53 12],[22.88172043  5.11827957] ; [53.11827957 11.88172043],0
s3,1,0.968543,0.001555,[21  7] ; [49 16],[21.07526882  6.92473118] ; [48.92473118 16.07526882],0
