Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.745447,[  9 123] ; [11 15],[ 16.70886076 115.29113924] ; [ 3.29113924 22.70886076],1
n2,1,0.18342,1.769693,[27 20] ; [8 2],[28.85964912 18.14035088] ; [6.14035088 3.85964912],0
v1,1,0.188459,1.729627,[37 94] ; [10 14],[39.72258065 91.27741935] ; [ 7.27741935 16.72258065],0
v3,1,0.200187,1.641007,[31 96] ; [ 3 21],[28.59602649 98.40397351] ; [ 5.40397351 18.59602649],0
s4,1,0.200302,1.64017,[ 10 122] ; [ 4 22],[ 11.69620253 120.30379747] ; [ 2.30379747 23.69620253],0
p4,1,0.232862,1.423294,[ 31 101] ; [ 9 17],[33.41772152 98.58227848] ; [ 6.58227848 19.41772152],0
b3,1,0.233095,1.421875,[30 45] ; [9 7],[32.14285714 42.85714286] ; [6.85714286 9.14285714],0
b2,1,0.233095,1.421875,[30 45] ; [9 7],[32.14285714 42.85714286] ; [6.85714286 9.14285714],0
d5,1,0.338512,0.916057,[89 43] ; [20  6],[91.06329114 40.93670886] ; [17.93670886  8.06329114],0
n3,1,0.359723,0.838859,[23 23] ; [6 3],[24.25454545 21.74545455] ; [4.74545455 4.25454545],0
p10,1,0.424348,0.638242,[74 56] ; [17  9],[75.83333333 54.16666667] ; [15.16666667 10.83333333],0
a2,1,0.45972,0.546576,[ 18 114] ; [ 5 21],[ 19.21518987 112.78481013] ; [ 3.78481013 22.21518987],0
p11,1,0.474267,0.512018,[81 51] ; [14 12],[79.36708861 52.63291139] ; [15.63291139 10.36708861],0
b4,1,0.474267,0.512018,[81 51] ; [14 12],[79.36708861 52.63291139] ; [15.63291139 10.36708861],0
p8,1,0.475353,0.509504,[ 27 104] ; [ 7 19],[ 28.36942675 102.63057325] ; [ 5.63057325 20.36942675],0
r3,1,0.478086,0.503226,[102  28] ; [22  4],[103.33333333  26.66666667] ; [20.66666667  5.33333333],0
a1,1,0.494618,0.466466,[ 10 122] ; [ 1 25],[  9.18987342 122.81012658] ; [ 1.81012658 24.18987342],0
p3,1,0.509079,0.435961,[ 24 107] ; [ 6 19],[ 25.19230769 105.80769231] ; [ 4.80769231 20.19230769],0
s5,1,0.514425,0.425056,[ 11 115] ; [ 3 20],[ 11.83892617 114.16107383] ; [ 2.16107383 20.83892617],0
a8,1,0.517921,0.418031,[ 11 117] ; [ 1 21],[ 10.24 117.76] ; [ 1.76 20.24],0
n5,1,0.520428,0.413045,[82 49] ; [18  8],[83.43949045 47.56050955] ; [16.56050955  9.43949045],0
v2,1,0.527977,0.398284,[47 79] ; [ 8 18],[45.59210526 80.40789474] ; [ 9.40789474 16.59210526],0
d3,1,0.557919,0.343319,[73 59] ; [16 10],[74.35443038 57.64556962] ; [14.64556962 11.35443038],0
u3,1,0.559393,0.340756,[25 30] ; [4 3],[25.72580645 29.27419355] ; [3.27419355 3.72580645],0
p9,1,0.570584,0.321706,[80 49] ; [17  8],[81.25324675 47.74675325] ; [15.74675325  9.25324675],0
a6,1,0.618438,0.248069,[83 49] ; [15 11],[81.87341772 50.12658228] ; [16.12658228  9.87341772],0
p1,1,0.652607,0.202629,[ 14 118] ; [ 2 24],[ 13.36708861 118.63291139] ; [ 2.63291139 23.36708861],0
p2,1,0.656207,0.198163,[75 57] ; [16 10],[76.02531646 55.97468354] ; [14.97468354 11.02531646],0
r1,1,0.656207,0.198163,[75 57] ; [16 10],[76.02531646 55.97468354] ; [14.97468354 11.02531646],0
v4,1,0.689935,0.159156,[105  27] ; [19  6],[104.25477707  27.74522293] ; [19.74522293  5.25477707],0
b5,1,0.768114,0.086932,[72 60] ; [15 11],[72.6835443 59.3164557] ; [14.3164557 11.6835443],0
r2,1,0.861681,0.030358,[111  20] ; [20  4],[110.71612903  20.28387097] ; [20.28387097  3.71612903],0
s1,1,0.868438,0.027438,[  6 125] ; [ 1 25],[  5.84076433 125.15923567] ; [ 1.15923567 24.84076433],0
u2,1,0.958156,0.002753,[23 32] ; [3 4],[23.06451613 31.93548387] ; [2.93548387 4.06451613],0
