Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2e-06,22.410578,[128  41] ; [59 62],[108.97586207  60.02413793] ; [78.02413793 42.97586207],1
p9,1,0.072766,3.219487,[158  14] ; [104  18],[153.27891156  18.72108844] ; [108.72108844  13.27891156],0
u1,1,0.074269,3.186053,[ 60 113] ; [31 93],[ 53.00673401 119.99326599] ; [37.99326599 86.00673401],0
p5,1,0.079792,3.069129,[ 34 138] ; [ 15 109],[ 28.47297297 143.52702703] ; [ 20.52702703 103.47297297],0
s3,1,0.08348,2.995818,[118  51] ; [97 26],[124.43493151  44.56506849] ; [90.56506849 32.43493151],0
p10,1,0.108537,2.575399,[151  19] ; [102  22],[146.29251701  23.70748299] ; [106.70748299  17.29251701],0
r1,1,0.108661,2.573585,[153  18] ; [103  21],[148.39322034  22.60677966] ; [107.60677966  16.39322034],0
a2,1,0.124426,2.3607,[ 68 105] ; [38 86],[ 61.74410774 111.25589226] ; [44.25589226 79.74410774],0
s6,1,0.127043,2.328264,[148  22] ; [99 24],[143.3105802  26.6894198] ; [103.6894198  19.3105802],0
a6,1,0.150769,2.064448,[141  30] ; [93 30],[136.10204082  34.89795918] ; [97.89795918 25.10204082],0
n6,1,0.168359,1.897493,[154  16] ; [105  18],[150.27303754  19.72696246] ; [108.72696246  14.27303754],0
p7,1,0.182122,1.780226,[122  43] ; [80 40],[116.94736842  48.05263158] ; [85.05263158 34.94736842],0
d2,1,0.20106,1.634659,[101  71] ; [63 60],[95.62033898 76.37966102] ; [68.37966102 54.62033898],0
b1,1,0.203941,1.613922,[ 56 117] ; [49 75],[ 61.16161616 111.83838384] ; [43.83838384 80.16161616],0
a4,1,0.209499,1.574882,[89 83] ; [55 69],[83.67567568 88.32432432] ; [60.32432432 63.67567568],0
s5,1,0.23459,1.412815,[80 84] ; [50 70],[75.07042254 88.92957746] ; [54.92957746 65.07042254],0
b4,1,0.240111,1.37994,[108  65] ; [69 55],[103.1010101  69.8989899] ; [73.8989899 50.1010101],0
a3,1,0.268052,1.22669,[140  31] ; [95 29],[136.22033898  34.77966102] ; [98.77966102 25.22033898],0
d5,1,0.339358,0.912856,[147  25] ; [100  23],[144.01355932  27.98644068] ; [102.98644068  20.01355932],0
a8,1,0.359767,0.838707,[ 30 116] ; [18 94],[ 27.1627907 118.8372093] ; [20.8372093 91.1627907],0
p2,1,0.427996,0.628256,[152  21] ; [105  19],[149.7003367  23.2996633] ; [107.2996633  16.7003367],0
n3,1,0.457226,0.552677,[20 11] ; [22  8],[21.3442623  9.6557377] ; [20.6557377  9.3442623],0
p11,1,0.464927,0.534008,[136  37] ; [93 31],[133.39057239  39.60942761] ; [95.60942761 28.39057239],0
a1,1,0.491524,0.473189,[  8 165] ; [  8 116],[  9.31986532 163.68013468] ; [  6.68013468 117.31986532],0
n2,1,0.497188,0.460934,[25  6] ; [22  8],[23.8852459  7.1147541] ; [23.1147541  6.8852459],0
u2,1,0.515016,0.423862,[22 10] ; [17 11],[20.8 11.2] ; [18.2  9.8],0
r3,1,0.518435,0.417006,[165   7] ; [116   7],[163.83728814   8.16271186] ; [117.16271186   5.83728814],0
s1,1,0.530577,0.393286,[  8 160] ; [  8 116],[  9.20547945 158.79452055] ; [  6.79452055 117.20547945],0
d4,1,0.648395,0.20793,[150  22] ; [105  18],[148.6779661  23.3220339] ; [106.3220339  16.6779661],0
s2,1,0.664298,0.188345,[126  46] ; [88 36],[124.35135135  47.64864865] ; [89.64864865 34.35135135],0
b2,1,0.756505,0.096146,[48 77] ; [29 51],[46.95121951 78.04878049] ; [30.04878049 49.95121951],0
b3,1,0.756505,0.096146,[48 77] ; [29 51],[46.95121951 78.04878049] ; [30.04878049 49.95121951],0
u3,1,0.764003,0.090137,[25  8] ; [21  8],[24.48387097  8.51612903] ; [21.51612903  7.48387097],0
r2,1,0.816064,0.054108,[167   5] ; [119   3],[167.31972789   4.68027211] ; [118.68027211   3.31972789],0
n1,1,0.912117,0.012181,[13 18] ; [13 17],[13.21311475 17.78688525] ; [12.78688525 17.21311475],0
v4,1,0.949672,0.003984,[168   4] ; [120   3],[167.91864407   4.08135593] ; [120.08135593   2.91864407],0
n4,1,0.971014,0.00132,[139  33] ; [100  24],[138.87837838  33.12162162] ; [100.12162162  23.87837838],0
