Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,104.287639,[392  98] ; [ 73 113],[337.05621302 152.94378698] ; [127.94378698  58.05621302],1
p8,1,0.406498,0.689021,[252 233] ; [88 94],[247.22638681 237.77361319] ; [92.77361319 89.22638681],0
n4,1,0.434694,0.610249,[368 123] ; [144  41],[371.8816568 119.1183432] ; [140.1183432  44.8816568],0
a8,1,0.51273,0.428492,[ 67 376] ; [ 23 153],[ 64.41033926 378.58966074] ; [ 25.58966074 150.41033926],0
s6,1,0.537301,0.380565,[330 156] ; [119  63],[326.66766467 159.33233533] ; [122.33233533  59.66766467],0
a3,1,0.545467,0.365502,[348 141] ; [136  49],[351.15133531 137.84866469] ; [132.84866469  52.15133531],0
s4,1,0.565748,0.329849,[ 85 402] ; [ 36 150],[ 87.55869242 399.44130758] ; [ 33.44130758 152.55869242],0
p12,1,0.619159,0.247051,[ 32 460] ; [ 10 173],[ 30.61333333 461.38666667] ; [ 11.38666667 171.61333333],0
p3,1,0.661302,0.191946,[238 254] ; [86 99],[235.46233383 256.53766617] ; [88.53766617 96.46233383],0
p1,1,0.667757,0.184238,[ 30 460] ; [ 13 172],[ 31.21481481 458.78518519] ; [ 11.78518519 173.21481481],0
d2,1,0.668161,0.18376,[232 259] ; [ 84 101],[229.52071006 261.47928994] ; [86.47928994 98.52071006],0
n6,1,0.687309,0.162014,[412  76] ; [153  31],[410.29761905  77.70238095] ; [154.70238095  29.29761905],0
u4,1,0.722224,0.126371,[ 10 482] ; [  3 183],[  9.43362832 482.56637168] ; [  3.56637168 182.43362832],0
n3,1,0.724696,0.124037,[74 22] ; [41 14],[73.11258278 22.88741722] ; [41.88741722 13.11258278],0
p11,1,0.728882,0.120141,[399  93] ; [153  33],[400.56637168  91.43362832] ; [151.43362832  34.56637168],0
v1,1,0.849875,0.035826,[258 221] ; [96 85],[256.91818182 222.08181818] ; [97.08181818 83.91818182],0
s1,1,0.861447,0.030462,[ 12 472] ; [  5 179],[ 12.31736527 471.68263473] ; [  4.68263473 179.31736527],0
v3,1,0.897917,0.016459,[176 297] ; [ 66 114],[175.29249617 297.70750383] ; [ 66.70750383 113.29249617],0
p6,1,0.927638,0.008248,[173 316] ; [ 63 117],[172.50224215 316.49775785] ; [ 63.49775785 116.50224215],0
a4,1,0.983285,0.000439,[227 263] ; [ 86 100],[226.87869822 263.12130178] ; [86.12130178 99.87869822],0
s3,1,0.999164,1e-06,[273 212] ; [103  80],[272.99401198 212.00598802] ; [103.00598802  79.99401198],0
