Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,9.5e-05,15.237286,[28 66] ; [28 15],[38.42335766 55.57664234] ; [17.57664234 25.42335766],1
p3,1,0.527376,0.399446,[47 47] ; [24 19],[48.71532847 45.28467153] ; [22.28467153 20.71532847],0
a2,1,0.582987,0.30143,[14 80] ; [ 8 35],[15.09489051 78.90510949] ; [ 6.90510949 36.09489051],0
a3,1,0.667939,0.184022,[64 29] ; [28 15],[62.91176471 30.08823529] ; [29.08823529 13.91176471],0
u1,1,0.676347,0.174268,[11 83] ; [ 4 39],[10.2919708 83.7080292] ; [ 4.7080292 38.2919708],0
b2,1,0.682151,0.167715,[14 39] ; [ 6 21],[13.25 39.75] ; [ 6.75 20.25],0
b3,1,0.682151,0.167715,[14 39] ; [ 6 21],[13.25 39.75] ; [ 6.75 20.25],0
p5,1,0.6883,0.160931,[ 6 88] ; [ 2 41],[ 5.48905109 88.51094891] ; [ 2.51094891 40.48905109],0
s1,1,0.701001,0.147433,[ 5 89] ; [ 3 40],[ 5.48905109 88.51094891] ; [ 2.51094891 40.48905109],0
d1,1,0.704652,0.143678,[47 47] ; [23 20],[48.02919708 45.97080292] ; [21.97080292 21.02919708],0
s6,1,0.767855,0.087132,[51 41] ; [25 18],[51.79259259 40.20740741] ; [24.20740741 18.79259259],0
d3,1,0.796268,0.066657,[69 24] ; [31 12],[68.38235294 24.61764706] ; [31.61764706 11.38235294],0
p8,1,0.807612,0.059296,[52 41] ; [25 18],[52.65441176 40.34558824] ; [24.34558824 18.65441176],0
b5,1,0.810291,0.057625,[57 37] ; [27 16],[57.6350365 36.3649635] ; [26.3649635 16.6350365],0
s4,1,0.826197,0.048216,[19 75] ; [ 8 35],[18.52554745 75.47445255] ; [ 8.47445255 34.52554745],0
a5,1,0.826568,0.048007,[63 31] ; [28 15],[62.4379562 31.5620438] ; [28.5620438 14.4379562],0
v1,1,0.8597,0.031243,[30 60] ; [15 28],[30.45112782 59.54887218] ; [14.54887218 28.45112782],0
a6,1,0.890272,0.019033,[58 36] ; [26 17],[57.6350365 36.3649635] ; [26.3649635 16.6350365],0
b4,1,0.890272,0.019033,[58 36] ; [26 17],[57.6350365 36.3649635] ; [26.3649635 16.6350365],0
p1,1,0.909003,0.013064,[ 7 86] ; [ 3 40],[ 6.83823529 86.16176471] ; [ 3.16176471 39.83823529],0
r1,1,0.976054,0.000901,[68 26] ; [31 12],[67.9270073 26.0729927] ; [31.0729927 11.9270073],0
a4,1,0.979775,0.000643,[33 61] ; [15 28],[32.93430657 61.06569343] ; [15.06569343 27.93430657],0
