Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,48.606183,[43 65] ; [215  64],[72. 36.] ; [186.  93.],1
a3,1,0.072484,3.225855,[66 42] ; [197  82],[73.39534884 34.60465116] ; [189.60465116  89.39534884],0
v1,1,0.084655,2.97318,[46 60] ; [148 130],[53.55208333 52.44791667] ; [140.44791667 137.55208333],0
p9,1,0.120525,2.41049,[77 29] ; [220  55],[82.62992126 23.37007874] ; [214.37007874  60.62992126],0
v2,1,0.131835,2.270762,[50 55] ; [153 119],[56.53846154 48.46153846] ; [146.46153846 125.53846154],0
p3,1,0.156622,2.006537,[42 64] ; [133 146],[48.18181818 57.81818182] ; [126.81818182 152.18181818],0
p7,1,0.174579,1.843175,[55 52] ; [163 113],[60.90339426 46.09660574] ; [157.09660574 118.90339426],0
p1,1,0.183071,1.772516,[  5 103] ; [ 24 255],[ 8.09302326 99.90697674] ; [ 20.90697674 258.09302326],0
a8,1,0.183353,1.770234,[ 8 95] ; [ 31 213],[11.57636888 91.42363112] ; [ 27.42363112 216.57636888],0
a5,1,0.212015,1.557612,[73 35] ; [207  73],[77.93814433 30.06185567] ; [202.06185567  77.93814433],0
n5,1,0.217053,1.523746,[80 28] ; [188  90],[74.98445596 33.01554404] ; [193.01554404  84.98445596],0
b4,1,0.217761,1.519066,[55 53] ; [162 118],[60.40206186 47.59793814] ; [156.59793814 123.40206186],0
v3,1,0.220789,1.499236,[32 71] ; [103 169],[37.08 65.92] ; [ 97.92 174.08],0
s5,1,0.227813,1.454465,[27 76] ; [ 56 218],[22.67639257 80.32360743] ; [ 60.32360743 213.67639257],0
u3,1,0.278896,1.172462,[20 22] ; [48 35],[22.848 19.152] ; [45.152 37.848],0
n4,1,0.285197,1.142159,[74 34] ; [207  73],[78.21649485 29.78350515] ; [202.78350515  77.21649485],0
a1,1,0.369046,0.806875,[  7 101] ; [ 12 268],[  5.28865979 102.71134021] ; [ 13.71134021 266.28865979],0
b3,1,0.383364,0.759886,[27 38] ; [ 58 106],[24.12663755 40.87336245] ; [ 60.87336245 103.12663755],0
b2,1,0.383364,0.759886,[27 38] ; [ 58 106],[24.12663755 40.87336245] ; [ 60.87336245 103.12663755],0
a4,1,0.449813,0.571123,[43 64] ; [124 155],[46.29274611 60.70725389] ; [120.70725389 158.29274611],0
p12,1,0.497825,0.45957,[  3 103] ; [ 12 265],[  4.15143603 101.84856397] ; [ 10.84856397 266.15143603],0
p5,1,0.561167,0.337687,[ 8 99] ; [ 26 252],[ 9.44935065 97.55064935] ; [ 24.55064935 253.44935065],0
n1,1,0.609112,0.26147,[14 23] ; [21 43],[12.82178218 24.17821782] ; [22.17821782 41.82178218],0
u2,1,0.609997,0.26018,[19 22] ; [42 40],[20.33333333 20.66666667] ; [40.66666667 41.33333333],0
p6,1,0.658441,0.195423,[32 73] ; [ 90 184],[33.7994723 71.2005277] ; [ 88.2005277 185.7994723],0
n3,1,0.719177,0.129282,[23 12] ; [45 20],[23.8 11.2] ; [44.2 20.8],0
d2,1,0.732206,0.117096,[49 57] ; [124 156],[47.50777202 58.49222798] ; [125.49222798 154.50777202],0
s7,1,0.767901,0.087096,[27 77] ; [ 72 190],[28.13114754 75.86885246] ; [ 70.86885246 191.13114754],0
n2,1,0.770864,0.084823,[24 13] ; [44 21],[24.66666667 12.33333333] ; [43.33333333 21.66666667],0
s6,1,0.812776,0.056096,[45 61] ; [120 154],[46.02631579 59.97368421] ; [118.97368421 155.02631579],0
p11,1,0.818973,0.05238,[79 29] ; [208  72],[79.88659794 28.11340206] ; [207.11340206  72.88659794],0
u4,1,0.831084,0.045502,[  1 107] ; [  2 278],[  0.83505155 107.16494845] ; [  2.16494845 277.83505155],0
n6,1,0.855665,0.033086,[87 21] ; [227  52],[87.62790698 20.37209302] ; [226.37209302  52.62790698],0
s8,1,0.889094,0.019446,[27 80] ; [ 68 209],[26.47135417 80.52864583] ; [ 68.52864583 208.47135417],0
s2,1,0.987755,0.000236,[15 92] ; [ 39 238],[15.046875 91.953125] ; [ 38.953125 238.046875],0
s4,1,0.992162,9.7e-05,[11 97] ; [ 28 246],[11.02617801 96.97382199] ; [ 27.97382199 246.02617801],0
