Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,66.159266,[102  21] ; [ 4 33],[81.4875 41.5125] ; [24.5125 12.4875],1
a2,1,0.09242,2.831703,[29 94] ; [ 4 33],[25.36875 97.63125] ; [ 7.63125 29.36875],0
d2,1,0.092715,2.826592,[64 59] ; [13 23],[59.56603774 63.43396226] ; [17.43396226 18.56603774],0
u1,1,0.136684,2.214898,[ 18 105] ; [ 2 35],[ 15.375 107.625] ; [ 4.625 32.375],0
u2,1,0.138085,2.199167,[19 24] ; [ 4 13],[16.48333333 26.51666667] ; [ 6.51666667 10.48333333],0
b3,1,0.14979,2.074383,[19 44] ; [12 14],[21.94382022 41.05617978] ; [ 9.05617978 16.94382022],0
b2,1,0.14979,2.074383,[19 44] ; [12 14],[21.94382022 41.05617978] ; [ 9.05617978 16.94382022],0
n3,1,0.201706,1.629982,[30 17] ; [11 12],[27.52857143 19.47142857] ; [13.47142857  9.52857143],0
n4,1,0.306542,1.045518,[67 54] ; [24 13],[69.68987342 51.31012658] ; [21.31012658 15.68987342],0
a8,1,0.308224,1.038272,[13 98] ; [ 2 33],[11.40410959 99.59589041] ; [ 3.59589041 31.40410959],0
n2,1,0.316695,1.002545,[31 17] ; [12 11],[29.07042254 18.92957746] ; [13.92957746  9.07042254],0
p5,1,0.394789,0.724142,[  8 115] ; [ 1 35],[  6.96226415 116.03773585] ; [ 2.03773585 33.96226415],0
a3,1,0.410844,0.676356,[79 43] ; [20 15],[76.92993631 45.07006369] ; [22.07006369 12.92993631],0
b4,1,0.461623,0.541956,[58 65] ; [20 17],[59.9625 63.0375] ; [18.0375 18.9625],0
a4,1,0.475249,0.509746,[54 69] ; [13 22],[52.15822785 70.84177215] ; [14.84177215 20.15822785],0
p1,1,0.612877,0.256007,[ 10 113] ; [ 4 33],[ 10.7625 112.2375] ; [ 3.2375 33.7625],0
s4,1,0.619835,0.2461,[28 95] ; [ 7 30],[26.90625 96.09375] ; [ 8.09375 28.90625],0
p12,1,0.6771,0.173409,[  2 120] ; [ 1 36],[  2.30188679 119.69811321] ; [ 0.69811321 36.30188679],0
s1,1,0.678888,0.17138,[  9 113] ; [ 2 35],[  8.44025157 113.55974843] ; [ 2.55974843 34.44025157],0
n1,1,0.746669,0.104352,[21 27] ; [11 12],[21.63380282 26.36619718] ; [10.36619718 12.63380282],0
