Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,9e-06,19.643369,[20 55] ; [35 18],[32.2265625 42.7734375] ; [22.7734375 30.2265625],1
d2,1,0.465115,0.533557,[25 50] ; [21 32],[26.953125 48.046875] ; [19.046875 33.953125],0
v3,1,0.518408,0.417059,[ 6 68] ; [ 6 46],[ 7.04761905 66.95238095] ; [ 4.95238095 47.04761905],0
d3,1,0.569363,0.32375,[45 30] ; [28 23],[43.45238095 31.54761905] ; [29.54761905 21.45238095],0
n1,1,0.572251,0.31893,[ 8 17] ; [ 7 21],[ 7.0754717 17.9245283] ; [ 7.9245283 20.0754717],0
s5,1,0.575322,0.313859,[21 54] ; [12 39],[19.64285714 55.35714286] ; [13.35714286 37.64285714],0
d5,1,0.586543,0.295775,[44 31] ; [33 19],[45.47244094 29.52755906] ; [31.52755906 20.47244094],0
a1,1,0.661569,0.191624,[ 3 72] ; [ 3 50],[ 3.515625 71.484375] ; [ 2.484375 50.515625],0
r1,1,0.677568,0.172877,[41 34] ; [27 26],[39.84375 35.15625] ; [28.15625 24.84375],0
b4,1,0.761577,0.092058,[39 36] ; [29 24],[39.84375 35.15625] ; [28.15625 24.84375],0
u3,1,0.787172,0.072892,[24 16] ; [13 10],[23.49206349 16.50793651] ; [13.50793651  9.49206349],0
p1,1,0.864084,0.029302,[ 5 69] ; [ 4 49],[ 5.24409449 68.75590551] ; [ 3.75590551 49.24409449],0
p4,1,0.868226,0.027527,[29 45] ; [20 33],[28.5511811 45.4488189] ; [20.4488189 32.5511811],0
s2,1,0.885661,0.020678,[27 47] ; [20 33],[27.38582677 46.61417323] ; [19.61417323 33.38582677],0
b2,1,0.887422,0.020041,[10 29] ; [ 7 22],[ 9.75 29.25] ; [ 7.25 21.75],0
b3,1,0.887422,0.020041,[10 29] ; [ 7 22],[ 9.75 29.25] ; [ 7.25 21.75],0
d1,1,0.890238,0.019045,[26 49] ; [19 34],[26.3671875 48.6328125] ; [18.6328125 34.3671875],0
s3,1,0.896106,0.017052,[32 43] ; [22 31],[31.640625 43.359375] ; [22.359375 30.640625],0
d4,1,0.899103,0.016077,[53 22] ; [38 15],[53.3203125 21.6796875] ; [37.6796875 15.3203125],0
u1,1,0.948075,0.004241,[ 3 72] ; [ 2 51],[ 2.9296875 72.0703125] ; [ 2.0703125 50.9296875],0
v1,1,0.954368,0.003274,[21 53] ; [15 37],[21.14285714 52.85714286] ; [14.85714286 37.14285714],0
n3,1,0.982725,0.000469,[16  9] ; [18 10],[16.03773585  8.96226415] ; [17.96226415 10.03773585],0
