Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,32.785714,[58 42] ; [10 60],[40. 60.] ; [28. 42.],1
p9,1,0.082844,3.008212,[83 19] ; [49 21],[78.27906977 23.72093023] ; [53.72093023 16.27906977],0
p5,1,0.082867,3.007745,[10 92] ; [ 2 67],[ 7.15789474 94.84210526] ; [ 4.84210526 64.15789474],0
d1,1,0.08349,2.995624,[61 41] ; [33 38],[55.42196532 46.57803468] ; [38.57803468 32.42196532],0
p8,1,0.084371,2.978616,[66 34] ; [37 33],[60.58823529 39.41176471] ; [42.41176471 27.58823529],0
u2,1,0.092153,2.836364,[ 8 14] ; [18 12],[11. 11.] ; [15. 15.],0
d3,1,0.095515,2.778879,[69 33] ; [38 31],[63.8245614 38.1754386] ; [43.1754386 25.8245614],0
d5,1,0.097968,2.738319,[80 22] ; [47 23],[75.31395349 26.68604651] ; [51.68604651 18.31395349],0
a6,1,0.129796,2.29494,[73 29] ; [43 28],[68.39306358 33.60693642] ; [47.60693642 23.39306358],0
n5,1,0.129796,2.29494,[73 29] ; [43 28],[68.39306358 33.60693642] ; [47.60693642 23.39306358],0
s7,1,0.142868,2.146794,[30 66] ; [14 53],[25.91411043 70.08588957] ; [18.08588957 48.91411043],0
s1,1,0.181034,1.789119,[  2 100] ; [ 4 65],[ 3.57894737 98.42105263] ; [ 2.42105263 66.57894737],0
r2,1,0.190701,1.712194,[94  7] ; [61  9],[91.5497076  9.4502924] ; [63.4502924  6.5497076],0
p12,1,0.212595,1.553663,[ 5 96] ; [ 1 70],[ 3.52325581 97.47674419] ; [ 2.47674419 68.52325581],0
u1,1,0.22686,1.460439,[13 89] ; [ 5 66],[10.61271676 91.38728324] ; [ 7.38728324 63.61271676],0
b3,1,0.272349,1.204879,[29 37] ; [14 28],[26.27777778 39.72222222] ; [16.72222222 25.27777778],0
b2,1,0.272349,1.204879,[29 37] ; [14 28],[26.27777778 39.72222222] ; [16.72222222 25.27777778],0
a2,1,0.27255,1.203869,[21 81] ; [10 61],[18.27745665 83.72254335] ; [12.72254335 58.27745665],0
n6,1,0.311101,1.025997,[85 17] ; [54 16],[82.43023256 19.56976744] ; [56.56976744 13.43023256],0
s4,1,0.329059,0.952597,[ 6 96] ; [ 7 64],[ 7.66473988 94.33526012] ; [ 5.33526012 65.66473988],0
s3,1,0.353659,0.860286,[27 74] ; [23 46],[29.70588235 71.29411765] ; [20.29411765 48.70588235],0
p4,1,0.354167,0.858471,[62 38] ; [39 32],[59.06432749 40.93567251] ; [41.93567251 29.06432749],0
b1,1,0.357545,0.846497,[43 59] ; [25 46],[40.09248555 61.90751445] ; [27.90751445 43.09248555],0
p1,1,0.43372,0.612842,[ 9 93] ; [ 4 67],[ 7.66473988 94.33526012] ; [ 5.33526012 65.66473988],0
n3,1,0.489199,0.478287,[17  2] ; [18  4],[16.2195122  2.7804878] ; [18.7804878  3.2195122],0
n1,1,0.657553,0.196509,[ 6 11] ; [ 6 15],[ 5.36842105 11.63157895] ; [ 6.63157895 14.36842105],0
s2,1,0.689388,0.159749,[23 79] ; [14 56],[21.94186047 80.05813953] ; [15.05813953 54.94186047],0
n2,1,0.78146,0.07696,[13  5] ; [15  7],[12.6  5.4] ; [15.4  6.6],0
u3,1,0.798953,0.064873,[10 13] ; [12 18],[ 9.54716981 13.45283019] ; [12.45283019 17.54716981],0
p6,1,0.829896,0.046154,[38 60] ; [26 44],[37.33333333 60.66666667] ; [26.66666667 43.33333333],0
d2,1,0.914508,0.011525,[48 54] ; [34 37],[48.34682081 53.65317919] ; [33.65317919 37.34682081],0
b4,1,0.914508,0.011525,[54 48] ; [37 34],[53.65317919 48.34682081] ; [37.34682081 33.65317919],0
a8,1,0.949812,0.003962,[12 80] ; [ 8 55],[11.87096774 80.12903226] ; [ 8.12903226 54.87096774],0
a1,1,0.96172,0.002304,[ 3 99] ; [ 2 69],[ 2.94797688 99.05202312] ; [ 2.05202312 68.94797688],0
a7,1,0.996967,1.4e-05,[67 35] ; [46 24],[67.01162791 34.98837209] ; [45.98837209 24.01162791],0
