Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,51.413462,[  9 134] ; [29 29],[ 27.03482587 115.96517413] ; [10.96517413 47.03482587],1
v1,1,0.264515,1.24497,[44 98] ; [22 34],[47.33333333 94.66666667] ; [18.66666667 37.33333333],0
u3,1,0.304458,1.054565,[19 27] ; [11  9],[20.90909091 25.09090909] ; [ 9.09090909 10.90909091],0
r2,1,0.317201,1.000452,[118  23] ; [50  6],[120.24365482  20.75634518] ; [47.75634518  8.24365482],0
p1,1,0.336532,0.923599,[ 10 133] ; [ 2 56],[  8.53731343 134.46268657] ; [ 3.46268657 54.53731343],0
b1,1,0.349281,0.876066,[65 79] ; [22 36],[62.01980198 81.98019802] ; [24.98019802 33.01980198],0
a7,1,0.412666,0.671106,[89 52] ; [33 25],[86.44221106 54.55778894] ; [35.55778894 22.44221106],0
a6,1,0.449943,0.570796,[95 49] ; [35 23],[92.67326733 51.32673267] ; [37.32673267 20.67326733],0
d3,1,0.483328,0.491344,[78 64] ; [35 23],[80.23 61.77] ; [32.77 25.23],0
v3,1,0.51195,0.430079,[ 37 101] ; [12 42],[ 35.21875 102.78125] ; [13.78125 40.21875],0
a5,1,0.562597,0.335227,[83 61] ; [36 22],[84.83168317 59.16831683] ; [34.16831683 23.83168317],0
n4,1,0.564166,0.332542,[90 53] ; [39 19],[91.7761194 51.2238806] ; [37.2238806 20.7761194],0
d1,1,0.594372,0.283568,[63 81] ; [23 35],[61.30693069 82.69306931] ; [24.69306931 33.30693069],0
u1,1,0.599805,0.27529,[ 16 128] ; [ 5 53],[ 14.97029703 129.02970297] ; [ 6.02970297 51.97029703],0
r4,1,0.645487,0.211637,[97 47] ; [41 17],[98.37623762 45.62376238] ; [39.62376238 18.37623762],0
b4,1,0.717005,0.131381,[81 63] ; [31 27],[79.84158416 64.15841584] ; [32.15841584 25.84158416],0
a4,1,0.763835,0.090269,[60 83] ; [23 35],[59.04975124 83.95024876] ; [23.95024876 34.04975124],0
n5,1,0.769919,0.085545,[84 58] ; [35 22],[84.91457286 57.08542714] ; [34.08542714 22.91457286],0
d2,1,0.775588,0.081267,[59 82] ; [23 35],[58.10050251 82.89949749] ; [23.89949749 34.10050251],0
p11,1,0.791924,0.069597,[89 55] ; [37 21],[89.82178218 54.17821782] ; [36.17821782 21.82178218],0
a3,1,0.798563,0.065131,[98 45] ; [38 19],[97.24 45.76] ; [38.76 18.24],0
u2,1,0.803876,0.06167,[21 24] ; [10 10],[21.46153846 23.53846154] ; [ 9.53846154 10.46153846],0
d4,1,0.829591,0.046323,[105  38] ; [41 16],[104.39  38.61] ; [41.61 15.39],0
v2,1,0.829951,0.046124,[55 83] ; [21 34],[54.34196891 83.65803109] ; [21.65803109 33.34196891],0
r3,1,0.841821,0.039826,[115  26] ; [48 10],[115.49246231  25.50753769] ; [47.50753769 10.49246231],0
p9,1,0.860202,0.031017,[82 57] ; [35 23],[82.55329949 56.44670051] ; [34.44670051 23.55329949],0
a1,1,0.865464,0.028704,[  9 135] ; [ 4 54],[  9.26732673 134.73267327] ; [ 3.73267327 54.26732673],0
p2,1,0.871217,0.02628,[87 56] ; [36 22],[87.50746269 55.49253731] ; [35.49253731 22.50746269],0
r1,1,0.871217,0.02628,[87 56] ; [36 22],[87.50746269 55.49253731] ; [35.49253731 22.50746269],0
b2,1,0.901496,0.015319,[38 49] ; [14 19],[37.7 49.3] ; [14.3 18.7],0
b3,1,0.901496,0.015319,[38 49] ; [14 19],[37.7 49.3] ; [14.3 18.7],0
p6,1,0.958412,0.002719,[ 22 120] ; [ 9 48],[ 22.12060302 119.87939698] ; [ 8.87939698 48.12060302],0
p5,1,0.972656,0.001175,[  5 139] ; [ 2 54],[  5.04 138.96] ; [ 1.96 54.04],0
v4,1,0.992039,0.0001,[115  28] ; [45 11],[114.97487437  28.02512563] ; [45.02512563 10.97487437],0
a8,1,0.995592,3.1e-05,[ 14 117] ; [ 6 50],[ 14.01069519 116.98930481] ; [ 5.98930481 50.01069519],0
