Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.002413,9.205633,[15 15] ; [62 16],[21.38888889  8.61111111] ; [55.61111111 22.38888889],0
a4,1,0.786751,0.073188,[12 18] ; [29 49],[11.38888889 18.61111111] ; [29.61111111 48.38888889],0
a8,1,0.835834,0.042942,[ 2 27] ; [ 4 65],[ 1.7755102 27.2244898] ; [ 4.2244898 64.7755102],0
p6,1,0.841526,0.039977,[11 19] ; [27 51],[10.55555556 19.44444444] ; [27.44444444 50.55555556],0
p7,1,0.843804,0.038821,[22  8] ; [55 22],[21.58878505  8.41121495] ; [55.41121495 21.58878505],0
p8,1,0.867324,0.027908,[17 13] ; [45 32],[17.38317757 12.61682243] ; [44.61682243 32.38317757],0
s5,1,0.875996,0.024351,[ 9 19] ; [26 51],[ 9.33333333 18.66666667] ; [25.66666667 51.33333333],0
s8,1,0.883214,0.021578,[12 18] ; [30 48],[11.66666667 18.33333333] ; [30.33333333 47.66666667],0
n3,1,0.884483,0.021109,[8 3] ; [19  8],[7.81578947 3.18421053] ; [19.18421053  7.81578947],0
s2,1,0.90498,0.01425,[15 15] ; [38 40],[14.72222222 15.27777778] ; [38.27777778 39.72222222],0
u3,1,0.931859,0.007311,[7 3] ; [20  8],[7.10526316 2.89473684] ; [19.89473684  8.10526316],0
s7,1,0.971594,0.001268,[12 16] ; [31 42],[11.92079208 16.07920792] ; [31.07920792 41.92079208],0
