Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8e-06,20.03957,[52 13] ; [ 8 18],[42.85714286 22.14285714] ; [17.14285714  8.85714286],1
v2,1,0.073193,3.209926,[32 30] ; [ 8 18],[28.18181818 33.81818182] ; [11.81818182 14.18181818],0
s7,1,0.076375,3.140394,[24 36] ; [ 5 20],[20.47058824 39.52941176] ; [ 8.52941176 16.47058824],0
p3,1,0.081231,3.040099,[30 34] ; [ 7 19],[26.31111111 37.68888889] ; [10.68888889 15.31111111],0
s8,1,0.085895,2.949665,[21 44] ; [ 4 23],[17.66304348 47.33695652] ; [ 7.33695652 19.66304348],0
p5,1,0.134904,2.23514,[ 1 62] ; [ 2 23],[ 2.14772727 60.85227273] ; [ 0.85227273 24.14772727],0
p2,1,0.137469,2.206061,[50 15] ; [16 10],[47.14285714 17.85714286] ; [18.85714286  7.14285714],0
d4,1,0.137469,2.206061,[50 15] ; [16 10],[47.14285714 17.85714286] ; [18.85714286  7.14285714],0
b5,1,0.141924,2.156971,[35 30] ; [10 17],[31.79347826 33.20652174] ; [13.20652174 13.79347826],0
u3,1,0.197703,1.659259,[ 7 13] ; [7 5],[ 8.75 11.25] ; [5.25 6.75],0
p9,1,0.219953,1.504676,[47 18] ; [16 11],[44.51086957 20.48913043] ; [18.48913043  8.51086957],0
p8,1,0.24112,1.374033,[26 39] ; [ 7 19],[23.57142857 41.42857143] ; [ 9.42857143 16.57142857],0
a6,1,0.253353,1.304717,[42 23] ; [14 13],[39.56521739 25.43478261] ; [16.43478261 10.56521739],0
a3,1,0.294089,1.100806,[45 20] ; [15 11],[42.85714286 22.14285714] ; [17.14285714  8.85714286],0
u2,1,0.314355,1.012288,[ 8 12] ; [7 5],[ 9.375 10.625] ; [5.625 6.375],0
v1,1,0.352721,0.863642,[30 34] ; [ 9 16],[28.04494382 35.95505618] ; [10.95505618 14.04494382],0
v4,1,0.367905,0.810729,[56  8] ; [20  5],[54.65168539  9.34831461] ; [21.34831461  3.65168539],0
a4,1,0.421239,0.646857,[25 40] ; [ 8 19],[23.31521739 41.68478261] ; [ 9.68478261 17.31521739],0
r3,1,0.436129,0.606448,[57  8] ; [22  5],[55.81521739  9.18478261] ; [23.18478261  3.81521739],0
b4,1,0.441641,0.592015,[37 28] ; [13 14],[35.32608696 29.67391304] ; [14.67391304 12.32608696],0
u1,1,0.491694,0.472818,[ 8 57] ; [ 2 25],[ 7.06521739 57.93478261] ; [ 2.93478261 24.06521739],0
s4,1,0.491694,0.472818,[ 8 57] ; [ 2 25],[ 7.06521739 57.93478261] ; [ 2.93478261 24.06521739],0
s2,1,0.492163,0.471795,[34 31] ; [12 15],[32.5 32.5] ; [13.5 13.5],0
b1,1,0.500879,0.453073,[24 41] ; [12 15],[25.43478261 39.56521739] ; [10.56521739 16.43478261],0
n2,1,0.507726,0.43875,[13  3] ; [7 3],[12.30769231  3.69230769] ; [7.69230769 2.30769231],0
s5,1,0.551277,0.355035,[ 8 51] ; [ 5 22],[ 8.91860465 50.08139535] ; [ 4.08139535 22.91860465],0
n3,1,0.629412,0.232859,[11  5] ; [7 2],[11.52  4.48] ; [6.48 2.52],0
d2,1,0.655869,0.198581,[28 37] ; [13 14],[28.9673913 36.0326087] ; [12.0326087 14.9673913],0
p7,1,0.730473,0.118677,[38 27] ; [15  9],[38.70786517 26.29213483] ; [14.29213483  9.70786517],0
a1,1,0.824513,0.049171,[ 4 61] ; [ 2 25],[ 4.23913043 60.76086957] ; [ 1.76086957 25.23913043],0
p12,1,0.83435,0.043734,[ 3 61] ; [ 1 26],[ 2.81318681 61.18681319] ; [ 1.18681319 25.81318681],0
p1,1,0.871536,0.026149,[ 3 62] ; [ 1 25],[ 2.85714286 62.14285714] ; [ 1.14285714 24.85714286],0
p4,1,0.893994,0.017756,[29 36] ; [12 14],[29.28571429 35.71428571] ; [11.71428571 14.28571429],0
