Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.3e-05,17.254226,[ 6 29] ; [17  7],[13.6440678 21.3559322] ; [ 9.3559322 14.6440678],1
b4,1,0.200466,1.638974,[19 16] ; [17  7],[21.3559322 13.6440678] ; [14.6440678  9.3559322],0
a5,1,0.204666,1.60876,[16 19] ; [15  9],[18.38983051 16.61016949] ; [12.61016949 11.38983051],0
s4,1,0.215453,1.534403,[ 9 26] ; [ 3 21],[ 7.11864407 27.88135593] ; [ 4.88135593 19.11864407],0
n2,1,0.237552,1.395061,[ 8 13] ; [5 3],[ 9.4137931 11.5862069] ; [3.5862069 4.4137931],0
b5,1,0.242777,1.364395,[15 20] ; [14 10],[17.20338983 17.79661017] ; [11.79661017 12.20338983],0
v3,1,0.27369,1.198159,[ 6 29] ; [ 7 17],[ 7.71186441 27.28813559] ; [ 5.28813559 18.71186441],0
d3,1,0.283297,1.151206,[14 21] ; [13 11],[16.01694915 18.98305085] ; [10.98305085 13.01694915],0
a3,1,0.297851,1.083789,[19 15] ; [16  7],[20.87719298 13.12280702] ; [14.12280702  8.87719298],0
p1,1,0.323654,0.974124,[ 4 31] ; [ 5 19],[ 5.33898305 29.66101695] ; [ 3.66101695 20.33898305],0
a7,1,0.326223,0.963832,[13 22] ; [12 12],[14.83050847 20.16949153] ; [10.16949153 13.83050847],0
n6,1,0.328661,0.954166,[14 20] ; [13 11],[15.82758621 18.17241379] ; [11.17241379 12.82758621],0
b2,1,0.392041,0.732601,[10 15] ; [ 4 11],[ 8.75 16.25] ; [5.25 9.75],0
b3,1,0.392041,0.732601,[10 15] ; [ 4 11],[ 8.75 16.25] ; [5.25 9.75],0
v2,1,0.461408,0.542477,[ 6 29] ; [ 6 18],[ 7.11864407 27.88135593] ; [ 4.88135593 19.11864407],0
s1,1,0.487335,0.482405,[ 5 30] ; [ 2 22],[ 4.15254237 30.84745763] ; [ 2.84745763 21.15254237],0
s2,1,0.510222,0.433613,[ 5 30] ; [ 5 19],[ 5.93220339 29.06779661] ; [ 4.06779661 19.93220339],0
u3,1,0.525358,0.403361,[ 4 12] ; [3 5],[ 4.66666667 11.33333333] ; [2.33333333 5.66666667],0
u2,1,0.540291,0.375,[ 6 10] ; [2 6],[ 5.33333333 10.66666667] ; [2.66666667 5.33333333],0
n1,1,0.560714,0.338469,[ 8 13] ; [4 4],[ 8.68965517 12.31034483] ; [3.31034483 4.68965517],0
r1,1,0.564666,0.331689,[12 23] ; [10 14],[13.05084746 21.94915254] ; [ 8.94915254 15.05084746],0
a4,1,0.626632,0.236656,[14 20] ; [ 8 15],[13.12280702 20.87719298] ; [ 8.87719298 14.12280702],0
s3,1,0.69581,0.152867,[ 8 26] ; [ 4 17],[ 7.41818182 26.58181818] ; [ 4.58181818 16.41818182],0
a2,1,0.699194,0.149311,[ 4 31] ; [ 2 22],[ 3.55932203 31.44067797] ; [ 2.44067797 21.55932203],0
n4,1,0.726347,0.122493,[22 13] ; [14 10],[21.3559322 13.6440678] ; [14.6440678  9.3559322],0
a8,1,0.742557,0.107892,[ 1 32] ; [ 1 20],[ 1.22222222 31.77777778] ; [ 0.77777778 20.22222222],0
d5,1,0.758368,0.094633,[19 16] ; [14 10],[19.57627119 15.42372881] ; [13.42372881 10.57627119],0
a6,1,0.758368,0.094633,[16 19] ; [10 14],[15.42372881 19.57627119] ; [10.57627119 13.42372881],0
d4,1,0.758368,0.094633,[19 16] ; [14 10],[19.57627119 15.42372881] ; [13.42372881 10.57627119],0
u1,1,0.784822,0.074551,[ 1 34] ; [ 1 23],[ 1.18644068 33.81355932] ; [ 0.81355932 23.18644068],0
p12,1,0.784822,0.074551,[ 1 34] ; [ 1 23],[ 1.18644068 33.81355932] ; [ 0.81355932 23.18644068],0
s7,1,0.875923,0.024379,[ 5 28] ; [ 3 19],[ 4.8 28.2] ; [ 3.2 18.8],0
n5,1,0.877755,0.023659,[24 11] ; [16  8],[23.72881356 11.27118644] ; [16.27118644  7.72881356],0
d1,1,0.939487,0.005763,[12 23] ; [ 8 16],[11.86440678 23.13559322] ; [ 8.13559322 15.86440678],0
a1,1,0.961804,0.002293,[ 6 29] ; [ 4 20],[ 5.93220339 29.06779661] ; [ 4.06779661 19.93220339],0
