Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.400848,[ 9 22] ; [87 31],[19.97315436 11.02684564] ; [76.02684564 41.97315436],1
v3,1,0.133347,2.253104,[ 6 25] ; [38 76],[ 9.40689655 21.59310345] ; [34.59310345 79.40689655],0
u2,1,0.149312,2.079266,[11  5] ; [20 22],[8.55172414 7.44827586] ; [22.44827586 19.55172414],0
n6,1,0.175176,1.838081,[23  8] ; [99 18],[25.55405405  5.44594595] ; [96.44594595 20.55405405],0
a2,1,0.18581,1.750534,[ 1 30] ; [ 13 105],[ 2.91275168 28.08724832] ; [ 11.08724832 106.91275168],0
b2,1,0.209922,1.571966,[ 4 16] ; [26 49],[ 6.31578947 13.68421053] ; [23.68421053 51.31578947],0
b3,1,0.209922,1.571966,[ 4 16] ; [26 49],[ 6.31578947 13.68421053] ; [23.68421053 51.31578947],0
d4,1,0.222634,1.487311,[20 11] ; [89 29],[22.67785235  8.32214765] ; [86.32214765 31.67785235],0
p2,1,0.231524,1.431473,[22  9] ; [93 22],[24.41780822  6.58219178] ; [90.58219178 24.41780822],0
s2,1,0.304429,1.054692,[11 20] ; [54 64],[13.52348993 17.47651007] ; [51.47651007 66.52348993],0
s4,1,0.316141,1.004844,[ 8 23] ; [21 97],[ 6.03355705 24.96644295] ; [22.96644295 95.03355705],0
p3,1,0.326695,0.961955,[11 20] ; [53 64],[13.40540541 17.59459459] ; [50.59459459 66.40540541],0
p12,1,0.352681,0.863786,[ 3 28] ; [  6 110],[ 1.89795918 29.10204082] ; [  7.10204082 108.89795918],0
p5,1,0.371015,0.800262,[ 5 26] ; [ 12 104],[ 3.58503401 27.41496599] ; [ 13.41496599 102.58503401],0
a8,1,0.371553,0.798465,[ 4 26] ; [  9 103],[ 2.74647887 27.25352113] ; [ 10.25352113 101.74647887],0
n3,1,0.397827,0.714885,[10  2] ; [27 11],[8.88 3.12] ; [28.12  9.88],0
n2,1,0.495052,0.465528,[10  2] ; [28 10],[9.12 2.88] ; [28.88  9.12],0
p7,1,0.495946,0.463601,[15 16] ; [63 51],[16.67586207 14.32413793] ; [61.32413793 52.67586207],0
d3,1,0.505711,0.442931,[15 16] ; [65 53],[16.6442953 14.3557047] ; [63.3557047 54.6442953],0
a5,1,0.606292,0.26561,[16 15] ; [67 51],[17.26845638 13.73154362] ; [65.73154362 52.26845638],0
r3,1,0.618265,0.248314,[26  4] ; [106  12],[26.75675676  3.24324324] ; [105.24324324  12.75675676],0
v1,1,0.669168,0.182577,[12 19] ; [49 65],[13.04137931 17.95862069] ; [47.95862069 66.04137931],0
p4,1,0.724516,0.124207,[17 14] ; [60 57],[16.12837838 14.87162162] ; [60.87162162 56.12837838],0
p8,1,0.726645,0.122215,[14 17] ; [56 59],[14.8630137 16.1369863] ; [55.1369863 59.8630137],0
n4,1,0.729356,0.119704,[20 11] ; [80 38],[20.80536913 10.19463087] ; [79.19463087 38.80536913],0
v2,1,0.789244,0.071445,[14 17] ; [48 65],[13.34722222 17.65277778] ; [48.65277778 64.34722222],0
u1,1,0.798773,0.064992,[ 1 30] ; [  5 113],[ 1.24832215 29.75167785] ; [  4.75167785 113.24832215],0
n5,1,0.810637,0.05741,[23  8] ; [85 33],[22.46979866  8.53020134] ; [85.53020134 32.46979866],0
s5,1,0.840588,0.040458,[ 7 24] ; [27 84],[ 7.42253521 23.57746479] ; [26.57746479 84.42253521],0
d2,1,0.841061,0.040215,[12 19] ; [43 74],[11.52027027 19.47972973] ; [43.47972973 73.52027027],0
n1,1,0.864691,0.029038,[5 7] ; [14 22],[4.75 7.25] ; [14.25 21.75],0
a6,1,0.897667,0.01654,[18 13] ; [67 51],[17.68456376 13.31543624] ; [67.31543624 50.68456376],0
p1,1,0.924335,0.00902,[ 3 28] ; [ 12 105],[ 3.14189189 27.85810811] ; [ 11.85810811 105.14189189],0
s6,1,0.946342,0.004529,[18 13] ; [66 49],[17.83561644 13.16438356] ; [66.16438356 48.83561644],0
a1,1,0.948206,0.00422,[ 2 29] ; [  8 110],[ 2.08053691 28.91946309] ; [  7.91946309 110.08053691],0
s1,1,0.957826,0.002796,[ 1 30] ; [  4 113],[ 1.0472973 29.9527027] ; [  3.9527027 113.0472973],0
