Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.6e-05,16.227462,[ 93 113] ; [24  4],[103. 103.] ; [14. 14.],1
n2,1,0.122112,2.390026,[48 18] ; [2 3],[46.47887324 19.52112676] ; [3.52112676 1.47887324],0
p2,1,0.123355,2.374199,[148  60] ; [23  4],[151.35319149  56.64680851] ; [19.64680851  7.35319149],0
v1,1,0.12635,2.336788,[ 97 108] ; [17 10],[100.73275862 104.26724138] ; [13.26724138 13.73275862],0
r4,1,0.170564,1.877979,[155  55] ; [24  4],[157.94117647  52.05882353] ; [21.05882353  6.94117647],0
r2,1,0.17354,1.852092,[181  25] ; [22  6],[178.70940171  27.29059829] ; [24.29059829  3.70940171],0
d2,1,0.181402,1.786102,[ 91 117] ; [16 12],[ 94.30508475 113.69491525] ; [12.69491525 15.30508475],0
d5,1,0.183255,1.771028,[138  71] ; [22  6],[141.09704641  67.90295359] ; [18.90295359  9.09704641],0
p10,1,0.183269,1.770912,[136  70] ; [22  6],[139.09401709  66.90598291] ; [18.90598291  9.09401709],0
d3,1,0.1894,1.722275,[ 78 132] ; [14 14],[ 81.17647059 128.82352941] ; [10.82352941 17.17647059],0
p11,1,0.231987,1.428635,[150  60] ; [23  5],[152.64705882  57.35294118] ; [20.35294118  7.64705882],0
r3,1,0.273152,1.200847,[179  31] ; [26  2],[180.88235294  29.11764706] ; [24.11764706  3.88235294],0
a6,1,0.289279,1.122975,[ 83 127] ; [14 14],[ 85.58823529 124.41176471] ; [11.41176471 16.58823529],0
s8,1,0.298523,1.08078,[ 83 126] ; [14 14],[ 85.54008439 123.45991561] ; [11.45991561 16.54008439],0
a1,1,0.306449,1.045919,[ 12 198] ; [ 3 25],[ 13.23529412 196.76470588] ; [ 1.76470588 26.23529412],0
b4,1,0.340396,0.908939,[115  95] ; [18 10],[117.35294118  92.64705882] ; [15.64705882 12.35294118],0
n1,1,0.34347,0.897436,[25 40] ; [3 2],[26. 39.] ; [2. 3.],0
b1,1,0.343607,0.896929,[100 110] ; [16 12],[102.35294118 107.64705882] ; [13.64705882 14.35294118],0
s3,1,0.354653,0.856738,[ 99 108] ; [16 12],[101.29787234 105.70212766] ; [13.70212766 14.29787234],0
a5,1,0.401047,0.705185,[133  77] ; [20  8],[135.  75.] ; [18. 10.],0
s2,1,0.496643,0.462103,[ 83 126] ; [13 15],[ 84.65822785 124.34177215] ; [11.34177215 16.65822785],0
r1,1,0.547664,0.361519,[138  72] ; [20  8],[139.41176471  70.58823529] ; [18.58823529  9.41176471],0
a3,1,0.569219,0.323992,[138  71] ; [20  8],[139.33333333  69.66666667] ; [18.66666667  9.33333333],0
d4,1,0.635065,0.225255,[147  61] ; [21  7],[148.06779661  59.93220339] ; [19.93220339  8.06779661],0
b5,1,0.652907,0.202255,[107 103] ; [13 15],[105.88235294 104.11764706] ; [14.11764706 13.88235294],0
b2,1,0.674286,0.17663,[61 74] ; [11 11],[61.91082803 73.08917197] ; [10.08917197 11.91082803],0
b3,1,0.674286,0.17663,[61 74] ; [11 11],[61.91082803 73.08917197] ; [10.08917197 11.91082803],0
a8,1,0.690803,0.158217,[ 24 174] ; [ 4 23],[ 24.64 173.36] ; [ 3.36 23.64],0
u2,1,0.732259,0.117048,[31 40] ; [4 4],[31.4556962 39.5443038] ; [3.5443038 4.4556962],0
a4,1,0.802557,0.06252,[ 84 124] ; [12 16],[ 84.61016949 123.38983051] ; [11.38983051 16.61016949],0
v4,1,0.847811,0.03683,[181  27] ; [24  4],[180.6779661  27.3220339] ; [24.3220339  3.6779661],0
u1,1,0.859538,0.031316,[  9 201] ; [ 1 27],[  8.82352941 201.17647059] ; [ 1.17647059 26.82352941],0
a2,1,0.861348,0.030505,[ 17 193] ; [ 2 26],[ 16.76470588 193.23529412] ; [ 2.23529412 25.76470588],0
v2,1,0.862865,0.029835,[ 97 104] ; [14 14],[ 97.4279476 103.5720524] ; [13.5720524 14.4279476],0
n3,1,0.876128,0.024298,[40 23] ; [3 2],[39.83823529 23.16176471] ; [3.16176471 1.83823529],0
s1,1,0.954895,0.003199,[  7 201] ; [ 1 27],[  7.05084746 200.94915254] ; [ 0.94915254 27.05084746],0
