Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.002284,9.306394,[11  5] ; [ 4 17],[6.48648649 9.51351351] ; [ 8.51351351 12.48648649],0
a8,1,0.402784,0.7,[ 3 12] ; [ 2 18],[ 2.14285714 12.85714286] ; [ 2.85714286 17.14285714],0
d1,1,0.409727,0.679592,[ 4 12] ; [ 3 18],[ 3.02702703 12.97297297] ; [ 3.97297297 17.02702703],0
d3,1,0.419391,0.652021,[9 7] ; [ 9 12],[7.78378378 8.21621622] ; [10.21621622 10.78378378],0
p5,1,0.451259,0.567488,[ 4 12] ; [ 3 17],[ 3.11111111 12.88888889] ; [ 3.88888889 16.11111111],0
n4,1,0.468981,0.524376,[8 8] ; [13  8],[9.08108108 6.91891892] ; [11.91891892  9.08108108],0
p11,1,0.490298,0.475872,[13  3] ; [15  6],[12.10810811  3.89189189] ; [15.89189189  5.10810811],0
n5,1,0.517471,0.418931,[9 7] ; [14  7],[9.94594595 6.05405405] ; [13.05405405  7.94594595],0
d2,1,0.565449,0.330357,[ 6 10] ; [ 6 15],[ 5.18918919 10.81081081] ; [ 6.81081081 14.18918919],0
p4,1,0.565449,0.330357,[10  6] ; [15  6],[10.81081081  5.18918919] ; [14.18918919  6.81081081],0
p9,1,0.582716,0.301865,[12  4] ; [14  7],[11.24324324  4.75675676] ; [14.75675676  6.24324324],0
a3,1,0.602802,0.27079,[9 7] ; [10 11],[8.21621622 7.78378378] ; [10.78378378 10.21621622],0
p8,1,0.650147,0.205714,[10  6] ; [11  9],[9.33333333 6.66666667] ; [11.66666667  8.33333333],0
s5,1,0.663033,0.18986,[ 4 12] ; [ 4 17],[ 3.45945946 12.54054054] ; [ 4.54054054 16.45945946],0
b1,1,0.665671,0.186708,[11  5] ; [13  8],[10.37837838  5.62162162] ; [13.62162162  7.37837838],0
p2,1,0.711107,0.137174,[13  3] ; [16  5],[12.54054054  3.45945946] ; [16.45945946  4.54054054],0
s1,1,0.717778,0.130631,[ 1 15] ; [ 2 19],[ 1.2972973 14.7027027] ; [ 1.7027027 19.2972973],0
v1,1,0.728532,0.120464,[7 9] ; [ 8 13],[6.48648649 9.51351351] ; [ 8.51351351 12.48648649],0
n2,1,0.732678,0.116667,[2 2] ; [6 4],[2.28571429 1.71428571] ; [5.71428571 4.28571429],0
p12,1,0.77271,0.083424,[ 2 14] ; [ 2 19],[ 1.72972973 14.27027027] ; [ 2.27027027 18.72972973],0
s6,1,0.815019,0.054736,[9 7] ; [11 10],[8.64864865 7.35135135] ; [11.35135135  9.64864865],0
n6,1,0.885855,0.020607,[8 8] ; [11 10],[8.21621622 7.78378378] ; [10.78378378 10.21621622],0
v4,1,0.893314,0.017986,[11  5] ; [14  7],[10.81081081  5.18918919] ; [14.18918919  6.81081081],0
