Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.3e-05,17.228769,[228  70] ; [17 21],[217.29166667  80.70833333] ; [27.70833333 10.29166667],1
p3,1,0.622726,0.242054,[178 129] ; [21 18],[176.56936416 130.43063584] ; [22.43063584 16.56936416],0
p12,1,0.664518,0.188082,[ 38 269] ; [ 4 36],[ 37.15850144 269.84149856] ; [ 4.84149856 35.15850144],0
n1,1,0.705717,0.142593,[28 38] ; [4 7],[27.42857143 38.57142857] ; [4.57142857 6.42857143],0
d3,1,0.738146,0.111763,[224  82] ; [29 12],[223.10662824  82.89337176] ; [29.89337176 11.10662824],0
v2,1,0.786704,0.07322,[184 109] ; [26 14],[184.77477477 108.22522523] ; [25.22522523 14.77477477],0
p11,1,0.862387,0.030046,[244  64] ; [32  9],[243.57593123  64.42406877] ; [32.42406877  8.57593123],0
p2,1,0.875622,0.024499,[258  49] ; [34  6],[258.34005764  48.65994236] ; [33.65994236  6.34005764],0
n3,1,0.92839,0.008077,[50 16] ; [10  3],[50.12658228 15.87341772] ; [9.87341772 3.12658228],0
a7,1,0.942254,0.005247,[227  81] ; [30 11],[226.80802292  81.19197708] ; [30.19197708 10.80802292],0
n5,1,0.963706,0.002071,[239  66] ; [32  9],[238.88728324  66.11271676] ; [32.11271676  8.88728324],0
a8,1,0.971901,0.001241,[ 44 238] ; [ 6 33],[ 43.92523364 238.07476636] ; [ 6.07476636 32.92523364],0
