Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,38.782937,[195  84] ; [ 72 106],[163.00437637 115.99562363] ; [103.99562363  74.00437637],1
d4,1,0.081243,3.039858,[244  39] ; [145  36],[237.25646552  45.74353448] ; [151.74353448  29.25646552],0
p11,1,0.083846,2.98873,[242  42] ; [143  38],[235.13978495  48.86021505] ; [149.86021505  31.13978495],0
n4,1,0.088351,2.904162,[249  34] ; [149  32],[242.74568966  40.25431034] ; [155.25431034  25.74568966],0
b5,1,0.093513,2.812828,[173 111] ; [96 85],[164.29247312 119.70752688] ; [104.70752688  76.29247312],0
n2,1,0.147991,2.092835,[31  8] ; [28 15],[28.06097561 10.93902439] ; [30.93902439 12.06097561],0
a7,1,0.148818,2.084324,[220  63] ; [130  51],[213.46982759  69.53017241] ; [136.53017241  44.46982759],0
s1,1,0.156699,2.005795,[  7 273] ; [  9 172],[  9.71800434 270.28199566] ; [  6.28199566 174.71800434],0
d2,1,0.160836,1.966345,[158 125] ; [89 92],[150.6487069 132.3512931] ; [96.3512931 84.6487069],0
d3,1,0.184702,1.759376,[218  66] ; [129  52],[211.9311828  72.0688172] ; [135.0688172  45.9311828],0
s4,1,0.184794,1.758642,[ 46 234] ; [ 38 140],[ 51.35371179 228.64628821] ; [ 32.64628821 145.35371179],0
a3,1,0.194295,1.68475,[214  69] ; [127  54],[207.98060345  75.01939655] ; [133.01939655  47.98060345],0
a8,1,0.195194,1.677972,[ 40 212] ; [ 19 148],[ 35.48448687 216.51551313] ; [ 23.51551313 143.48448687],0
s5,1,0.201119,1.634231,[116 156] ; [ 64 111],[109.53020134 162.46979866] ; [ 70.46979866 104.53020134],0
p12,1,0.244478,1.354584,[ 33 250] ; [ 15 166],[ 29.27586207 253.72413793] ; [ 18.72413793 162.27586207],0
p6,1,0.248138,1.333756,[150 130] ; [87 94],[143.94793926 136.05206074] ; [93.05206074 87.94793926],0
a4,1,0.256153,1.289428,[143 139] ; [82 99],[137.04103672 144.95896328] ; [87.95896328 93.04103672],0
n1,1,0.262394,1.256081,[18 21] ; [15 29],[15.5060241 23.4939759] ; [17.4939759 26.5060241],0
a6,1,0.270969,1.211836,[199  85] ; [118  63],[193.60860215  90.39139785] ; [123.39139785  57.60860215],0
s2,1,0.338561,0.915874,[163 116] ; [97 83],[158.03921569 120.96078431] ; [101.96078431  78.03921569],0
s7,1,0.374141,0.789863,[159 107] ; [96 77],[154.51025057 111.48974943] ; [100.48974943  72.51025057],0
p2,1,0.46495,0.533953,[259  24] ; [162  19],[256.7737069  26.2262931] ; [164.2262931  16.7737069],0
s6,1,0.511021,0.431976,[208  69] ; [128  49],[205.00440529  71.99559471] ; [130.99559471  46.00440529],0
p3,1,0.518148,0.417578,[199  85] ; [121  59],[195.86206897  88.13793103] ; [124.13793103  55.86206897],0
u2,1,0.528026,0.398189,[35 35] ; [29 23],[36.72131148 33.27868852] ; [27.27868852 24.72131148],0
s3,1,0.683851,0.165823,[162 118] ; [107  72],[164.09586057 115.90413943] ; [104.90413943  74.09586057],0
n3,1,0.687466,0.161842,[27 11] ; [33 11],[27.80487805 10.19512195] ; [32.19512195 11.80487805],0
b2,1,0.71872,0.129722,[ 76 120] ; [37 64],[ 74.57239057 121.42760943] ; [38.42760943 62.57239057],0
b3,1,0.71872,0.129722,[ 76 120] ; [37 64],[ 74.57239057 121.42760943] ; [38.42760943 62.57239057],0
b4,1,0.749185,0.102217,[169 115] ; [105  76],[167.34623656 116.65376344] ; [106.65376344  74.34623656],0
b1,1,0.802741,0.062401,[105 179] ; [ 69 112],[106.27096774 177.72903226] ; [ 67.72903226 113.27096774],0
v4,1,0.837207,0.042217,[274  10] ; [173   7],[273.59482759  10.40517241] ; [173.40517241   6.59482759],0
p1,1,0.879069,0.023149,[ 30 253] ; [ 20 161],[ 30.49568966 252.50431034] ; [ 19.50431034 161.49568966],0
a1,1,0.909749,0.012849,[ 15 269] ; [ 10 171],[ 15.2688172 268.7311828] ; [  9.7311828 171.2688172],0
