Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,50.734537,[  9 100] ; [43 34],[30.47311828 78.52688172] ; [21.52688172 55.47311828],1
p8,1,0.025397,4.996624,[26 82] ; [30 46],[32.86956522 75.13043478] ; [23.13043478 52.86956522],0
n5,1,0.028082,4.823001,[51 58] ; [48 28],[58.32972973 50.67027027] ; [40.67027027 35.32972973],0
v2,1,0.041827,4.142211,[39 67] ; [39 36],[45.67955801 60.32044199] ; [32.32044199 42.67955801],0
a2,1,0.05108,3.805655,[16 94] ; [20 57],[21.17647059 88.82352941] ; [14.82352941 62.17647059],0
n1,1,0.052844,3.748861,[14 32] ; [13 11],[17.74285714 28.25714286] ; [ 9.25714286 14.74285714],0
a5,1,0.056899,3.625555,[59 51] ; [52 25],[65.29411765 44.70588235] ; [45.70588235 31.29411765],0
a7,1,0.058969,3.566145,[58 50] ; [52 25],[64.21621622 43.78378378] ; [45.78378378 31.21621622],0
a8,1,0.061555,3.494979,[10 91] ; [14 56],[14.1754386 86.8245614] ; [ 9.8245614 60.1754386],0
u4,1,0.073778,3.196907,[  1 109] ; [ 4 73],[  2.94117647 107.05882353] ; [ 2.05882353 74.94117647],0
n6,1,0.088948,2.893307,[62 46] ; [53 23],[67.5 40.5] ; [47.5 28.5],0
n4,1,0.110671,2.54462,[65 44] ; [54 22],[70.11351351 38.88648649] ; [48.88648649 27.11351351],0
d3,1,0.111124,2.538159,[58 52] ; [49 27],[63.27956989 46.72043011] ; [43.72043011 32.27956989],0
b5,1,0.123357,2.374175,[62 48] ; [52 25],[67.05882353 42.94117647] ; [46.94117647 30.05882353],0
p6,1,0.189437,1.721994,[20 85] ; [21 56],[23.65384615 81.34615385] ; [17.34615385 59.65384615],0
p2,1,0.214672,1.539638,[60 50] ; [49 28],[64.11764706 45.88235294] ; [44.88235294 32.11764706],0
u2,1,0.292369,1.108681,[18 26] ; [16 14],[20.21621622 23.78378378] ; [13.78378378 16.21621622],0
d2,1,0.397294,0.716501,[50 58] ; [40 36],[52.82608696 55.17391304] ; [37.17391304 38.82608696],0
p7,1,0.50294,0.448726,[44 65] ; [34 41],[46.20652174 62.79347826] ; [31.79347826 43.20652174],0
a6,1,0.590987,0.288805,[68 42] ; [44 32],[66.23655914 43.76344086] ; [45.76344086 30.23655914],0
a1,1,0.665926,0.186404,[  9 101] ; [ 5 72],[  8.23529412 101.76470588] ; [ 5.76470588 71.23529412],0
n2,1,0.681985,0.1679,[27 20] ; [15  9],[27.8028169 19.1971831] ; [14.1971831  9.8028169],0
b4,1,0.695431,0.153268,[64 46] ; [47 30],[65.29411765 44.70588235] ; [45.70588235 31.29411765],0
n3,1,0.703602,0.144752,[26 19] ; [15  9],[26.73913043 18.26086957] ; [14.26086957  9.73913043],0
a4,1,0.717381,0.131016,[43 66] ; [32 44],[44.18918919 64.81081081] ; [30.81081081 45.18918919],0
p12,1,0.724005,0.124688,[  2 107] ; [ 2 75],[  2.34408602 106.65591398] ; [ 1.65591398 75.34408602],0
b1,1,0.779563,0.078337,[52 58] ; [38 39],[52.94117647 57.05882353] ; [37.05882353 39.94117647],0
p1,1,0.842185,0.039641,[  8 101] ; [ 5 71],[  7.65945946 101.34054054] ; [ 5.34054054 70.65945946],0
b2,1,0.870928,0.0264,[23 47] ; [17 37],[22.58064516 47.41935484] ; [17.41935484 36.58064516],0
b3,1,0.870928,0.0264,[23 47] ; [17 37],[22.58064516 47.41935484] ; [17.41935484 36.58064516],0
p11,1,0.888742,0.019571,[54 56] ; [37 40],[53.52941176 56.47058824] ; [37.47058824 39.52941176],0
a3,1,0.894383,0.017625,[65 43] ; [45 31],[64.56521739 43.43478261] ; [45.43478261 30.56521739],0
s1,1,0.989502,0.000173,[  7 100] ; [ 5 72],[  6.97826087 100.02173913] ; [ 5.02173913 71.97826087],0
