Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,7e-06,20.230541,[ 1 33] ; [21 21],[ 9.84210526 24.15789474] ; [12.15789474 29.84210526],1
r4,1,0.105335,2.622854,[20 14] ; [32 10],[23.26315789 10.73684211] ; [28.73684211 13.26315789],0
p3,1,0.148252,2.090145,[ 7 27] ; [15 27],[ 9.84210526 24.15789474] ; [12.15789474 29.84210526],0
a3,1,0.155451,2.017925,[15 18] ; [26 16],[18.04 14.96] ; [22.96 19.04],0
s2,1,0.196501,1.668189,[10 24] ; [18 23],[12.69333333 21.30666667] ; [15.30666667 25.69333333],0
n6,1,0.209764,1.573052,[17 17] ; [27 15],[19.68421053 14.31578947] ; [24.31578947 17.68421053],0
p2,1,0.21863,1.513339,[21 13] ; [20 22],[18.34210526 15.65789474] ; [22.65789474 19.34210526],0
b2,1,0.230204,1.439601,[ 3 14] ; [ 8 15],[ 4.675 12.325] ; [ 6.325 16.675],0
b3,1,0.230204,1.439601,[ 3 14] ; [ 8 15],[ 4.675 12.325] ; [ 6.325 16.675],0
p8,1,0.283497,1.150248,[ 9 25] ; [16 26],[11.18421053 22.81578947] ; [13.81578947 28.18421053],0
r3,1,0.301318,1.06835,[26  8] ; [36  6],[27.73684211  6.26315789] ; [34.26315789  7.73684211],0
b5,1,0.3307,0.946156,[20 14] ; [20 22],[17.89473684 16.10526316] ; [22.10526316 19.89473684],0
u3,1,0.370682,0.801376,[ 9 10] ; [10  6],[10.31428571  8.68571429] ; [8.68571429 7.31428571],0
s1,1,0.414707,0.665266,[ 1 33] ; [ 3 39],[ 1.78947368 32.21052632] ; [ 2.21052632 39.78947368],0
a2,1,0.414707,0.665266,[ 1 33] ; [ 3 39],[ 1.78947368 32.21052632] ; [ 2.21052632 39.78947368],0
r1,1,0.534482,0.385864,[17 17] ; [24 18],[18.34210526 15.65789474] ; [22.65789474 19.34210526],0
n3,1,0.548585,0.359859,[9 4] ; [13  9],[8.17142857 4.82857143] ; [13.82857143  8.17142857],0
p1,1,0.558307,0.342644,[ 2 32] ; [ 4 38],[ 2.68421053 31.31578947] ; [ 3.31578947 38.68421053],0
v1,1,0.568811,0.324675,[12 21] ; [18 24],[13.2 19.8] ; [16.8 25.2],0
u2,1,0.600472,0.274284,[ 9 10] ; [9 7],[9.77142857 9.22857143] ; [8.22857143 7.77142857],0
p7,1,0.626986,0.23617,[17 16] ; [24 18],[18.04 14.96] ; [22.96 19.04],0
a6,1,0.643788,0.213822,[12 22] ; [17 25],[12.97368421 21.02631579] ; [16.02631579 25.97368421],0
b4,1,0.714146,0.134171,[18 16] ; [24 18],[18.78947368 15.21052632] ; [23.21052632 18.78947368],0
b1,1,0.798669,0.065061,[16 18] ; [21 21],[16.55263158 17.44736842] ; [20.44736842 21.55263158],0
p11,1,0.801264,0.063359,[22 12] ; [26 16],[21.47368421 12.52631579] ; [26.52631579 15.47368421],0
n5,1,0.864962,0.028921,[14 19] ; [17 25],[13.64 19.36] ; [17.36 24.64],0
p5,1,0.893105,0.018057,[ 1 33] ; [ 1 40],[ 0.90666667 33.09333333] ; [ 1.09333333 39.90666667],0
s3,1,0.912222,0.012152,[15 19] ; [18 24],[14.76315789 19.23684211] ; [18.23684211 23.76315789],0
a1,1,0.916399,0.011019,[ 3 31] ; [ 4 38],[ 3.13157895 30.86842105] ; [ 3.86842105 38.13157895],0
p9,1,0.918181,0.010553,[20 14] ; [24 16],[20.21621622 13.78378378] ; [23.78378378 16.21621622],0
n2,1,0.926113,0.0086,[10  3] ; [18  5],[10.11111111  2.88888889] ; [17.88888889  5.11111111],0
v3,1,0.935552,0.006539,[ 5 29] ; [ 6 33],[ 5.12328767 28.87671233] ; [ 5.87671233 33.12328767],0
