Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,96.586235,[154   3] ; [70 74],[116.8372093  40.1627907] ; [107.1627907  36.8372093],1
p10,1,0.020398,5.377482,[119  36] ; [93 51],[109.89966555  45.10033445] ; [102.10033445  41.89966555],0
s4,1,0.031365,4.632878,[  7 150] ; [ 16 129],[ 11.95695364 145.04304636] ; [ 11.04304636 133.95695364],0
p9,1,0.035695,4.411631,[122  32] ; [98 45],[114.07407407  39.92592593] ; [105.92592593  37.07407407],0
v1,1,0.041174,4.168857,[77 79] ; [53 88],[68.28282828 87.71717172] ; [61.71717172 79.28282828],0
s5,1,0.043177,4.088474,[ 25 128] ; [ 12 129],[ 19.25510204 133.74489796] ; [ 17.74489796 123.25510204],0
s1,1,0.046171,3.97536,[  1 153] ; [  6 139],[  3.60535117 150.39464883] ; [  3.39464883 141.60535117],0
b1,1,0.048862,3.880079,[ 53 104] ; [65 80],[61.34437086 95.65562914] ; [56.65562914 88.34437086],0
n5,1,0.065568,3.390626,[109  47] ; [86 58],[101.4  54.6] ; [93.6 50.4],0
n3,1,0.07135,3.251689,[25 15] ; [30  7],[28.57142857 11.42857143] ; [26.42857143 10.57142857],0
n2,1,0.089434,2.884528,[23 16] ; [30  9],[26.5 12.5] ; [26.5 12.5],0
r2,1,0.094878,2.789595,[146   8] ; [130  15],[142.15384615  11.84615385] ; [133.84615385  11.15384615],0
b5,1,0.103558,2.649882,[84 73] ; [91 54],[90.97682119 66.02317881] ; [84.02317881 60.97682119],0
r3,1,0.106946,2.598774,[146  10] ; [128  17],[142.00664452  13.99335548] ; [131.99335548  13.00664452],0
p7,1,0.136329,2.218912,[93 62] ; [73 69],[86.63299663 68.36700337] ; [79.36700337 62.63299663],0
p4,1,0.168947,1.892259,[77 76] ; [61 83],[71.09090909 81.90909091] ; [66.90909091 77.09090909],0
b2,1,0.215866,1.531641,[41 52] ; [29 54],[36.98863636 56.01136364] ; [33.01136364 49.98863636],0
b3,1,0.215866,1.531641,[41 52] ; [29 54],[36.98863636 56.01136364] ; [33.01136364 49.98863636],0
r4,1,0.215916,1.531311,[135  22] ; [117  28],[131.00662252  25.99337748] ; [120.99337748  24.00662252],0
a1,1,0.25547,1.293139,[  3 154] ; [  6 139],[  4.67880795 152.32119205] ; [  4.32119205 140.67880795],0
n1,1,0.311674,1.023569,[ 9 29] ; [13 25],[11. 27.] ; [11. 27.],0
p11,1,0.352743,0.863566,[122  35] ; [106  39],[118.52980132  38.47019868] ; [109.47019868  35.52980132],0
s3,1,0.366377,0.815917,[ 36 119] ; [ 40 104],[ 39.39799331 115.60200669] ; [ 36.60200669 107.39799331],0
p5,1,0.380371,0.769504,[ 10 145] ; [  6 138],[  8.29431438 146.70568562] ; [  7.70568562 136.29431438],0
p1,1,0.385809,0.752109,[ 10 147] ; [ 13 131],[ 11.99667774 145.00332226] ; [ 11.00332226 132.99667774],0
b4,1,0.386962,0.748468,[89 68] ; [75 70],[85.25827815 71.74172185] ; [78.74172185 66.25827815],0
a8,1,0.491954,0.472249,[ 12 128] ; [ 15 121],[ 13.69565217 126.30434783] ; [ 13.30434783 122.69565217],0
p6,1,0.507565,0.439084,[ 44 107] ; [ 37 107],[ 41.46101695 109.53898305] ; [ 39.53898305 104.46101695],0
p12,1,0.547291,0.362193,[  5 150] ; [  3 140],[  4.16107383 150.83892617] ; [  3.83892617 139.16107383],0
u3,1,0.555899,0.346855,[21 17] ; [30 31],[19.57575758 18.42424242] ; [31.42424242 29.57575758],0
p2,1,0.558081,0.343038,[123  32] ; [111  34],[120.9  34.1] ; [113.1  31.9],0
p3,1,0.57765,0.310049,[65 88] ; [57 88],[62.63758389 90.36241611] ; [59.36241611 85.63758389],0
s7,1,0.591409,0.28815,[ 36 113] ; [ 29 106],[ 34.10211268 114.89788732] ; [ 30.89788732 104.10211268],0
u2,1,0.756031,0.096532,[20 17] ; [31 30],[19.25510204 17.74489796] ; [31.74489796 29.25510204],0
s2,1,0.992219,9.5e-05,[ 30 125] ; [ 28 117],[ 29.96666667 125.03333333] ; [ 28.03333333 116.96666667],0
