Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,23.898235,[ 22 133] ; [24 27],[ 34.61165049 120.38834951] ; [11.38834951 39.61165049],1
b2,1,0.187083,1.740441,[38 54] ; [21 18],[41.4351145 50.5648855] ; [17.5648855 21.4351145],0
p7,1,0.193675,1.689441,[80 73] ; [32 19],[84. 69.] ; [28. 23.],0
a7,1,0.200276,1.640362,[114  40] ; [33 18],[110.42926829  43.57073171] ; [36.57073171 14.42926829],0
d5,1,0.206259,1.597492,[128  27] ; [38 13],[124.90291262  30.09708738] ; [41.09708738  9.90291262],0
a4,1,0.240649,1.37679,[76 78] ; [30 21],[79.62926829 74.37073171] ; [26.37073171 24.62926829],0
n3,1,0.269005,1.221815,[24 16] ; [10  3],[25.66037736 14.33962264] ; [8.33962264 4.66037736],0
v2,1,0.285554,1.140466,[80 70] ; [31 19],[83.25 66.75] ; [27.75 22.25],0
p1,1,0.341814,0.903617,[ 16 139] ; [ 3 48],[ 14.2961165 140.7038835] ; [ 4.7038835 46.2961165],0
p12,1,0.383519,0.75939,[  5 149] ; [ 3 47],[  6.03921569 147.96078431] ; [ 1.96078431 48.03921569],0
n4,1,0.391557,0.7341,[118  36] ; [42  9],[120.19512195  33.80487805] ; [39.80487805 11.19512195],0
u2,1,0.449177,0.572727,[18 18] ; [2 4],[17.14285714 18.85714286] ; [2.85714286 3.14285714],0
d1,1,0.467373,0.52818,[97 58] ; [29 22],[94.80582524 60.19417476] ; [31.19417476 19.80582524],0
b5,1,0.469915,0.522176,[85 70] ; [25 26],[82.76699029 72.23300971] ; [27.23300971 23.76699029],0
s5,1,0.494561,0.466587,[ 19 133] ; [ 8 41],[ 20.41791045 131.58208955] ; [ 6.58208955 42.41791045],0
p11,1,0.543027,0.369959,[115  40] ; [40 11],[116.62621359  38.37378641] ; [38.37378641 12.62621359],0
b1,1,0.559912,0.339857,[68 87] ; [20 31],[66.21359223 88.78640777] ; [21.78640777 29.21359223],0
d3,1,0.58438,0.299207,[103  52] ; [36 15],[104.58737864  50.41262136] ; [34.41262136 16.58737864],0
n2,1,0.586134,0.296422,[26 15] ; [10  4],[26.83636364 14.16363636] ; [9.16363636 4.83636364],0
a6,1,0.607372,0.26402,[118  37] ; [37 14],[116.62621359  38.37378641] ; [38.37378641 12.62621359],0
u3,1,0.648081,0.208328,[21 16] ; [4 2],[21.51162791 15.48837209] ; [3.48837209 2.51162791],0
r2,1,0.673508,0.177526,[139  12] ; [46  3],[139.675  11.325] ; [45.325  3.675],0
p9,1,0.695817,0.15286,[112  41] ; [38 12],[113.05418719  39.94581281] ; [36.94581281 13.05418719],0
d4,1,0.723961,0.124729,[128  27] ; [41 10],[127.16019417  27.83980583] ; [41.83980583  9.16019417],0
a2,1,0.745581,0.105282,[ 39 116] ; [14 37],[ 39.87864078 115.12135922] ; [13.12135922 37.87864078],0
n5,1,0.784641,0.07468,[111  42] ; [38 13],[111.75  41.25] ; [37.25 13.75],0
p8,1,0.801697,0.063077,[68 83] ; [24 27],[68.77227723 82.22772277] ; [23.22772277 27.77227723],0
s1,1,0.836766,0.042449,[  5 146] ; [ 2 49],[  5.23267327 145.76732673] ; [ 1.76732673 49.23267327],0
d2,1,0.870659,0.026511,[85 68] ; [29 22],[85.5 67.5] ; [28.5 22.5],0
v1,1,0.877202,0.023875,[73 80] ; [24 25],[73.47029703 79.52970297] ; [23.52970297 25.47029703],0
v4,1,0.937216,0.006205,[138  16] ; [45  5],[138.14705882  15.85294118] ; [44.85294118  5.14705882],0
a1,1,0.983984,0.000403,[  9 146] ; [ 3 48],[  9.02912621 145.97087379] ; [ 2.97087379 48.02912621],0
r1,1,1.0,0.0,[117  36] ; [39 12],[117.  36.] ; [39. 12.],0
r3,1,1.0,0.0,[135  18] ; [45  6],[135.  18.] ; [45.  6.],0
