Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.4e-05,16.691884,[50 18] ; [ 3 13],[42.9047619 25.0952381] ; [10.0952381  5.9047619],1
a2,1,0.521075,0.411765,[ 8 60] ; [ 1 15],[ 7.28571429 60.71428571] ; [ 1.71428571 14.28571429],0
s5,1,0.522158,0.40963,[21 42] ; [ 4 12],[19.93670886 43.06329114] ; [ 5.06329114 10.93670886],0
d2,1,0.528264,0.39773,[24 44] ; [7 9],[25.0952381 42.9047619] ; [ 5.9047619 10.0952381],0
v2,1,0.546702,0.363258,[40 26] ; [11  5],[41.04878049 24.95121951] ; [9.95121951 6.04878049],0
n3,1,0.558185,0.342857,[10  6] ; [4 4],[9.33333333 6.66666667] ; [4.66666667 3.33333333],0
n1,1,0.562343,0.335664,[8 8] ; [3 5],[7.33333333 8.66666667] ; [3.66666667 4.33333333],0
p5,1,0.570593,0.321691,[ 9 59] ; [ 3 13],[ 9.71428571 58.28571429] ; [ 2.28571429 13.71428571],0
p7,1,0.627238,0.235824,[38 29] ; [8 8],[37.13253012 29.86746988] ; [8.86746988 7.13253012],0
p1,1,0.652171,0.203173,[ 6 62] ; [ 2 14],[ 6.47619048 61.52380952] ; [ 1.52380952 14.47619048],0
d4,1,0.680966,0.16904,[52 16] ; [13  3],[52.61904762 15.38095238] ; [12.38095238  3.61904762],0
d1,1,0.750207,0.101357,[31 37] ; [8 8],[31.57142857 36.42857143] ; [7.42857143 8.57142857],0
a4,1,0.780786,0.077448,[23 45] ; [ 6 10],[23.47619048 44.52380952] ; [ 5.52380952 10.47619048],0
d3,1,0.787496,0.072664,[40 28] ; [10  6],[40.47619048 27.52380952] ; [9.52380952 6.47619048],0
p11,1,0.812361,0.05635,[49 19] ; [12  4],[49.38095238 18.61904762] ; [11.61904762  4.38095238],0
a5,1,0.850981,0.035294,[40 28] ; [9 7],[39.66666667 28.33333333] ; [9.33333333 6.66666667],0
u2,1,0.944857,0.004784,[14 13] ; [2 2],[13.93548387 13.06451613] ; [2.06451613 1.93548387],0
p12,1,0.966284,0.001787,[ 4 63] ; [ 1 15],[ 4.03614458 62.96385542] ; [ 0.96385542 15.03614458],0
s4,1,0.97312,0.001135,[13 55] ; [ 3 13],[12.95238095 55.04761905] ; [ 3.04761905 12.95238095],0
