Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,5e-06,20.945934,[16 16] ; [88 12],[25.21212121  6.78787879] ; [78.78787879 21.21212121],1
p3,1,0.512339,0.429288,[21 11] ; [71 28],[22.47328244  9.52671756] ; [69.52671756 29.47328244],0
a1,1,0.520703,0.4125,[ 2 30] ; [10 90],[ 2.90909091 29.09090909] ; [ 9.09090909 90.90909091],0
p10,1,0.527597,0.399017,[31  1] ; [94  6],[30.3030303  1.6969697] ; [94.6969697  5.3030303],0
a6,1,0.546485,0.363652,[18 14] ; [61 37],[19.44615385 12.55384615] ; [59.55384615 38.44615385],0
a4,1,0.552983,0.352,[16 16] ; [56 44],[17.45454545 14.54545455] ; [54.54545455 45.45454545],0
p12,1,0.586998,0.295056,[ 4 27] ; [17 83],[ 4.96946565 26.03053435] ; [16.03053435 83.96946565],0
d1,1,0.641568,0.216698,[21 11] ; [70 30],[22.06060606  9.93939394] ; [68.93939394 31.06060606],0
s1,1,0.657619,0.196429,[ 1 31] ; [ 5 95],[ 1.45454545 30.54545455] ; [ 4.54545455 95.45454545],0
n3,1,0.661003,0.192308,[2 2] ; [16 10],[2.4 1.6] ; [15.6 10.4],0
p7,1,0.782284,0.076366,[29  3] ; [88 11],[28.58015267  3.41984733] ; [88.41984733 10.58015267],0
p9,1,0.783591,0.075429,[30  2] ; [95  5],[30.3030303  1.6969697] ; [94.6969697  5.3030303],0
s4,1,0.784979,0.07444,[ 9 22] ; [31 67],[ 9.6124031 21.3875969] ; [30.3875969 67.6124031],0
a5,1,0.820303,0.0516,[26  6] ; [83 17],[26.42424242  5.57575758] ; [82.57575758 17.42424242],0
r2,1,0.821454,0.050929,[31  1] ; [96  4],[30.78787879  1.21212121] ; [96.21212121  3.78787879],0
p2,1,0.829603,0.046316,[28  4] ; [86 14],[27.63636364  4.36363636] ; [86.36363636 13.63636364],0
p4,1,0.838763,0.041403,[27  5] ; [82 17],[26.6259542  5.3740458] ; [82.3740458 16.6259542],0
p1,1,0.857916,0.032051,[ 6 26] ; [20 79],[ 6.35114504 25.64885496] ; [19.64885496 79.35114504],0
d3,1,0.873786,0.025234,[25  7] ; [76 23],[24.67175573  7.32824427] ; [76.32824427 22.67175573],0
n5,1,0.923725,0.009167,[26  6] ; [82 18],[26.18181818  5.81818182] ; [81.81818182 18.18181818],0
v4,1,0.971359,0.001289,[31  1] ; [97  3],[31.03030303  0.96969697] ; [96.96969697  3.03030303],0
