Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4e-06,21.333139,[131   2] ; [52 13],[122.92424242  10.07575758] ; [60.07575758  4.92424242],1
s4,1,0.259653,1.270604,[ 15 117] ; [11 53],[ 17.51020408 114.48979592] ; [ 8.48979592 55.51020408],0
v3,1,0.263966,1.247837,[51 80] ; [18 41],[47.57368421 83.42631579] ; [21.42631579 37.57368421],0
p1,1,0.283365,1.150879,[  7 127] ; [ 6 59],[  8.75376884 125.24623116] ; [ 4.24623116 60.75376884],0
u3,1,0.32691,0.961098,[15 15] ; [8 4],[16.42857143 13.57142857] ; [6.57142857 5.42857143],0
a6,1,0.329671,0.950189,[104  29] ; [46 18],[101.26903553  31.73096447] ; [48.73096447 15.26903553],0
p3,1,0.356044,0.8518,[ 33 101] ; [12 52],[ 30.45454545 103.54545455] ; [14.54545455 49.45454545],0
a2,1,0.372178,0.796379,[41 93] ; [24 41],[43.76884422 90.23115578] ; [21.23115578 43.76884422],0
n5,1,0.416655,0.65973,[87 45] ; [39 26],[84.42639594 47.57360406] ; [41.57360406 23.42639594],0
d5,1,0.445083,0.583143,[132   2] ; [62  2],[131.29292929   2.70707071] ; [62.70707071  1.29292929],0
s3,1,0.451779,0.566186,[71 62] ; [31 34],[68.51515152 64.48484848] ; [33.48484848 31.51515152],0
b2,1,0.472395,0.516367,[30 41] ; [16 29],[28.15517241 42.84482759] ; [17.84482759 27.15517241],0
b3,1,0.472395,0.516367,[30 41] ; [16 29],[28.15517241 42.84482759] ; [17.84482759 27.15517241],0
p12,1,0.494501,0.466717,[  7 125] ; [ 2 62],[  6.06122449 125.93877551] ; [ 2.93877551 61.06122449],0
s8,1,0.504468,0.445525,[54 80] ; [23 42],[51.84924623 82.15075377] ; [25.15075377 39.84924623],0
u2,1,0.554113,0.35,[18 12] ; [6 6],[17.14285714 12.85714286] ; [6.85714286 5.14285714],0
a3,1,0.585659,0.297175,[104  29] ; [53 12],[105.45959596  27.54040404] ; [51.54040404 13.45959596],0
n4,1,0.667853,0.184124,[94 39] ; [44 21],[92.6969697 40.3030303] ; [45.3030303 19.6969697],0
u1,1,0.724437,0.124281,[ 26 108] ; [14 51],[ 26.93467337 107.06532663] ; [13.06532663 51.93467337],0
d3,1,0.872399,0.025796,[114  20] ; [55  9],[114.37373737  19.62626263] ; [54.62626263  9.37373737],0
b4,1,0.951722,0.003666,[81 53] ; [39 26],[80.8040201 53.1959799] ; [39.1959799 25.8040201],0
p5,1,0.957157,0.002886,[  4 130] ; [ 2 62],[  4.06060606 129.93939394] ; [ 1.93939394 62.06060606],0
d4,1,0.979799,0.000641,[130   2] ; [63  1],[129.97959184   2.02040816] ; [63.02040816  0.97959184],0
a7,1,0.9806,0.000591,[98 35] ; [48 17],[98.07070707 34.92929293] ; [47.92929293 17.07070707],0
a5,1,0.986748,0.000276,[105  29] ; [51 14],[105.04522613  28.95477387] ; [50.95477387 14.04522613],0
