Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000377,12.641975,[19 17] ; [89 19],[27.  9.] ; [81. 27.],1
a5,1,0.47633,0.507253,[18 20] ; [60 51],[19.89261745 18.10738255] ; [58.10738255 52.89261745],0
d1,1,0.485502,0.48648,[ 1 37] ; [  6 105],[ 1.7852349 36.2147651] ; [  5.2147651 105.7852349],0
d5,1,0.504515,0.445427,[15 22] ; [52 59],[16.75 20.25] ; [50.25 60.75],0
n2,1,0.512285,0.429396,[8 3] ; [23  5],[8.74358974 2.25641026] ; [22.25641026  5.74358974],0
s8,1,0.539349,0.376748,[15 23] ; [37 72],[13.44217687 24.55782313] ; [38.55782313 70.44217687],0
s4,1,0.560632,0.338612,[ 9 29] ; [21 88],[ 7.75510204 30.24489796] ; [22.24489796 86.75510204],0
p4,1,0.575739,0.313173,[21 17] ; [55 55],[19.51351351 18.48648649] ; [56.48648649 53.51351351],0
v3,1,0.618687,0.247718,[11 27] ; [36 72],[12.23287671 25.76712329] ; [34.76712329 73.23287671],0
s7,1,0.626185,0.23727,[16 20] ; [41 62],[14.76258993 21.23741007] ; [42.23741007 60.76258993],0
a3,1,0.635056,0.225266,[17 20] ; [56 55],[18.25 18.75] ; [54.75 56.25],0
u3,1,0.661737,0.191421,[ 8 13] ; [24 31],[ 8.84210526 12.15789474] ; [23.15789474 31.84210526],0
b5,1,0.684748,0.164829,[23 15] ; [63 48],[21.93288591 16.06711409] ; [64.06711409 46.93288591],0
p1,1,0.707428,0.14086,[ 4 34] ; [14 95],[ 4.65306122 33.34693878] ; [13.34693878 95.65306122],0
n1,1,0.710644,0.137634,[4 7] ; [12 16],[4.51282051 6.48717949] ; [11.48717949 16.51282051],0
v1,1,0.7276,0.121327,[16 22] ; [49 59],[16.91780822 21.08219178] ; [48.08219178 59.91780822],0
a7,1,0.769849,0.085599,[22 15] ; [69 42],[22.75 14.25] ; [68.25 42.75],0
p6,1,0.867753,0.027726,[11 26] ; [34 75],[11.40410959 25.59589041] ; [33.59589041 75.40410959],0
s5,1,0.912322,0.012124,[ 9 28] ; [27 80],[ 9.25 27.75] ; [26.75 80.25],0
s1,1,0.963107,0.00214,[ 2 35] ; [  6 101],[ 2.05555556 34.94444444] ; [  5.94444444 101.05555556],0
p7,1,0.99579,2.8e-05,[22 16] ; [62 45],[22.0137931 15.9862069] ; [61.9862069 45.0137931],0
