Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9.2e-05,15.297987,[13 16] ; [13 92],[ 5.62686567 23.37313433] ; [20.37313433 84.62686567],1
d3,1,0.280633,1.164021,[16 11] ; [50 55],[13.5 13.5] ; [52.5 52.5],0
s6,1,0.287207,1.13267,[14 14] ; [40 63],[11.54198473 16.45801527] ; [42.45801527 60.54198473],0
s5,1,0.32135,0.983442,[ 7 20] ; [18 85],[ 5.19230769 21.80769231] ; [19.80769231 83.19230769],0
u4,1,0.32648,0.96281,[ 1 28] ; [  1 104],[ 0.43283582 28.56716418] ; [  1.56716418 103.43283582],0
p10,1,0.370175,0.803076,[20  9] ; [61 41],[17.93129771 11.06870229] ; [63.06870229 38.93129771],0
p9,1,0.399661,0.709346,[22  7] ; [67 32],[20.1640625  8.8359375] ; [68.8359375 30.1640625],0
a7,1,0.48556,0.486351,[17 11] ; [56 49],[15.36842105 12.63157895] ; [57.63157895 47.36842105],0
a4,1,0.490076,0.476359,[10 19] ; [29 75],[ 8.5037594 20.4962406] ; [30.4962406 73.5037594],0
p5,1,0.49139,0.47348,[ 2 27] ; [ 4 99],[ 1.31818182 27.68181818] ; [ 4.68181818 98.31818182],0
v1,1,0.519197,0.415487,[ 9 19] ; [26 74],[ 7.65625 20.34375] ; [27.34375 72.65625],0
b5,1,0.528216,0.397822,[19 10] ; [62 43],[17.52985075 11.47014925] ; [63.47014925 41.52985075],0
s4,1,0.545215,0.36596,[ 7 22] ; [20 85],[ 5.84328358 23.15671642] ; [21.15671642 83.84328358],0
s2,1,0.575342,0.313826,[11 18] ; [34 71],[ 9.73880597 19.26119403] ; [35.26119403 69.73880597],0
a8,1,0.584742,0.298631,[ 2 25] ; [11 89],[ 2.76377953 24.23622047] ; [10.23622047 89.76377953],0
n1,1,0.632797,0.228287,[5 7] ; [14 27],[4.30188679 7.69811321] ; [14.69811321 26.30188679],0
p1,1,0.655982,0.198442,[ 2 27] ; [ 5 99],[ 1.52631579 27.47368421] ; [ 5.47368421 98.52631579],0
b1,1,0.700179,0.148285,[11 18] ; [44 61],[11.90298507 17.09701493] ; [43.09701493 61.90298507],0
d2,1,0.703997,0.144347,[12 17] ; [39 65],[11.12030075 17.87969925] ; [39.87969925 64.12030075],0
d4,1,0.721793,0.126781,[19 10] ; [65 40],[18.17910448 10.82089552] ; [65.82089552 39.17910448],0
a1,1,0.77116,0.084598,[ 2 27] ; [ 9 96],[ 2.38059701 26.61940299] ; [ 8.61940299 96.38059701],0
a6,1,0.789769,0.071081,[16 13] ; [55 50],[15.36567164 13.63432836] ; [55.63432836 49.36567164],0
u1,1,0.811986,0.05658,[ 2 27] ; [ 6 99],[ 1.73134328 27.26865672] ; [ 6.26865672 98.73134328],0
r3,1,0.842204,0.039631,[22  7] ; [77 27],[21.58646617  7.41353383] ; [77.41353383 26.58646617],0
b2,1,0.855672,0.033083,[ 6 11] ; [23 38],[ 6.32051282 10.67948718] ; [22.67948718 38.32051282],0
b3,1,0.855672,0.033083,[ 6 11] ; [23 38],[ 6.32051282 10.67948718] ; [22.67948718 38.32051282],0
n2,1,0.863298,0.029645,[9 4] ; [28 14],[8.74545455 4.25454545] ; [28.25454545 13.74545455],0
n5,1,0.865181,0.028826,[19 10] ; [67 38],[18.6119403 10.3880597] ; [67.3880597 37.6119403],0
n6,1,0.890639,0.018905,[20  9] ; [71 34],[19.69402985  9.30597015] ; [71.30597015 33.69402985],0
s3,1,0.890656,0.018899,[11 18] ; [38 66],[10.68421053 18.31578947] ; [38.31578947 65.68421053],0
n4,1,0.959497,0.002579,[17 12] ; [61 44],[16.88059701 12.11940299] ; [61.11940299 43.88059701],0
a3,1,0.972157,0.001218,[16 13] ; [57 47],[15.91729323 13.08270677] ; [57.08270677 46.91729323],0
