Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.1e-05,17.336114,[247 105] ; [87 82],[225.65834933 126.34165067] ; [108.34165067  60.65834933],1
d1,1,0.088628,2.899115,[236 118] ; [101  70],[227.23428571 126.76571429] ; [109.76571429  61.23428571],0
s8,1,0.093545,2.812288,[187 165] ; [77 93],[178.02298851 173.97701149] ; [85.97701149 84.02298851],0
d5,1,0.126864,2.330462,[305  48] ; [139  32],[299.10687023  53.89312977] ; [144.89312977  26.10687023],0
a3,1,0.164088,1.936143,[262  91] ; [117  54],[255.31870229  97.68129771] ; [123.68129771  47.31870229],0
b1,1,0.178342,1.811383,[148 206] ; [ 61 110],[140.92571429 213.07428571] ; [ 68.07428571 102.92571429],0
d2,1,0.196295,1.669725,[190 164] ; [81 89],[183.08015267 170.91984733] ; [87.91984733 82.08015267],0
a5,1,0.216524,1.527262,[278  76] ; [126  45],[272.41142857  81.58857143] ; [131.58857143  39.41142857],0
s3,1,0.232319,1.426604,[211 139] ; [92 76],[204.72972973 145.27027027] ; [98.27027027 69.72972973],0
a2,1,0.233106,1.421806,[ 98 256] ; [ 39 132],[ 92.37714286 261.62285714] ; [ 44.62285714 126.37714286],0
b5,1,0.234342,1.414311,[198 156] ; [105  66],[204.30857143 149.69142857] ; [98.69142857 72.30857143],0
r1,1,0.240495,1.377689,[297  56] ; [136  34],[292.2543021  60.7456979] ; [140.7456979  29.2543021],0
d4,1,0.243994,1.357367,[301  52] ; [139  32],[296.41221374  56.58778626] ; [143.58778626  27.41221374],0
v1,1,0.254101,1.300616,[210 133] ; [94 74],[204.05479452 138.94520548] ; [99.94520548 68.05479452],0
s1,1,0.256827,1.285782,[ 10 342] ; [  8 159],[ 12.20809249 339.79190751] ; [  5.79190751 161.20809249],0
s6,1,0.258807,1.275126,[260  87] ; [118  50],[254.69126214  92.30873786] ; [123.30873786  44.69126214],0
u4,1,0.291834,1.11114,[ 12 342] ; [  3 168],[ 10.11428571 343.88571429] ; [  4.88571429 166.11428571],0
a1,1,0.318753,0.994055,[ 22 332] ; [  7 164],[ 19.55428571 334.44571429] ; [  9.44571429 161.55428571],0
a6,1,0.393098,0.729337,[247 107] ; [113  58],[242.74285714 111.25714286] ; [117.25714286  53.74285714],0
s4,1,0.459652,0.546742,[ 65 284] ; [ 27 142],[ 61.98455598 287.01544402] ; [ 30.01544402 138.98455598],0
s2,1,0.461797,0.541536,[201 150] ; [91 78],[197.1 153.9] ; [94.9 74.1],0
a4,1,0.464838,0.534219,[174 179] ; [78 92],[170.08795411 182.91204589] ; [81.91204589 88.08795411],0
a7,1,0.484365,0.489019,[268  85] ; [125  46],[264.75  88.25] ; [128.25  42.75],0
b3,1,0.485079,0.487424,[ 91 136] ; [39 69],[ 88.08955224 138.91044776] ; [41.91044776 66.08955224],0
b2,1,0.485079,0.487424,[ 91 136] ; [39 69],[ 88.08955224 138.91044776] ; [41.91044776 66.08955224],0
n2,1,0.496621,0.46215,[41 17] ; [33 10],[42.4950495 15.5049505] ; [31.5049505 11.4950495],0
d3,1,0.584006,0.299803,[257  97] ; [128  43],[259.6  94.4] ; [125.4  45.6],0
b4,1,0.614257,0.254022,[209 145] ; [97 74],[206.33142857 147.66857143] ; [99.66857143 71.33142857],0
r2,1,0.701756,0.146652,[335  16] ; [160   9],[334.125  16.875] ; [160.875   8.125],0
n3,1,0.818397,0.052719,[43 15] ; [31 12],[42.4950495 15.5049505] ; [31.5049505 11.4950495],0
n1,1,0.851944,0.034834,[24 34] ; [17 26],[23.54455446 34.45544554] ; [17.45544554 25.54455446],0
a8,1,0.863067,0.029747,[ 41 277] ; [ 21 135],[ 41.59493671 276.40506329] ; [ 20.40506329 135.59493671],0
u3,1,0.868975,0.027212,[59 32] ; [33 19],[58.54545455 32.45454545] ; [33.45454545 18.54545455],0
u2,1,0.984321,0.000386,[55 37] ; [31 21],[54.94444444 37.05555556] ; [31.05555556 20.94444444],0
