Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.5e-05,18.701123,[44 70] ; [ 17 105],[29.46610169 84.53389831] ; [31.53389831 90.46610169],1
u2,1,0.443049,0.588373,[18 18] ; [32 23],[19.78021978 16.21978022] ; [30.21978022 24.78021978],0
s3,1,0.493053,0.469857,[57 61] ; [54 69],[54.34854772 63.65145228] ; [56.65145228 66.34854772],0
b4,1,0.511832,0.43032,[75 45] ; [73 52],[72.48979592 47.51020408] ; [75.51020408 49.48979592],0
a4,1,0.522218,0.40951,[46 74] ; [43 82],[43.59183673 76.40816327] ; [45.40816327 79.59183673],0
p1,1,0.561414,0.337262,[ 10 109] ; [  8 116],[  8.81481481 110.18518519] ; [  9.18518519 114.81481481],0
s5,1,0.568697,0.324868,[31 82] ; [29 91],[29.09871245 83.90128755] ; [30.90128755 89.09871245],0
p6,1,0.573178,0.317395,[32 84] ; [30 93],[30.09205021 85.90794979] ; [31.90794979 91.09205021],0
b5,1,0.591711,0.28768,[76 44] ; [75 50],[73.95918367 46.04081633] ; [77.04081633 47.95918367],0
p10,1,0.602342,0.271478,[73 46] ; [72 52],[71.00823045 47.99176955] ; [73.99176955 50.00823045],0
v4,1,0.617726,0.249077,[107  12] ; [109  15],[105.77777778  13.22222222] ; [110.22222222  13.77777778],0
s4,1,0.636627,0.22318,[23 97] ; [27 98],[24.48979592 95.51020408] ; [25.51020408 99.48979592],0
b2,1,0.642165,0.215921,[19 43] ; [20 54],[17.77941176 44.22058824] ; [21.22058824 52.77941176],0
b3,1,0.642165,0.215921,[19 43] ; [20 54],[17.77941176 44.22058824] ; [21.22058824 52.77941176],0
n3,1,0.680486,0.169579,[23  9] ; [29 14],[22.18666667  9.81333333] ; [29.81333333 13.18666667],0
a1,1,0.705539,0.142774,[  6 114] ; [  5 120],[  5.3877551 114.6122449] ; [  5.6122449 119.3877551],0
p8,1,0.721229,0.127319,[47 71] ; [47 78],[45.64609053 72.35390947] ; [48.35390947 76.64609053],0
p2,1,0.821087,0.051143,[87 33] ; [89 36],[86.20408163 33.79591837] ; [89.79591837 35.20408163],0
a8,1,0.899244,0.016032,[  7 103] ; [  8 110],[  7.23684211 102.76315789] ; [  7.76315789 110.23684211],0
p7,1,0.904367,0.014435,[61 58] ; [64 59],[61.46694215 57.53305785] ; [63.53305785 59.46694215],0
p3,1,0.914032,0.011654,[43 76] ; [46 79],[43.4057377 75.5942623] ; [45.5942623 79.4057377],0
n2,1,0.919798,0.010138,[20 12] ; [27 17],[19.78947368 12.21052632] ; [27.21052632 16.78947368],0
p4,1,0.946471,0.004508,[49 70] ; [52 73],[49.25819672 69.74180328] ; [51.74180328 73.25819672],0
n1,1,1.0,0.0,[ 9 24] ; [12 32],[ 9. 24.] ; [12. 32.],0
