Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3.7e-05,17.032065,[12 17] ; [58 12],[20.50505051  8.49494949] ; [49.49494949 20.50505051],1
s4,1,0.236827,1.399382,[ 7 22] ; [10 60],[ 4.97979798 24.02020202] ; [12.02020202 57.97979798],0
a1,1,0.250188,1.322255,[ 3 26] ; [ 3 67],[ 1.75757576 27.24242424] ; [ 4.24242424 65.75757576],0
p4,1,0.277459,1.179494,[10 19] ; [32 37],[12.42857143 16.57142857] ; [29.57142857 39.42857143],0
a5,1,0.287787,1.129944,[18 11] ; [51 19],[20.21212121  8.78787879] ; [48.78787879 21.21212121],0
u2,1,0.29627,1.090909,[6 5] ; [16  6],[7.33333333 3.66666667] ; [14.66666667  7.33333333],0
b4,1,0.304252,1.055465,[15 14] ; [44 26],[17.28282828 11.71717172] ; [41.71717172 28.28282828],0
p10,1,0.308273,1.03806,[15 13] ; [44 24],[17.20833333 10.79166667] ; [41.79166667 26.20833333],0
n2,1,0.327618,0.958289,[9 2] ; [11  6],[7.85714286 3.14285714] ; [12.14285714  4.85714286],0
r1,1,0.363611,0.825381,[24  5] ; [52 18],[22.26262626  6.73737374] ; [53.73737374 16.26262626],0
s8,1,0.426528,0.632258,[12 16] ; [24 46],[10.28571429 17.71428571] ; [25.71428571 44.28571429],0
r2,1,0.461193,0.542997,[25  4] ; [62  6],[26.01030928  2.98969072] ; [60.98969072  7.01030928],0
p12,1,0.486601,0.484034,[ 1 27] ; [ 5 63],[ 1.75 26.25] ; [ 4.25 63.75],0
p11,1,0.516578,0.420719,[21  8] ; [46 24],[19.62626263  9.37373737] ; [47.37373737 22.62626263],0
r4,1,0.530137,0.39413,[22  7] ; [57 13],[23.14141414  5.85858586] ; [55.85858586 14.14141414],0
b1,1,0.563723,0.333299,[13 16] ; [27 43],[11.71717172 17.28282828] ; [28.28282828 41.71717172],0
v4,1,0.573692,0.316544,[25  3] ; [64  5],[25.69072165  2.30927835] ; [63.30927835  5.69072165],0
s7,1,0.578093,0.309328,[10 17] ; [29 38],[11.20212766 15.79787234] ; [27.79787234 39.20212766],0
r3,1,0.594721,0.283031,[26  3] ; [65  5],[26.65656566  2.34343434] ; [64.34343434  5.65656566],0
p1,1,0.601515,0.272717,[ 4 25] ; [ 7 62],[ 3.25510204 25.74489796] ; [ 7.74489796 61.25510204],0
d2,1,0.607444,0.263914,[10 19] ; [28 42],[11.13131313 17.86868687] ; [26.86868687 43.13131313],0
b5,1,0.628492,0.234111,[18 11] ; [47 23],[19.04040404  9.95959596] ; [45.95959596 24.04040404],0
a3,1,0.628492,0.234111,[18 11] ; [47 23],[19.04040404  9.95959596] ; [45.95959596 24.04040404],0
n4,1,0.65065,0.205082,[11 18] ; [30 40],[12.01010101 16.98989899] ; [28.98989899 41.01010101],0
n3,1,0.65714,0.197017,[8 3] ; [11  6],[7.46428571 3.53571429] ; [11.53571429  5.46428571],0
a8,1,0.695684,0.153001,[ 2 26] ; [ 6 56],[ 2.48888889 25.51111111] ; [ 5.51111111 56.48888889],0
u3,1,0.729562,0.119514,[7 4] ; [16  7],[7.44117647 3.55882353] ; [15.55882353  7.44117647],0
p7,1,0.738179,0.111733,[13 16] ; [33 35],[13.75257732 15.24742268] ; [32.24742268 35.75257732],0
s1,1,0.780797,0.07744,[ 2 27] ; [ 6 64],[ 2.34343434 26.65656566] ; [ 5.65656566 64.34343434],0
s5,1,0.796636,0.066411,[ 9 17] ; [21 45],[ 8.47826087 17.52173913] ; [21.52173913 44.47826087],0
s6,1,0.80986,0.057891,[17 10] ; [41 27],[16.48421053 10.51578947] ; [41.51578947 26.48421053],0
b2,1,0.912077,0.012192,[ 8 10] ; [15 20],[ 7.81132075 10.18867925] ; [15.18867925 19.81132075],0
b3,1,0.912077,0.012192,[ 8 10] ; [15 20],[ 7.81132075 10.18867925] ; [15.18867925 19.81132075],0
p3,1,0.985177,0.000345,[12 17] ; [28 40],[11.95876289 17.04123711] ; [28.04123711 39.95876289],0
