Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,85.739732,[129   5] ; [19 35],[105.4893617  28.5106383] ; [42.5106383 11.4893617],1
b3,1,0.456461,0.554558,[20 39] ; [ 9 25],[18.39784946 40.60215054] ; [10.60215054 23.39784946],0
a3,1,0.476591,0.506654,[83 51] ; [31 24],[80.82539683 53.17460317] ; [33.17460317 21.82539683],0
d1,1,0.482456,0.493307,[66 68] ; [24 31],[63.80952381 70.19047619] ; [26.19047619 28.80952381],0
u1,1,0.499404,0.456202,[ 14 120] ; [ 4 51],[ 12.76190476 121.23809524] ; [ 5.23809524 49.76190476],0
r3,1,0.513004,0.427934,[133   1] ; [54  1],[132.58201058   1.41798942] ; [54.41798942  0.58201058],0
d4,1,0.551871,0.353976,[107  27] ; [41 13],[105.4893617  28.5106383] ; [42.5106383 11.4893617],0
r1,1,0.611177,0.258465,[106  27] ; [42 13],[104.70212766  28.29787234] ; [43.29787234 11.70212766],0
a8,1,0.691831,0.15711,[  7 119] ; [ 2 47],[  6.48 119.52] ; [ 2.52 46.48],0
a4,1,0.722199,0.126395,[45 89] ; [17 38],[43.95767196 90.04232804] ; [18.04232804 36.95767196],0
p1,1,0.728802,0.120214,[  9 123] ; [ 3 52],[  8.47058824 123.52941176] ; [ 3.52941176 51.47058824],0
u3,1,0.775575,0.081276,[31 18] ; [16  8],[31.54794521 17.45205479] ; [15.45205479  8.54794521],0
b5,1,0.803475,0.061928,[83 51] ; [33 22],[82.24338624 51.75661376] ; [33.75661376 21.24338624],0
n3,1,0.890375,0.018997,[32 13] ; [16  6],[32.23880597 12.76119403] ; [15.76119403  6.23880597],0
a2,1,0.947874,0.004274,[ 19 115] ; [ 8 47],[ 19.14285714 114.85714286] ; [ 7.85714286 47.14285714],0
b4,1,0.969674,0.001445,[80 54] ; [33 22],[80.11640212 53.88359788] ; [32.88359788 22.11640212],0
a1,1,0.974946,0.000986,[  5 129] ; [ 2 53],[  4.96296296 129.03703704] ; [ 2.03703704 52.96296296],0
n1,1,1.0,0.0,[12 32] ; [ 6 16],[12. 32.] ; [ 6. 16.],0
