Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7.1e-05,15.794913,[15 18] ; [66 14],[23.65486726  9.34513274] ; [57.34513274 22.65486726],1
p9,1,0.338142,0.917462,[19 14] ; [53 26],[21.21428571 11.78571429] ; [50.78571429 28.21428571],0
p12,1,0.348271,0.879747,[ 2 30] ; [ 2 76],[ 1.16363636 30.83636364] ; [ 2.83636364 75.16363636],0
v4,1,0.365925,0.817456,[25  7] ; [69 12],[26.61946903  5.38053097] ; [67.38053097 13.61946903],0
n1,1,0.367123,0.813378,[6 6] ; [ 9 17],[4.73684211 7.26315789] ; [10.26315789 15.73684211],0
u2,1,0.393921,0.726803,[5 1] ; [11  6],[4.17391304 1.82608696] ; [11.82608696  5.17391304],0
v2,1,0.409439,0.68043,[14 17] ; [41 35],[15.93457944 15.06542056] ; [39.06542056 36.93457944],0
n3,1,0.416184,0.661065,[9 3] ; [16 10],[7.89473684 4.10526316] ; [17.10526316  8.89473684],0
s1,1,0.422115,0.644419,[ 3 30] ; [ 4 75],[ 2.0625 30.9375] ; [ 4.9375 74.0625],0
d2,1,0.463517,0.537389,[19 14] ; [40 40],[17.2300885 15.7699115] ; [41.7699115 38.2300885],0
b4,1,0.463981,0.536275,[20 13] ; [43 38],[18.23684211 14.76315789] ; [44.76315789 36.23684211],0
p5,1,0.490747,0.474888,[ 1 31] ; [ 5 73],[ 1.74545455 30.25454545] ; [ 4.25454545 73.74545455],0
p11,1,0.500649,0.453561,[21 12] ; [46 35],[19.39473684 13.60526316] ; [47.60526316 33.39473684],0
s2,1,0.538773,0.377819,[14 19] ; [29 51],[12.55752212 20.44247788] ; [30.44247788 49.55752212],0
v1,1,0.549142,0.358857,[16 17] ; [33 45],[14.56756757 18.43243243] ; [34.43243243 43.56756757],0
r4,1,0.565132,0.330895,[24  9] ; [63 18],[25.18421053  7.81578947] ; [61.81578947 19.18421053],0
a4,1,0.571404,0.320339,[16 17] ; [44 37],[17.36842105 15.63157895] ; [42.63157895 38.36842105],0
s6,1,0.617031,0.250062,[18 15] ; [40 41],[16.78947368 16.21052632] ; [41.21052632 39.78947368],0
p10,1,0.623034,0.241626,[17 15] ; [46 33],[18.16216216 13.83783784] ; [44.83783784 34.16216216],0
s8,1,0.697415,0.151175,[11 22] ; [24 57],[10.13157895 22.86842105] ; [24.86842105 56.13157895],0
s5,1,0.758166,0.094796,[ 7 26] ; [14 61],[ 6.41666667 26.58333333] ; [14.58333333 60.41666667],0
p8,1,0.781234,0.077123,[11 21] ; [29 49],[11.63636364 20.36363636] ; [28.36363636 49.63636364],0
v3,1,0.787227,0.072853,[10 18] ; [25 51],[ 9.42307692 18.57692308] ; [25.57692308 50.42307692],0
a1,1,0.798488,0.06518,[ 2 31] ; [ 6 75],[ 2.31578947 30.68421053] ; [ 5.68421053 75.31578947],0
a3,1,0.824356,0.04926,[27  6] ; [64 16],[26.57522124  6.42477876] ; [64.42477876 15.57522124],0
r3,1,0.834445,0.043683,[29  4] ; [70 11],[28.65789474  4.34210526] ; [70.34210526 10.65789474],0
p3,1,0.911512,0.01235,[13 19] ; [33 46],[13.26126126 18.73873874] ; [32.73873874 46.26126126],0
p4,1,0.952277,0.003582,[15 17] ; [38 42],[15.14285714 16.85714286] ; [37.85714286 42.14285714],0
r2,1,1.0,0.0,[28  4] ; [70 10],[28.  4.] ; [70. 10.],0
p6,1,1.0,0.0,[ 5 25] ; [13 65],[ 5. 25.] ; [13. 65.],0
