Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.815589,[ 5 21] ; [58 20],[15.75 10.25] ; [47.25 30.75],1
v4,1,0.60451,0.268247,[23  2] ; [73  4],[23.52941176  1.47058824] ; [72.47058824  4.52941176],0
n6,1,0.68645,0.162955,[21  4] ; [68 10],[21.60194175  3.39805825] ; [67.39805825 10.60194175],0
n3,1,0.6885,0.160714,[3 1] ; [9 5],[2.66666667 1.33333333] ; [9.33333333 4.66666667],0
s2,1,0.693958,0.154834,[11 15] ; [36 41],[11.86407767 14.13592233] ; [35.13592233 41.86407767],0
b1,1,0.719271,0.129193,[ 8 18] ; [27 51],[ 8.75 17.25] ; [26.25 51.75],0
b4,1,0.814102,0.05529,[16 10] ; [50 28],[16.5  9.5] ; [49.5 28.5],0
a1,1,0.821237,0.051055,[ 2 24] ; [ 5 73],[ 1.75 24.25] ; [ 5.25 72.75],0
p2,1,0.862714,0.029902,[19  5] ; [63 15],[19.29411765  4.70588235] ; [62.70588235 15.29411765],0
n2,1,0.879563,0.022959,[3 1] ; [11  3],[3.11111111 0.88888889] ; [10.88888889  3.11111111],0
r3,1,0.880661,0.022539,[23  2] ; [71  7],[22.81553398  2.18446602] ; [71.18446602  6.81553398],0
b5,1,0.909833,0.012825,[13 13] ; [40 38],[13.25 12.75] ; [39.75 38.25],0
u2,1,0.934844,0.006683,[ 7 12] ; [ 8 13],[ 7.125 11.875] ; [ 7.875 13.125],0
