Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,56.002749,[  9 107] ; [26 14],[26.02564103 89.97435897] ; [ 8.97435897 31.02564103],1
p7,1,0.220127,1.503541,[47 67] ; [20 18],[50.25 63.75] ; [16.75 21.25],0
r3,1,0.241434,1.3722,[94 21] ; [35  4],[96.33116883 18.66883117] ; [32.66883117  6.33116883],0
n1,1,0.26044,1.266417,[12 29] ; [6 7],[13.66666667 27.33333333] ; [4.33333333 8.66666667],0
b3,1,0.29567,1.093621,[16 43] ; [10 16],[18.04705882 40.95294118] ; [ 7.95294118 18.04705882],0
b2,1,0.29567,1.093621,[16 43] ; [10 16],[18.04705882 40.95294118] ; [ 7.95294118 18.04705882],0
p2,1,0.300161,1.07348,[73 42] ; [29 11],[75.67741935 39.32258065] ; [26.32258065 13.67741935],0
v1,1,0.314388,1.012153,[35 77] ; [16 24],[37.57894737 74.42105263] ; [13.42105263 26.57894737],0
p3,1,0.348133,0.880251,[ 16 100] ; [ 8 32],[17.84615385 98.15384615] ; [ 6.15384615 33.84615385],0
v4,1,0.400939,0.705509,[94 21] ; [35  5],[95.70967742 19.29032258] ; [33.29032258  6.70967742],0
u1,1,0.454828,0.558593,[  3 113] ; [ 2 38],[  3.71794872 112.28205128] ; [ 1.28205128 38.71794872],0
d2,1,0.505799,0.442747,[23 92] ; [10 30],[24.48387097 90.51612903] ; [ 8.51612903 31.48387097],0
n5,1,0.532119,0.390343,[63 53] ; [24 16],[64.69230769 51.30769231] ; [22.30769231 17.69230769],0
n6,1,0.536655,0.381774,[78 38] ; [29 11],[79.56410256 36.43589744] ; [27.43589744 12.56410256],0
a6,1,0.571489,0.320197,[52 64] ; [20 20],[53.53846154 62.46153846] ; [18.46153846 21.53846154],0
a8,1,0.626334,0.237065,[12 98] ; [ 3 34],[11.2244898 98.7755102] ; [ 3.7755102 33.2244898],0
u2,1,0.629134,0.233237,[33 38] ; [8 7],[33.84883721 37.15116279] ; [7.15116279 7.84883721],0
b4,1,0.679522,0.170665,[71 45] ; [23 17],[69.8974359 46.1025641] ; [24.1025641 15.8974359],0
p11,1,0.744332,0.106356,[75 41] ; [27 13],[75.84615385 40.15384615] ; [26.15384615 13.84615385],0
p12,1,0.76905,0.086211,[  4 112] ; [ 1 39],[  3.71794872 112.28205128] ; [ 1.28205128 38.71794872],0
n3,1,0.776495,0.080594,[27 14] ; [8 5],[26.57407407 14.42592593] ; [8.42592593 4.57407407],0
b1,1,0.814732,0.054908,[43 73] ; [14 26],[42.38461538 73.61538462] ; [14.61538462 25.38461538],0
a4,1,0.973424,0.00111,[17 98] ; [ 6 34],[17.06451613 97.93548387] ; [ 5.93548387 34.06451613],0
