Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,70.296416,[68 15] ; [ 43 123],[37. 46.] ; [74. 92.],1
b1,1,0.256516,1.287461,[37 46] ; [ 62 105],[32.868 50.132] ; [ 66.132 100.868],0
a1,1,0.262845,1.253709,[ 3 80] ; [ 12 155],[ 4.98 78.02] ; [ 10.02 156.98],0
n3,1,0.264814,1.243415,[15  5] ; [38 24],[12.92682927  7.07317073] ; [40.07317073 21.92682927],0
u2,1,0.34334,0.897922,[9 7] ; [28 37],[7.30864198 8.69135802] ; [29.69135802 35.30864198],0
a4,1,0.391473,0.734362,[42 41] ; [74 91],[38.82258065 44.17741935] ; [77.17741935 87.82258065],0
n1,1,0.443613,0.58692,[11  9] ; [28 34],[ 9.51219512 10.48780488] ; [29.48780488 32.51219512],0
a7,1,0.446974,0.578313,[58 25] ; [108  58],[55.33333333 27.66666667] ; [110.66666667  55.33333333],0
b5,1,0.494012,0.467775,[50 33] ; [108  59],[52.456 30.544] ; [105.544  61.456],0
u3,1,0.539658,0.376173,[7 9] ; [34 31],[8.09876543 7.90123457] ; [32.90123457 32.09876543],0
d3,1,0.543569,0.368965,[53 30] ; [100  67],[50.796 32.204] ; [102.204  64.796],0
a6,1,0.591398,0.288166,[57 26] ; [109  58],[55.112 27.888] ; [110.888  56.112],0
s1,1,0.686929,0.16243,[ 5 77] ; [  8 156],[ 4.33333333 77.66666667] ; [  8.66666667 155.33333333],0
b4,1,0.737678,0.112178,[53 30] ; [103  64],[51.792 31.208] ; [104.208  62.792],0
b3,1,0.741672,0.108663,[20 34] ; [37 56],[20.93877551 33.06122449] ; [36.06122449 56.93877551],0
b2,1,0.741672,0.108663,[20 34] ; [37 56],[20.93877551 33.06122449] ; [36.06122449 56.93877551],0
n2,1,0.763472,0.090556,[14  6] ; [47 17],[14.52380952  5.47619048] ; [46.47619048 17.52380952],0
s4,1,0.838622,0.041476,[11 70] ; [ 24 141],[11.52439024 69.47560976] ; [ 23.47560976 141.52439024],0
v3,1,0.844037,0.038703,[27 51] ; [ 54 108],[26.325 51.675] ; [ 54.675 107.325],0
a2,1,0.980591,0.000592,[19 64] ; [ 38 129],[18.924 64.076] ; [ 38.076 128.924],0
