Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,8.2e-05,15.517787,[ 62 170] ; [25 19],[ 73.13043478 158.86956522] ; [13.86956522 30.13043478],1
a2,1,0.20706,1.591863,[ 31 204] ; [ 9 35],[ 33.69175627 201.30824373] ; [ 6.30824373 37.69175627],0
p2,1,0.209971,1.571624,[174  60] ; [28 15],[170.64259928  63.35740072] ; [31.35740072 11.64259928],0
a5,1,0.230101,1.44024,[132 103] ; [29 15],[135.609319  99.390681] ; [25.390681 18.609319],0
d2,1,0.260466,1.266278,[ 85 148] ; [20 24],[ 88.32129964 144.67870036] ; [16.67870036 27.32129964],0
s1,1,0.350825,0.87047,[ 13 220] ; [ 4 39],[ 14.35144928 218.64855072] ; [ 2.64855072 40.35144928],0
d5,1,0.363107,0.827118,[160  74] ; [27 17],[157.4028777  76.5971223] ; [29.5971223 14.4028777],0
n1,1,0.4303,0.622013,[30 50] ; [1 4],[29.17647059 50.82352941] ; [1.82352941 3.17647059],0
a7,1,0.448266,0.575034,[151  83] ; [31 13],[153.1942446  80.8057554] ; [28.8057554 15.1942446],0
s4,1,0.463947,0.536356,[ 43 188] ; [ 6 37],[ 41.31021898 189.68978102] ; [ 7.68978102 35.31021898],0
v4,1,0.490121,0.476261,[198  36] ; [39  5],[199.48920863  34.51079137] ; [37.51079137  6.48920863],0
a8,1,0.506549,0.44119,[ 25 197] ; [ 3 36],[ 23.81609195 198.18390805] ; [ 4.18390805 34.81609195],0
p9,1,0.519114,0.415653,[156  74] ; [27 16],[154.17582418  75.82417582] ; [28.82417582 14.17582418],0
s3,1,0.578063,0.309376,[ 92 140] ; [19 24],[ 93.64363636 138.35636364] ; [17.35636364 25.64363636],0
b2,1,0.583633,0.300398,[39 94] ; [10 19],[40.22839506 92.77160494] ; [ 8.77160494 20.22839506],0
b3,1,0.583633,0.300398,[39 94] ; [10 19],[40.22839506 92.77160494] ; [ 8.77160494 20.22839506],0
d4,1,0.615298,0.252531,[169  66] ; [30 14],[167.61648746  67.38351254] ; [31.38351254 12.61648746],0
s7,1,0.617133,0.249918,[ 52 172] ; [11 30],[ 53.25283019 170.74716981] ; [ 9.74716981 31.25283019],0
n6,1,0.630413,0.231501,[172  61] ; [34 10],[173.27797834  59.72202166] ; [32.72202166 11.27797834],0
d1,1,0.650555,0.205201,[ 94 141] ; [16 28],[ 92.65232975 142.34767025] ; [17.34767025 26.65232975],0
u2,1,0.676588,0.173992,[49 54] ; [8 7],[49.75423729 53.24576271] ; [7.24576271 7.75423729],0
n2,1,0.677235,0.173255,[52 28] ; [4 3],[51.49425287 28.50574713] ; [4.50574713 2.49425287],0
a1,1,0.736277,0.113426,[ 13 222] ; [ 3 41],[ 13.47670251 221.52329749] ; [ 2.52329749 41.47670251],0
a4,1,0.759049,0.094083,[ 84 148] ; [17 27],[ 84.89855072 147.10144928] ; [16.10144928 27.89855072],0
s5,1,0.772019,0.083946,[ 53 178] ; [ 9 34],[ 52.27007299 178.72992701] ; [ 9.72992701 33.27007299],0
b4,1,0.798913,0.0649,[134 101] ; [26 18],[134.76702509 100.23297491] ; [25.23297491 18.76702509],0
d3,1,0.804747,0.061112,[133 100] ; [26 18],[133.74368231  99.25631769] ; [25.25631769 18.74368231],0
p6,1,0.853823,0.033945,[ 57 175] ; [10 33],[ 56.52363636 175.47636364] ; [10.47636364 32.52363636],0
n5,1,0.892758,0.018175,[156  77] ; [29 15],[155.61371841  77.38628159] ; [29.38628159 14.61371841],0
p7,1,0.897853,0.01648,[112 118] ; [20 22],[111.61764706 118.38235294] ; [20.38235294 21.61764706],0
p4,1,0.900914,0.015502,[101 133] ; [19 24],[101.37184116 132.62815884] ; [18.62815884 24.37184116],0
r3,1,0.925658,0.008706,[192  41] ; [36  8],[191.7833935  41.2166065] ; [36.2166065  7.7833935],0
p12,1,0.957737,0.002808,[  5 228] ; [ 1 43],[  5.04693141 227.95306859] ; [ 0.95306859 43.04693141],0
p10,1,0.971143,0.001309,[145  87] ; [27 16],[145.10545455  86.89454545] ; [26.89454545 16.10545455],0
p8,1,0.999028,1e-06,[ 90 143] ; [17 27],[ 90.00361011 142.99638989] ; [16.99638989 27.00361011],0
