Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,4e-06,21.508512,[ 5 27] ; [45 24],[15.84158416 16.15841584] ; [34.15841584 34.84158416],1
p2,1,0.443643,0.586841,[26  7] ; [48 19],[24.42  8.58] ; [49.58 17.42],0
s7,1,0.462144,0.540698,[15 16] ; [35 27],[16.66666667 14.33333333] ; [33.33333333 28.66666667],0
v4,1,0.479191,0.500703,[28  5] ; [61  7],[29.07920792  3.92079208] ; [59.92079208  8.07920792],0
n2,1,0.502927,0.448754,[8 4] ; [17  5],[8.82352941 3.17647059] ; [16.17647059  5.82352941],0
b1,1,0.532903,0.388852,[16 17] ; [38 31],[17.47058824 15.52941176] ; [36.52941176 32.47058824],0
b4,1,0.532903,0.388852,[16 17] ; [38 31],[17.47058824 15.52941176] ; [36.52941176 32.47058824],0
s6,1,0.533936,0.386895,[21 10] ; [48 17],[22.28125  8.71875] ; [46.71875 18.28125],0
p12,1,0.555079,0.348297,[ 1 31] ; [ 4 64],[ 1.6 30.4] ; [ 3.4 64.6],0
u3,1,0.59256,0.286364,[13  9] ; [7 7],[12.22222222  9.77777778] ; [7.77777778 6.22222222],0
s1,1,0.673791,0.1772,[ 2 29] ; [ 6 61],[ 2.53061224 28.46938776] ; [ 5.46938776 61.53061224],0
s3,1,0.7024,0.145988,[18 14] ; [36 33],[17.10891089 14.89108911] ; [36.89108911 32.10891089],0
p9,1,0.70652,0.141777,[22  9] ; [45 22],[21.19387755  9.80612245] ; [45.80612245 21.19387755],0
p1,1,0.782203,0.076424,[ 4 29] ; [ 7 61],[ 3.59405941 29.40594059] ; [ 7.40594059 60.59405941],0
n1,1,0.831657,0.045189,[5 7] ; [10 12],[5.29411765 6.70588235] ; [ 9.70588235 12.29411765],0
n5,1,0.879229,0.023088,[22 11] ; [45 21],[22.33333333 10.66666667] ; [44.66666667 21.33333333],0
p10,1,0.881211,0.022331,[19 12] ; [40 27],[18.66326531 12.33673469] ; [40.33673469 26.66326531],0
n3,1,0.885857,0.020606,[9 3] ; [16  6],[8.82352941 3.17647059] ; [16.17647059  5.82352941],0
p4,1,0.886414,0.020404,[16 17] ; [34 34],[16.33663366 16.66336634] ; [33.66336634 34.33663366],0
s4,1,0.910132,0.01274,[ 6 27] ; [13 55],[ 6.20792079 26.79207921] ; [12.79207921 55.20792079],0
