Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002196,9.37799,[26 64] ; [18 12],[33. 57.] ; [11. 19.],0
a6,1,0.379492,0.772346,[53 39] ; [20 10],[55.04918033 36.95081967] ; [17.95081967 12.04918033],0
a4,1,0.381597,0.76555,[35 55] ; [ 9 21],[33. 57.] ; [11. 19.],0
u2,1,0.408213,0.684,[21 24] ; [4 8],[19.73684211 25.26315789] ; [5.26315789 6.73684211],0
a1,1,0.411359,0.67487,[ 7 85] ; [ 1 29],[ 6.03278689 85.96721311] ; [ 1.96721311 28.03278689],0
a7,1,0.43153,0.618701,[56 36] ; [20  9],[57.78512397 34.21487603] ; [18.21487603 10.78512397],0
n5,1,0.455071,0.55799,[48 44] ; [18 12],[49.7704918 42.2295082] ; [16.2295082 13.7704918],0
d5,1,0.473439,0.513939,[61 31] ; [22  8],[62.59016393 29.40983607] ; [20.40983607  9.59016393],0
u1,1,0.502049,0.450602,[10 82] ; [ 2 28],[ 9.04918033 82.95081967] ; [ 2.95081967 27.04918033],0
s1,1,0.52915,0.396024,[ 6 85] ; [ 1 28],[ 5.30833333 85.69166667] ; [ 1.69166667 27.30833333],0
a5,1,0.53301,0.38865,[52 40] ; [15 15],[50.52459016 41.47540984] ; [16.47540984 13.52459016],0
p6,1,0.556324,0.34611,[16 73] ; [ 4 26],[14.95798319 74.04201681] ; [ 5.04201681 24.95798319],0
r1,1,0.556811,0.345256,[59 33] ; [21  9],[60.32786885 31.67213115] ; [19.67213115 10.32786885],0
a3,1,0.560819,0.338288,[46 45] ; [17 13],[47.38016529 43.61983471] ; [15.61983471 14.38016529],0
b2,1,0.568745,0.324786,[19 38] ; [ 5 14],[18. 39.] ; [ 6. 13.],0
b3,1,0.568745,0.324786,[19 38] ; [ 5 14],[18. 39.] ; [ 6. 13.],0
s8,1,0.597397,0.27894,[ 9 82] ; [ 4 26],[ 9.7768595 81.2231405] ; [ 3.2231405 26.7768595],0
s4,1,0.659339,0.194328,[12 80] ; [ 3 27],[11.31147541 80.68852459] ; [ 3.68852459 26.31147541],0
p3,1,0.689574,0.159547,[21 70] ; [ 8 22],[21.80991736 69.19008264] ; [ 7.19008264 22.80991736],0
p1,1,0.690558,0.158482,[ 7 84] ; [ 3 27],[ 7.52066116 83.47933884] ; [ 2.47933884 27.52066116],0
s3,1,0.698929,0.149588,[24 67] ; [ 9 21],[24.81818182 66.18181818] ; [ 8.18181818 21.81818182],0
p10,1,0.710673,0.137606,[19 72] ; [ 7 22],[19.71666667 71.28333333] ; [ 6.28333333 22.71666667],0
s5,1,0.729633,0.119449,[15 76] ; [ 4 25],[14.40833333 76.59166667] ; [ 4.59166667 24.40833333],0
p7,1,0.746934,0.104125,[38 54] ; [11 18],[37.25619835 54.74380165] ; [11.74380165 17.25619835],0
p2,1,0.751143,0.100573,[46 46] ; [14 16],[45.24590164 46.75409836] ; [14.75409836 15.24590164],0
b1,1,0.760122,0.093221,[52 40] ; [16 14],[51.27868852 40.72131148] ; [16.72131148 13.27868852],0
p11,1,0.760122,0.093221,[40 52] ; [14 16],[40.72131148 51.27868852] ; [13.27868852 16.72131148],0
p8,1,0.78409,0.075072,[22 69] ; [ 8 22],[22.56198347 68.43801653] ; [ 7.43801653 22.56198347],0
p4,1,0.843668,0.038889,[31 61] ; [10 18],[31.43333333 60.56666667] ; [ 9.56666667 18.43333333],0
n1,1,0.86785,0.027685,[17 26] ; [3 4],[17.2 25.8] ; [2.8 4.2],0
d1,1,0.927807,0.008209,[39 53] ; [13 17],[39.21311475 52.78688525] ; [12.78688525 17.21311475],0
n3,1,0.935485,0.006552,[25 16] ; [5 3],[25.10204082 15.89795918] ; [4.89795918 3.10204082],0
a2,1,0.962873,0.002167,[15 77] ; [ 5 25],[15.08196721 76.91803279] ; [ 4.91803279 25.08196721],0
d2,1,0.994326,5.1e-05,[44 47] ; [14 15],[43.98333333 47.01666667] ; [14.01666667 14.98333333],0
