Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,25.130801,[ 4 32] ; [22  9],[13.97014925 22.02985075] ; [12.02985075 18.97014925],1
b2,1,0.811235,0.057041,[ 5 10] ; [ 5 12],[ 4.6875 10.3125] ; [ 5.3125 11.6875],0
b3,1,0.811235,0.057041,[ 5 10] ; [ 5 12],[ 4.6875 10.3125] ; [ 5.3125 11.6875],0
a3,1,0.813571,0.055612,[23 13] ; [20 10],[23.45454545 12.54545455] ; [19.54545455 10.45454545],0
d4,1,0.816855,0.053635,[27  9] ; [24  7],[27.40298507  8.59701493] ; [23.59701493  7.40298507],0
p5,1,0.817635,0.053171,[ 4 31] ; [ 3 28],[ 3.71212121 31.28787879] ; [ 3.28787879 27.71212121],0
s1,1,0.850585,0.035484,[ 2 34] ; [ 2 28],[ 2.18181818 33.81818182] ; [ 1.81818182 28.18181818],0
u2,1,0.854757,0.033508,[5 7] ; [5 6],[5.2173913 6.7826087] ; [4.7826087 6.2173913],0
b5,1,0.880934,0.022436,[25 11] ; [21 10],[24.71641791 11.28358209] ; [21.28358209  9.71641791],0
n2,1,0.898977,0.016117,[9 4] ; [6 3],[8.86363636 4.13636364] ; [6.13636364 2.86363636],0
n3,1,1.0,0.0,[8 4] ; [6 3],[8. 4.] ; [6. 3.],0
