Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.7e-05,18.545195,[ 9 50] ; [10  4],[15.35616438 43.64383562] ; [ 3.64383562 10.35616438],1
n3,1,0.230918,1.4352,[16 12] ; [5 1],[17.29411765 10.70588235] ; [3.70588235 2.29411765],0
p12,1,0.261591,1.260316,[ 1 58] ; [ 1 13],[ 1.61643836 57.38356164] ; [ 0.38356164 13.61643836],0
p6,1,0.267859,1.227678,[ 9 48] ; [ 4 10],[10.43661972 46.56338028] ; [ 2.56338028 11.43661972],0
n4,1,0.308224,1.038272,[29 30] ; [9 5],[30.71232877 28.28767123] ; [7.28767123 6.71232877],0
v4,1,0.310454,1.028744,[38 21] ; [11  3],[39.60273973 19.39726027] ; [9.39726027 4.60273973],0
d5,1,0.338877,0.914675,[40 19] ; [7 6],[38.51388889 20.48611111] ; [8.48611111 4.51388889],0
p8,1,0.359982,0.837955,[15 43] ; [ 2 12],[13.69444444 44.30555556] ; [ 3.30555556 10.69444444],0
b5,1,0.364832,0.821193,[30 29] ; [9 5],[31.52054795 27.47945205] ; [7.47945205 6.52054795],0
v2,1,0.42984,0.623256,[20 38] ; [6 7],[21.23943662 36.76056338] ; [4.76056338 8.23943662],0
a7,1,0.451322,0.56733,[36 23] ; [7 7],[34.75342466 24.24657534] ; [8.24657534 5.75342466],0
b1,1,0.495737,0.46405,[32 27] ; [9 5],[33.1369863 25.8630137] ; [7.8630137 6.1369863],0
p1,1,0.506765,0.440741,[ 5 54] ; [ 2 12],[ 5.65753425 53.34246575] ; [ 1.34246575 12.65753425],0
d3,1,0.521827,0.410281,[26 33] ; [7 6],[27.04166667 31.95833333] ; [5.95833333 7.04166667],0
d1,1,0.540336,0.374918,[22 37] ; [ 4 10],[21.01369863 37.98630137] ; [4.98630137 9.01369863],0
u2,1,0.564144,0.332579,[11 13] ; [3 2],[11.5862069 12.4137931] ; [2.4137931 2.5862069],0
a5,1,0.569709,0.323169,[33 26] ; [9 5],[33.94520548 25.05479452] ; [8.05479452 5.94520548],0
p7,1,0.612766,0.256167,[21 38] ; [6 8],[21.82191781 37.17808219] ; [5.17808219 8.82191781],0
v3,1,0.648739,0.207493,[12 45] ; [3 8],[12.57352941 44.42647059] ; [2.42647059 8.57352941],0
r2,1,0.68285,0.166935,[47 11] ; [12  2],[47.52777778 10.47222222] ; [11.47222222  2.52777778],0
b2,1,0.692747,0.156127,[13 26] ; [4 6],[13.53061224 25.46938776] ; [3.46938776 6.53061224],0
b3,1,0.692747,0.156127,[13 26] ; [4 6],[13.53061224 25.46938776] ; [3.46938776 6.53061224],0
a2,1,0.693695,0.155114,[10 49] ; [ 3 11],[10.50684932 48.49315068] ; [ 2.49315068 11.50684932],0
r1,1,0.700051,0.148418,[37 22] ; [8 6],[36.36986301 22.63013699] ; [8.63013699 5.36986301],0
u1,1,0.760972,0.09254,[ 3 56] ; [ 1 13],[ 3.23287671 55.76712329] ; [ 0.76712329 13.23287671],0
p4,1,0.792556,0.069165,[19 40] ; [ 4 10],[18.5890411 40.4109589] ; [4.4109589 9.5890411],0
a3,1,0.82646,0.048068,[35 23] ; [8 6],[34.63888889 23.36111111] ; [8.36111111 5.63888889],0
s1,1,0.857494,0.032244,[ 5 53] ; [ 1 13],[ 4.83333333 53.16666667] ; [ 1.16666667 12.83333333],0
a4,1,0.912678,0.012026,[22 37] ; [5 9],[21.82191781 37.17808219] ; [5.17808219 8.82191781],0
a6,1,0.936946,0.006258,[37 22] ; [8 5],[36.875 22.125] ; [8.125 4.875],0
p2,1,0.95453,0.003251,[30 29] ; [7 7],[29.90410959 29.09589041] ; [7.09589041 6.90410959],0
p11,1,0.993215,7.2e-05,[21 38] ; [5 9],[21.01369863 37.98630137] ; [4.98630137 9.01369863],0
